"dataset","testAccuracy","nlayers","valAccuracy","learningrate","layerForm","nhidden"
"statlog-vehicle",0.255924195051193,2,0.251388891041279,1,"rect",256
"statlog-vehicle",0.251184821128845,32,0.250000004470348,1,"cone",512
"statlog-vehicle",0.255924165248871,3,0.241666668653488,1,"cone",1024
"statlog-vehicle",0.255924195051193,8,0.231944446265697,1,"cone",256
"statlog-vehicle",0.255924195051193,32,0.222222223877907,0.01,"cone",512
"statlog-vehicle",0.255924195051193,32,0.222222223877907,0.01,"cone",256
"statlog-vehicle",0.255924195051193,32,0.222222223877907,0.1,"cone",1024
"statlog-vehicle",0.255924165248871,8,0.222222223877907,0.1,"cone",512
"statlog-vehicle",0.255924195051193,3,0.222222223877907,0.1,"rect",256
"statlog-vehicle",0.232227474451065,32,0.152777791023254,0.01,"cone",1024
