"dataset","nhidden","testAccuracy","layerForm","learningrate","nlayers","valAccuracy"
"libras",256,0.677777826786041,"rect",0.1,2,0.540000027418137
"libras",256,0.600000023841858,"rect",0.01,8,0.520000049471855
"libras",512,0.0666666701436043,"cone",0.1,32,0.133333340287209
"libras",1024,0.0666666701436043,"cone",0.1,16,0.133333340287209
"libras",512,0.0666666701436043,"rect",0.01,8,0.0733333371579647
"libras",256,0.0666666701436043,"cone",1,16,0.0433333370834589
"libras",256,0.0666666701436043,"cone",0.1,16,0.0433333355933428
"libras",1024,0.0666666701436043,"cone",1,16,0.0433333355933428
"libras",1024,0.0666666701436043,"cone",0.1,4,0.0400000024586916
"libras",512,0.0666666701436043,"cone",0.1,4,0.0400000024586916
"libras",512,0.0666666701436043,"cone",1,2,0.0400000024586916
"libras",512,0.0666666701436043,"cone",1,3,0.0400000020861626
"libras",1024,0.0666666701436043,"rect",0.1,4,0.0366666685789824
"libras",256,0.0666666701436043,"rect",0.01,16,0.0333333361893892
"libras",1024,0.0666666701436043,"cone",0.01,32,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",0.01,32,0.0333333350718021
"libras",512,0.0666666701436043,"cone",0.01,32,0.0333333350718021
"libras",512,0.0666666701436043,"rect",0.01,32,0.0333333350718021
"libras",256,0.0666666701436043,"cone",0.01,32,0.0333333350718021
"libras",256,0.0666666701436043,"rect",0.01,32,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",0.1,32,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",0.1,32,0.0333333350718021
"libras",512,0.0666666701436043,"rect",0.1,32,0.0333333350718021
"libras",256,0.0666666701436043,"cone",0.1,32,0.0333333350718021
"libras",256,0.0666666701436043,"rect",0.1,32,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",1,32,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",1,32,0.0333333350718021
"libras",512,0.0666666701436043,"cone",1,32,0.0333333350718021
"libras",512,0.0666666701436043,"rect",1,32,0.0333333350718021
"libras",256,0.0666666701436043,"cone",1,32,0.0333333350718021
"libras",256,0.0666666701436043,"rect",1,32,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",0.01,16,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",0.01,16,0.0333333350718021
"libras",512,0.0666666701436043,"cone",0.01,16,0.0333333350718021
"libras",512,0.0666666701436043,"rect",0.01,16,0.0333333350718021
"libras",256,0.0666666701436043,"cone",0.01,16,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",0.1,16,0.0333333350718021
"libras",512,0.0666666701436043,"cone",0.1,16,0.0333333350718021
"libras",512,0.0666666701436043,"rect",0.1,16,0.0333333350718021
"libras",256,0.0666666701436043,"rect",0.1,16,0.0333333350718021
"libras",512,0.0666666701436043,"cone",1,16,0.0333333350718021
"libras",512,0.0666666701436043,"rect",1,16,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",0.1,8,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",0.1,8,0.0333333350718021
"libras",512,0.0666666701436043,"cone",0.1,8,0.0333333350718021
"libras",512,0.0666666701436043,"rect",0.1,8,0.0333333350718021
"libras",256,0.0666666701436043,"cone",0.1,8,0.0333333350718021
"libras",256,0.0666666701436043,"rect",0.1,8,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",1,8,0.0333333350718021
"libras",512,0.0666666701436043,"cone",1,8,0.0333333350718021
"libras",512,0.0666666701436043,"rect",1,8,0.0333333350718021
"libras",256,0.0666666701436043,"cone",1,8,0.0333333350718021
"libras",256,0.0666666701436043,"rect",1,8,0.0333333350718021
"libras",512,0.0666666701436043,"rect",0.1,4,0.0333333350718021
"libras",256,0.0666666701436043,"rect",0.1,4,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",1,4,0.0333333350718021
"libras",512,0.0666666701436043,"cone",1,4,0.0333333350718021
"libras",256,0.0666666701436043,"cone",1,4,0.0333333350718021
"libras",256,0.0666666701436043,"rect",1,4,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",0.1,3,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",1,3,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",1,3,0.0333333350718021
"libras",512,0.0666666701436043,"rect",1,3,0.0333333350718021
"libras",256,0.0666666701436043,"cone",1,3,0.0333333350718021
"libras",256,0.0666666701436043,"rect",1,3,0.0333333350718021
"libras",1024,0.0666666701436043,"cone",1,2,0.0333333350718021
"libras",1024,0.0666666701436043,"rect",1,2,0.0333333350718021
"libras",512,0.0666666701436043,"rect",1,2,0.0333333350718021
"libras",256,0.0666666701436043,"cone",1,2,0.0333333350718021
"libras",512,0.0666666701436043,"rect",1,4,0.0300000015646219
"libras",1024,0.0666666701436043,"rect",1,16,0.0266666684299707
"libras",1024,0.0666666701436043,"cone",1,4,0.0200000010430813
"libras",256,0.0666666701436043,"rect",1,2,0.0200000010430813
"libras",256,0.0666666701436043,"rect",1,16,0.0133333340287209
"libras",1024,0.0666666701436043,"rect",1,8,0
