"dataset","learningrate","layerForm","nlayers","testAccuracy","valAccuracy","nhidden"
"breast-cancer",0.1,"rect",2,0.704225301742554,0.704166704416275,1024
"breast-cancer",0.01,"rect",3,0.718309879302979,0.700000035762787,512
"breast-cancer",0.1,"cone",3,0.704225301742554,0.700000035762787,1024
"breast-cancer",0.01,"rect",4,0.718309819698334,0.700000029802322,1024
"breast-cancer",0.1,"cone",2,0.704225301742554,0.695833367109299,1024
"breast-cancer",0.01,"cone",2,0.690140843391418,0.687500029802322,256
"breast-cancer",0.01,"rect",3,0.535211265087128,0.687500023841858,1024
"breast-cancer",0.1,"cone",3,0.704225301742554,0.683333361148834,512
"breast-cancer",0.01,"cone",4,0.732394337654114,0.679166692495346,256
"breast-cancer",0.01,"rect",3,0.746478855609894,0.679166692495346,256
"breast-cancer",0.01,"rect",2,0.605633735656738,0.675000023841858,256
"breast-cancer",0.1,"rect",2,0.746478855609894,0.675000023841858,512
"breast-cancer",0.01,"cone",3,0.760563373565674,0.650000017881393,1024
"breast-cancer",0.01,"rect",4,0.746478855609894,0.60833335518837,512
"breast-cancer",0.01,"cone",32,0.295774638652802,0.291666686534882,1024
