"dataset","learningrate","valAccuracy","nlayers","layerForm","testAccuracy","nhidden"
"arrhythmia",0.1,0.621951198577881,4,"cone",0.654867231845856,256
"arrhythmia",0.1,0.621951186656952,2,"rect",0.654867231845856,256
"arrhythmia",0.01,0.619512164592743,2,"cone",0.646017670631409,512
"arrhythmia",0.01,0.61707313656807,4,"rect",0.610619485378265,1024
"arrhythmia",0.01,0.599999970197678,4,"cone",0.601769924163818,256
"arrhythmia",0.1,0.599999964237213,3,"rect",0.628318607807159,512
"arrhythmia",0.01,0.59756093621254,3,"cone",0.628318548202515,512
"arrhythmia",0.01,0.592682904005051,4,"rect",0.601769924163818,256
"arrhythmia",0.01,0.592682898044586,8,"cone",0.610619485378265,1024
"arrhythmia",0.01,0.587804853916168,8,"cone",0.584070801734924,256
"arrhythmia",0.01,0.585365831851959,32,"cone",0.584070801734924,1024
"arrhythmia",0.01,0.585365831851959,32,"rect",0.584070801734924,1024
"arrhythmia",0.01,0.585365831851959,32,"cone",0.584070801734924,512
"arrhythmia",0.01,0.585365831851959,32,"rect",0.584070801734924,512
"arrhythmia",0.01,0.585365831851959,32,"cone",0.584070801734924,256
"arrhythmia",0.01,0.585365831851959,32,"rect",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,32,"cone",0.584070801734924,1024
"arrhythmia",0.1,0.585365831851959,32,"rect",0.584070801734924,1024
"arrhythmia",0.1,0.585365831851959,32,"cone",0.584070801734924,512
"arrhythmia",0.1,0.585365831851959,32,"rect",0.584070801734924,512
"arrhythmia",0.1,0.585365831851959,32,"cone",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,32,"rect",0.584070801734924,256
"arrhythmia",1,0.585365831851959,32,"cone",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,32,"rect",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,32,"cone",0.584070801734924,512
"arrhythmia",1,0.585365831851959,32,"rect",0.584070801734924,512
"arrhythmia",1,0.585365831851959,32,"cone",0.584070801734924,256
"arrhythmia",1,0.585365831851959,32,"rect",0.584070801734924,256
"arrhythmia",0.01,0.585365831851959,16,"cone",0.584070801734924,1024
"arrhythmia",0.01,0.585365831851959,16,"rect",0.584070801734924,1024
"arrhythmia",0.01,0.585365831851959,16,"cone",0.584070801734924,512
"arrhythmia",0.01,0.585365831851959,16,"rect",0.584070801734924,512
"arrhythmia",0.01,0.585365831851959,16,"cone",0.584070801734924,256
"arrhythmia",0.01,0.585365831851959,16,"rect",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,16,"cone",0.584070801734924,1024
"arrhythmia",0.1,0.585365831851959,16,"rect",0.584070801734924,1024
"arrhythmia",0.1,0.585365831851959,16,"cone",0.584070801734924,512
"arrhythmia",0.1,0.585365831851959,16,"rect",0.584070801734924,512
"arrhythmia",0.1,0.585365831851959,16,"cone",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,16,"rect",0.584070801734924,256
"arrhythmia",1,0.585365831851959,16,"cone",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,16,"rect",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,16,"cone",0.584070801734924,512
"arrhythmia",1,0.585365831851959,16,"rect",0.584070801734924,512
"arrhythmia",1,0.585365831851959,16,"cone",0.584070801734924,256
"arrhythmia",1,0.585365831851959,16,"rect",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,8,"cone",0.584070801734924,1024
"arrhythmia",0.1,0.585365831851959,8,"rect",0.584070801734924,1024
"arrhythmia",0.1,0.585365831851959,8,"cone",0.584070801734924,512
"arrhythmia",0.1,0.585365831851959,8,"rect",0.584070801734924,512
"arrhythmia",0.1,0.585365831851959,8,"cone",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,8,"rect",0.584070801734924,256
"arrhythmia",1,0.585365831851959,8,"cone",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,8,"rect",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,8,"cone",0.584070801734924,512
"arrhythmia",1,0.585365831851959,8,"rect",0.584070801734924,512
"arrhythmia",1,0.585365831851959,8,"cone",0.584070801734924,256
"arrhythmia",1,0.585365831851959,8,"rect",0.584070801734924,256
"arrhythmia",0.1,0.585365831851959,4,"rect",0.584070801734924,256
"arrhythmia",1,0.585365831851959,4,"cone",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,4,"rect",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,4,"cone",0.584070801734924,512
"arrhythmia",1,0.585365831851959,4,"rect",0.584070801734924,512
"arrhythmia",1,0.585365831851959,4,"cone",0.584070801734924,256
"arrhythmia",1,0.585365831851959,4,"rect",0.584070801734924,256
"arrhythmia",1,0.585365831851959,3,"cone",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,3,"rect",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,3,"cone",0.584070801734924,512
"arrhythmia",1,0.585365831851959,3,"rect",0.584070801734924,512
"arrhythmia",1,0.585365831851959,3,"cone",0.584070801734924,256
"arrhythmia",1,0.585365831851959,3,"rect",0.584070801734924,256
"arrhythmia",1,0.585365831851959,2,"cone",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,2,"rect",0.584070801734924,1024
"arrhythmia",1,0.585365831851959,2,"cone",0.584070801734924,512
"arrhythmia",1,0.585365831851959,2,"rect",0.584070801734924,512
"arrhythmia",1,0.585365831851959,2,"cone",0.584070801734924,256
"arrhythmia",1,0.585365831851959,2,"rect",0.584070801734924,256
"arrhythmia",0.01,0.573170721530914,8,"rect",0.619469046592712,1024
"arrhythmia",0.01,0.556097543239594,8,"cone",0.584070801734924,512
"arrhythmia",0.01,0.519512170553207,4,"rect",0.548672556877136,512
