"dataset","nhidden","layerForm","valAccuracy","nlayers","learningrate","testAccuracy"
"audiology-std",256,"rect",0.411764711141586,32,0.1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,32,1,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,32,1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,32,1,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,32,1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,32,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,32,1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,16,0.01,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,16,0.01,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,16,0.01,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,16,0.01,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,16,0.01,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,16,0.1,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,16,0.1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,16,0.1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,16,0.1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,16,0.1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,16,1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,16,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,16,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,8,0.01,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,8,0.1,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,8,0.1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,8,0.1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,8,1,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,8,1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,8,1,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,8,1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,8,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,8,1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,4,0.1,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,4,0.1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,4,1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,4,1,0.439999997615814
"audiology-std",512,"rect",0.411764711141586,4,1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,4,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,4,1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,3,1,0.439999997615814
"audiology-std",1024,"rect",0.411764711141586,3,1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,3,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,3,1,0.439999997615814
"audiology-std",1024,"cone",0.411764711141586,2,1,0.439999997615814
"audiology-std",512,"cone",0.411764711141586,2,1,0.439999997615814
"audiology-std",256,"cone",0.411764711141586,2,1,0.439999997615814
"audiology-std",256,"rect",0.411764711141586,2,1,0.439999997615814
"audiology-std",512,"rect",0.317647063732147,16,0.1,0.439999997615814
"audiology-std",512,"cone",0.205882357060909,8,0.01,0.239999994635582
"audiology-std",512,"rect",0.200000004470348,16,1,0
"audiology-std",512,"rect",0.182352945208549,2,1,0
"audiology-std",256,"rect",0.176470592617989,16,0.01,0
"audiology-std",1024,"rect",0.176470592617989,16,1,0
"audiology-std",512,"cone",0.176470592617989,16,1,0
"audiology-std",1024,"cone",0.176470592617989,8,0.1,0
"audiology-std",512,"cone",0.176470592617989,8,0.1,0
"audiology-std",256,"cone",0.176470592617989,8,0.1,0
"audiology-std",1024,"rect",0.176470592617989,4,1,0
"audiology-std",512,"rect",0.176470592617989,3,1,0
"audiology-std",256,"cone",0.176470592617989,3,1,0
"audiology-std",1024,"rect",0.176470592617989,2,1,0
"audiology-std",512,"rect",0.135294119641185,4,0.1,0.159999996423721
