"dataset","layerForm","testAccuracy","valAccuracy","learningrate","nhidden","nlayers"
"car","cone",0.0370370373129845,0,0.01,1024,16
"car","rect",0.0370370373129845,0,0.01,1024,16
"car","rect",0.0370370373129845,0,0.01,512,16
"car","rect",0.0370370373129845,0,0.01,256,16
"car","rect",0.0370370373129845,0,0.1,1024,16
"car","cone",0.0370370373129845,0,0.1,512,16
"car","rect",0.0370370373129845,0,0.1,512,16
"car","cone",0.0370370373129845,0,0.1,256,16
"car","rect",0.0370370373129845,0,0.1,256,16
"car","cone",0.0370370373129845,0,1,1024,16
"car","rect",0.0370370373129845,0,1,1024,16
"car","cone",0.0370370373129845,0,1,512,16
"car","rect",0.0370370373129845,0,1,512,16
"car","rect",0.0370370373129845,0,1,256,16
"car","cone",0.0370370373129845,0,0.1,1024,8
"car","rect",0.0370370373129845,0,0.1,1024,8
"car","cone",0.0370370373129845,0,0.1,512,8
"car","rect",0.0370370373129845,0,0.1,512,8
"car","rect",0.0370370373129845,0,0.1,256,8
"car","cone",0.0370370373129845,0,1,1024,8
"car","rect",0.0370370373129845,0,1,1024,8
"car","cone",0.0370370373129845,0,1,512,8
"car","rect",0.0370370373129845,0,1,512,8
"car","cone",0.0370370373129845,0,1,256,8
"car","rect",0.0370370373129845,0,1,256,8
"car","rect",0.0370370373129845,0,0.1,1024,4
"car","rect",0.0370370373129845,0,0.1,256,4
"car","cone",0.0370370373129845,0,1,1024,4
"car","rect",0.0370370373129845,0,1,512,4
"car","cone",0.0370370373129845,0,1,256,4
"car","rect",0.0370370373129845,0,1,256,4
"car","cone",0.0370370373129845,0,1,1024,3
"car","rect",0.0370370373129845,0,1,1024,3
"car","cone",0.0370370373129845,0,1,512,3
"car","rect",0.0370370373129845,0,1,512,3
"car","rect",0.0370370373129845,0,1,256,3
"car","rect",0.0370370373129845,0,1,1024,2
"car","rect",0.0370370373129845,0,1,512,2
