"dataset","layerForm","nlayers","learningrate","nhidden","testAccuracy","valAccuracy"
"spectf","cone",4,1,1024,0.0802139043807983,0.333333343267441
"spectf","rect",4,1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",4,1,512,0.0802139043807983,0.333333343267441
"spectf","cone",4,1,256,0.0802139043807983,0.333333343267441
"spectf","rect",4,1,256,0.0802139043807983,0.333333343267441
"spectf","cone",3,0.01,1024,0.0802139043807983,0.333333343267441
"spectf","cone",3,0.01,512,0.411764711141586,0.333333343267441
"spectf","cone",3,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","rect",3,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",3,0.1,512,0.0802139043807983,0.333333343267441
"spectf","rect",3,0.1,512,0.0802139043807983,0.333333343267441
"spectf","cone",3,0.1,256,0.0802139043807983,0.333333343267441
"spectf","rect",3,0.1,256,0.0802139043807983,0.333333343267441
"spectf","cone",2,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","rect",2,0.1,1024,0.0802139043807983,0.333333343267441
"spectf","rect",2,0.1,512,0.0802139043807983,0.333333343267441
"spectf","cone",2,0.1,256,0.0802139043807983,0.333333343267441
"spectf","cone",2,1,1024,0.0802139043807983,0.333333343267441
"spectf","cone",2,1,512,0.0802139043807983,0.333333343267441
"spectf","cone",2,1,256,0.0802139043807983,0.333333343267441
"spectf","rect",2,1,256,0.0802139043807983,0.333333343267441
