"dataset","nlayers","nhidden","valAccuracy","learningrate","testAccuracy","layerForm"
"hill-valley",4,512,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",4,256,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",4,1024,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",4,1024,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",4,512,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",4,512,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",4,256,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",4,256,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",4,1024,0.540983557701111,1,0.493399381637573,"rect"
"hill-valley",4,512,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",4,512,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",3,1024,0.540983557701111,0.01,0.493399322032928,"cone"
"hill-valley",3,1024,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",3,512,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",3,256,0.540983557701111,0.01,0.493399322032928,"rect"
"hill-valley",3,1024,0.540983557701111,0.1,0.493399381637573,"cone"
"hill-valley",3,1024,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",3,512,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",3,512,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",3,256,0.540983557701111,0.1,0.493399381637573,"cone"
"hill-valley",3,256,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",3,1024,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",3,512,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",3,512,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",3,256,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",2,1024,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",2,1024,0.540983557701111,0.1,0.493399381637573,"rect"
"hill-valley",2,512,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",2,512,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",2,256,0.540983557701111,0.1,0.493399322032928,"cone"
"hill-valley",2,256,0.540983557701111,0.1,0.493399322032928,"rect"
"hill-valley",2,1024,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",2,256,0.540983557701111,1,0.493399322032928,"cone"
"hill-valley",2,256,0.540983557701111,1,0.493399322032928,"rect"
"hill-valley",32,256,0.532786840200424,1,0.493399322032928,"cone"
"hill-valley",8,256,0.532786840200424,1,0.493399322032928,"cone"
"hill-valley",8,1024,0.532786840200424,1,0.493399322032928,"cone"
"hill-valley",32,1024,0.524590122699738,0.1,0.506600677967072,"cone"
"hill-valley",4,256,0.524590122699738,1,0.506600677967072,"cone"
"hill-valley",2,512,0.524590122699738,1,0.506600677967072,"cone"
"hill-valley",2,1024,0.518032738566399,0.01,0.508250832557678,"cone"
"hill-valley",32,512,0.516393405199051,0.1,0.493399322032928,"cone"
"hill-valley",16,1024,0.516393405199051,1,0.493399322032928,"cone"
"hill-valley",3,1024,0.516393405199051,1,0.506600677967072,"rect"
"hill-valley",2,512,0.51147538125515,0.01,0.506600677967072,"rect"
"hill-valley",2,1024,0.511475369334221,0.01,0.493399322032928,"rect"
"hill-valley",2,512,0.508196687698364,1,0.493399322032928,"rect"
"hill-valley",32,512,0.508196687698364,1,0.506600677967072,"cone"
"hill-valley",2,1024,0.508196687698364,1,0.506600677967072,"cone"
"hill-valley",4,1024,0.499999970197678,1,0.506600677967072,"cone"
"hill-valley",4,256,0.499999970197678,1,0.506600677967072,"rect"
"hill-valley",3,256,0.499999970197678,1,0.506600677967072,"cone"
"hill-valley",16,256,0.499999970197678,1,0.493399322032928,"cone"
"hill-valley",2,256,0.49016390144825,0.01,0.493399322032928,"rect"
"hill-valley",4,1024,0.475409799814224,0.01,0.503300309181213,"cone"
"hill-valley",2,256,0.468852433562279,0.01,0.493399351835251,"cone"
"hill-valley",3,512,0.467213100194931,0.01,0.506600677967072,"cone"
"hill-valley",2,512,0.465573745965958,0.01,0.51485151052475,"cone"
"hill-valley",32,1024,0.459016382694244,0.01,0.506600677967072,"cone"
"hill-valley",16,1024,0.459016382694244,0.01,0.506600677967072,"cone"
"hill-valley",16,512,0.459016382694244,0.01,0.506600677967072,"cone"
"hill-valley",8,512,0.459016382694244,0.01,0.506600677967072,"cone"
"hill-valley",4,256,0.459016382694244,0.01,0.506600677967072,"cone"
"hill-valley",3,256,0.459016382694244,0.01,0.506600677967072,"cone"
