"dataset","layerForm","valAccuracy","nhidden","learningrate","testAccuracy","nlayers"
"cylinder-bands","rect",0.668571448326111,1024,0.1,0.6484375,2
"cylinder-bands","rect",0.662857162952423,1024,0.1,0.671875,3
"cylinder-bands","rect",0.648571449518204,256,0.1,0.671875,3
"cylinder-bands","cone",0.642857164144516,256,0.01,0.7578125,2
"cylinder-bands","cone",0.500000014901161,512,0.01,0.390625,32
"cylinder-bands","cone",0.305714300274849,512,1,0.390625,2
"cylinder-bands","rect",0.305714300274849,512,1,0.390625,2
"cylinder-bands","rect",0.257142871618271,1024,0.01,0.390625,32
"cylinder-bands","rect",0.257142871618271,512,0.01,0.390625,32
"cylinder-bands","rect",0.257142871618271,256,0.01,0.390625,32
"cylinder-bands","rect",0.257142871618271,1024,0.1,0.390625,32
"cylinder-bands","rect",0.257142871618271,512,0.1,0.390625,32
"cylinder-bands","cone",0.257142871618271,256,0.1,0.390625,32
"cylinder-bands","rect",0.257142871618271,256,0.1,0.390625,32
"cylinder-bands","cone",0.257142871618271,512,1,0.390625,32
"cylinder-bands","rect",0.257142871618271,512,1,0.390625,32
"cylinder-bands","rect",0.257142871618271,256,1,0.390625,32
"cylinder-bands","rect",0.257142871618271,1024,0.01,0.390625,16
"cylinder-bands","cone",0.257142871618271,512,0.01,0.390625,16
"cylinder-bands","rect",0.257142871618271,512,0.01,0.390625,16
"cylinder-bands","rect",0.257142871618271,256,0.01,0.390625,16
"cylinder-bands","rect",0.257142871618271,1024,0.1,0.390625,16
"cylinder-bands","cone",0.257142871618271,512,0.1,0.390625,16
"cylinder-bands","rect",0.257142871618271,512,0.1,0.390625,16
"cylinder-bands","rect",0.257142871618271,256,0.1,0.390625,16
"cylinder-bands","rect",0.257142871618271,1024,1,0.390625,16
"cylinder-bands","rect",0.257142871618271,512,1,0.390625,16
"cylinder-bands","rect",0.257142871618271,256,1,0.390625,16
"cylinder-bands","rect",0.257142871618271,1024,0.1,0.390625,8
"cylinder-bands","rect",0.257142871618271,512,0.1,0.390625,8
"cylinder-bands","rect",0.257142871618271,256,0.1,0.390625,8
"cylinder-bands","cone",0.257142871618271,1024,1,0.390625,8
"cylinder-bands","rect",0.257142871618271,1024,1,0.390625,8
"cylinder-bands","cone",0.257142871618271,512,1,0.390625,8
"cylinder-bands","rect",0.257142871618271,512,1,0.390625,8
"cylinder-bands","cone",0.257142871618271,256,1,0.390625,8
"cylinder-bands","rect",0.257142871618271,256,1,0.390625,8
"cylinder-bands","cone",0.257142871618271,256,0.01,0.390625,4
"cylinder-bands","rect",0.257142871618271,1024,0.1,0.390625,4
"cylinder-bands","rect",0.257142871618271,256,0.1,0.390625,4
"cylinder-bands","cone",0.257142871618271,1024,1,0.390625,4
"cylinder-bands","rect",0.257142871618271,1024,1,0.390625,4
"cylinder-bands","rect",0.257142871618271,512,1,0.390625,4
"cylinder-bands","rect",0.257142871618271,256,1,0.390625,4
"cylinder-bands","cone",0.257142871618271,1024,1,0.390625,3
"cylinder-bands","rect",0.257142871618271,1024,1,0.390625,3
"cylinder-bands","rect",0.257142871618271,512,1,0.390625,3
"cylinder-bands","cone",0.257142871618271,1024,1,0.390625,2
"cylinder-bands","rect",0.257142871618271,1024,1,0.390625,2
