"dataset","learningrate","nhidden","nlayers","valAccuracy","testAccuracy","layerForm"
"seeds",1,512,4,0.300000011920929,0.346153855323792,"rect"
"seeds",1,256,4,0.300000011920929,0.346153855323792,"rect"
"seeds",0.01,256,3,0.300000011920929,0.346153855323792,"cone"
"seeds",0.1,1024,3,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,512,3,0.300000011920929,0.346153855323792,"rect"
"seeds",0.1,256,3,0.300000011920929,0.346153855323792,"rect"
"seeds",1,1024,3,0.300000011920929,0.346153855323792,"cone"
"seeds",1,1024,3,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,3,0.300000011920929,0.346153855323792,"cone"
"seeds",1,256,3,0.300000011920929,0.346153855323792,"cone"
"seeds",1,256,3,0.300000011920929,0.346153855323792,"rect"
"seeds",1,1024,2,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,2,0.300000011920929,0.346153855323792,"rect"
"seeds",1,256,2,0.300000011920929,0.346153855323792,"rect"
"seeds",1,512,3,0.3,0.326923072338104,"rect"
"seeds",1,1024,4,0.294999998807907,0.326923102140427,"rect"
"seeds",1,256,16,0.285000002384186,0.326923102140427,"cone"
"seeds",1,1024,16,0.280000001192093,0.326923102140427,"cone"
"seeds",0.1,1024,4,0.270000004768372,0.326923102140427,"cone"
"seeds",0.01,256,8,0.269999998807907,0.326923102140427,"rect"
"seeds",0.1,512,32,0.25,0.326923102140427,"cone"
"seeds",0.01,1024,16,0.25,0.326923102140427,"cone"
"seeds",0.01,256,16,0.25,0.326923102140427,"cone"
"seeds",0.1,512,16,0.25,0.326923102140427,"cone"
"seeds",0.1,256,4,0.25,0.326923102140427,"cone"
