"dataset","nhidden","learningrate","nlayers","testAccuracy","valAccuracy","layerForm"
"wine",512,1,3,0.409090936183929,0.529411786794662,"rect"
"wine",256,1,3,0.409090936183929,0.529411786794662,"rect"
"wine",1024,1,2,0.409090936183929,0.500000020861626,"rect"
"wine",512,0.1,4,0.318181812763214,0.335294130444527,"rect"
"wine",1024,0.01,8,0.318181812763214,0.30588236451149,"cone"
"wine",1024,0.01,32,0.318181812763214,0.294117659330368,"rect"
"wine",512,0.01,32,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.01,32,0.318181812763214,0.294117659330368,"cone"
"wine",256,0.01,32,0.318181812763214,0.294117659330368,"rect"
"wine",1024,0.1,32,0.318181812763214,0.294117659330368,"cone"
"wine",1024,0.1,32,0.318181812763214,0.294117659330368,"rect"
"wine",512,0.1,32,0.318181812763214,0.294117659330368,"cone"
"wine",1024,1,32,0.318181812763214,0.294117659330368,"rect"
"wine",512,1,32,0.318181812763214,0.294117659330368,"cone"
"wine",512,1,32,0.318181812763214,0.294117659330368,"rect"
"wine",256,1,32,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,32,0.318181812763214,0.294117659330368,"rect"
"wine",1024,0.01,16,0.318181812763214,0.294117659330368,"cone"
"wine",1024,0.01,16,0.318181812763214,0.294117659330368,"rect"
"wine",512,0.01,16,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.01,16,0.318181812763214,0.294117659330368,"cone"
"wine",1024,0.1,16,0.318181812763214,0.294117659330368,"rect"
"wine",512,0.1,16,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.1,16,0.318181812763214,0.294117659330368,"cone"
"wine",256,0.1,16,0.318181812763214,0.294117659330368,"rect"
"wine",1024,1,16,0.318181812763214,0.294117659330368,"cone"
"wine",512,1,16,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,16,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,16,0.318181812763214,0.294117659330368,"rect"
"wine",1024,0.01,8,0.318181812763214,0.294117659330368,"rect"
"wine",512,0.01,8,0.318181812763214,0.294117659330368,"rect"
"wine",1024,0.1,8,0.318181812763214,0.294117659330368,"cone"
"wine",1024,0.1,8,0.318181812763214,0.294117659330368,"rect"
"wine",512,0.1,8,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.1,8,0.318181812763214,0.294117659330368,"cone"
"wine",256,0.1,8,0.318181812763214,0.294117659330368,"rect"
"wine",1024,1,8,0.318181812763214,0.294117659330368,"rect"
"wine",512,1,8,0.318181812763214,0.294117659330368,"rect"
"wine",256,1,8,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,8,0.318181812763214,0.294117659330368,"rect"
"wine",1024,0.1,4,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.1,4,0.318181812763214,0.294117659330368,"rect"
"wine",1024,1,4,0.318181812763214,0.294117659330368,"cone"
"wine",512,1,4,0.318181812763214,0.294117659330368,"cone"
"wine",512,1,4,0.318181812763214,0.294117659330368,"rect"
"wine",256,1,4,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,4,0.318181812763214,0.294117659330368,"rect"
"wine",1024,0.1,3,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.1,3,0.318181812763214,0.294117659330368,"rect"
"wine",512,1,3,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,3,0.318181812763214,0.294117659330368,"cone"
"wine",1024,1,2,0.318181812763214,0.294117659330368,"cone"
"wine",512,1,2,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,2,0.318181812763214,0.294117659330368,"cone"
"wine",256,1,2,0.318181812763214,0.294117659330368,"rect"
"wine",256,0.01,8,0.272727280855179,0.135294119268656,"rect"
"wine",512,0.01,32,0.272727280855179,0.117647059261799,"cone"
"wine",512,0.01,16,0.272727280855179,0.117647059261799,"cone"
"wine",512,0.01,8,0.272727280855179,0.117647059261799,"cone"
