"dataset","learningrate","nhidden","testAccuracy","nlayers","layerForm","valAccuracy"
"pendigits",0.1,256,0.965408802032471,2,"rect",0.994021821022034
"pendigits",0.1,512,0.955403029918671,3,"cone",0.994021713733673
"pendigits",0.01,256,0.955974757671356,8,"rect",0.992798936367035
"pendigits",0.01,256,0.95740419626236,4,"cone",0.992255479097366
"pendigits",0.01,512,0.962264120578766,8,"rect",0.991304385662079
"pendigits",0.01,1024,0.951972484588623,8,"rect",0.990081548690796
"pendigits",0.01,256,0.962549924850464,8,"cone",0.990081524848938
"pendigits",0.1,256,0.941395044326782,4,"cone",0.989402174949646
"pendigits",0.1,512,0.960548877716064,2,"rect",0.988722842931747
"pendigits",0.1,1024,0.951400756835938,3,"rect",0.988587009906769
"pendigits",0.1,256,0.139794170856476,4,"rect",0.122282606363297
"pendigits",0.01,256,0.104059457778931,16,"cone",0.111413042247295
"pendigits",1,512,0.104059457778931,32,"cone",0.10883152037859
"pendigits",1,1024,0.103773586452007,3,"cone",0.107201088219881
"pendigits",1,256,0.104059465229511,4,"rect",0.107065211981535
"pendigits",1,512,0.103773586452007,4,"rect",0.106657609343529
"pendigits",1,1024,0.104059457778931,16,"cone",0.106521738320589
"pendigits",1,512,0.104059465229511,3,"cone",0.105978260189295
"pendigits",0.1,1024,0.104059457778931,32,"cone",0.105298910290003
"pendigits",1,256,0.104059465229511,16,"cone",0.104619564116001
"pendigits",0.01,1024,0.103773586452007,16,"rect",0.101902177929878
"pendigits",1,256,0.103773586452007,3,"rect",0.101902176439762
"pendigits",0.01,512,0.103773579001427,32,"cone",0.101902174949646
"pendigits",1,1024,0.103773586452007,32,"rect",0.101902174949646
"pendigits",1,512,0.103773579001427,2,"rect",0.101902174949646
"pendigits",0.01,1024,0.103773586452007,32,"cone",0.10190217345953
"pendigits",0.01,512,0.103773579001427,32,"rect",0.10190217345953
"pendigits",0.01,256,0.103773586452007,32,"cone",0.10190217345953
"pendigits",0.01,256,0.103773586452007,32,"rect",0.10190217345953
"pendigits",0.1,512,0.103773586452007,32,"cone",0.10190217345953
"pendigits",0.1,512,0.103773586452007,32,"rect",0.10190217345953
"pendigits",0.1,1024,0.103773586452007,16,"cone",0.10190217345953
"pendigits",0.1,512,0.103773586452007,8,"rect",0.10190217345953
"pendigits",1,512,0.103773586452007,3,"rect",0.10190217345953
"pendigits",1,1024,0.103773586452007,2,"cone",0.10190217345953
"pendigits",0.01,1024,0.103773586452007,32,"rect",0.101902171969414
"pendigits",0.1,1024,0.103773579001427,32,"rect",0.101902171969414
"pendigits",0.1,256,0.103773579001427,32,"cone",0.101902171969414
"pendigits",0.1,256,0.103773586452007,32,"rect",0.101902171969414
"pendigits",1,1024,0.103773579001427,32,"cone",0.101902171969414
"pendigits",1,512,0.103773586452007,32,"rect",0.101902171969414
"pendigits",1,256,0.103773593902588,32,"cone",0.101902171969414
"pendigits",1,256,0.103773586452007,32,"rect",0.101902171969414
"pendigits",0.01,1024,0.103773586452007,16,"cone",0.101902171969414
"pendigits",0.01,512,0.103773586452007,16,"cone",0.101902171969414
"pendigits",0.01,512,0.103773586452007,16,"rect",0.101902171969414
"pendigits",0.01,256,0.103773586452007,16,"rect",0.101902171969414
"pendigits",0.1,1024,0.103773586452007,16,"rect",0.101902171969414
"pendigits",0.1,512,0.103773579001427,16,"cone",0.101902171969414
"pendigits",0.1,512,0.103773586452007,16,"rect",0.101902171969414
"pendigits",0.1,256,0.103773579001427,16,"cone",0.101902171969414
"pendigits",0.1,256,0.103773579001427,16,"rect",0.101902171969414
"pendigits",1,1024,0.103773586452007,16,"rect",0.101902171969414
"pendigits",1,512,0.103773586452007,16,"cone",0.101902171969414
"pendigits",1,512,0.103773586452007,16,"rect",0.101902171969414
"pendigits",1,256,0.103773586452007,16,"rect",0.101902171969414
"pendigits",0.1,1024,0.103773579001427,8,"rect",0.101902171969414
"pendigits",0.1,256,0.103773586452007,8,"cone",0.101902171969414
"pendigits",0.1,256,0.103773586452007,8,"rect",0.101902171969414
"pendigits",1,1024,0.103773579001427,8,"cone",0.101902171969414
"pendigits",1,1024,0.103773586452007,8,"rect",0.101902171969414
"pendigits",1,512,0.103773586452007,8,"cone",0.101902171969414
"pendigits",1,512,0.103773579001427,8,"rect",0.101902171969414
"pendigits",1,256,0.103773586452007,8,"cone",0.101902171969414
"pendigits",1,256,0.103773586452007,8,"rect",0.101902171969414
"pendigits",0.1,1024,0.103773579001427,4,"rect",0.101902171969414
"pendigits",0.1,512,0.103773579001427,4,"rect",0.101902171969414
"pendigits",1,1024,0.103773586452007,4,"cone",0.101902171969414
"pendigits",1,1024,0.103773586452007,4,"rect",0.101902171969414
"pendigits",1,512,0.103773586452007,4,"cone",0.101902171969414
"pendigits",1,256,0.103773586452007,4,"cone",0.101902171969414
"pendigits",1,1024,0.103773586452007,3,"rect",0.101902171969414
"pendigits",1,256,0.103773586452007,3,"cone",0.101902171969414
"pendigits",1,1024,0.103773579001427,2,"rect",0.101902171969414
"pendigits",1,512,0.103773579001427,2,"cone",0.101902171969414
"pendigits",1,256,0.103773586452007,2,"cone",0.101902171969414
"pendigits",1,256,0.103773579001427,2,"rect",0.101902171969414
"pendigits",0.1,512,0.103773579001427,8,"cone",0.0971467360854149
"pendigits",0.1,1024,0.104059465229511,8,"cone",0.0964673861861229
