"dataset","learningrate","layerForm","valAccuracy","nhidden","nlayers","testAccuracy"
"chess-krvk",0.01,"rect",0.172244091331959,256,32,0.163244932889938
"chess-krvk",0.1,"rect",0.172244088351727,512,8,0.163244932889938
"chess-krvk",0.01,"cone",0.17224408686161,256,16,0.163244932889938
"chess-krvk",0.01,"cone",0.17224408686161,512,8,0.163244932889938
"chess-krvk",0.1,"cone",0.17224408686161,512,8,0.163244932889938
"chess-krvk",1,"cone",0.17224408686161,256,4,0.163244932889938
"chess-krvk",1,"cone",0.172244085371494,1024,4,0.163244932889938
"chess-krvk",1,"cone",0.170177157223225,256,3,0.163244932889938
"chess-krvk",1,"rect",0.168110227584839,256,4,0.163244932889938
"chess-krvk",0.01,"cone",0.0964566916227341,1024,32,0.0996578186750412
"chess-krvk",0.01,"rect",0.0964566916227341,1024,32,0.0996578186750412
"chess-krvk",0.01,"cone",0.0964566916227341,512,32,0.0996578186750412
"chess-krvk",0.01,"rect",0.0964566916227341,512,32,0.0996578186750412
"chess-krvk",0.01,"cone",0.0964566916227341,256,32,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,1024,32,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,1024,32,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,512,32,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,512,32,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,256,32,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,256,32,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,1024,32,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,1024,32,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,512,32,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,512,32,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,256,32,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,256,32,0.0996578186750412
"chess-krvk",0.01,"cone",0.0964566916227341,1024,16,0.0996578186750412
"chess-krvk",0.01,"rect",0.0964566916227341,1024,16,0.0996578186750412
"chess-krvk",0.01,"cone",0.0964566916227341,512,16,0.0996578186750412
"chess-krvk",0.01,"rect",0.0964566916227341,512,16,0.0996578186750412
"chess-krvk",0.01,"rect",0.0964566916227341,256,16,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,1024,16,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,1024,16,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,512,16,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,512,16,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,256,16,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,256,16,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,1024,16,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,1024,16,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,512,16,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,512,16,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,256,16,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,256,16,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,1024,8,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,1024,8,0.0996578186750412
"chess-krvk",0.1,"cone",0.0964566916227341,256,8,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,256,8,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,1024,8,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,1024,8,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,512,8,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,512,8,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,256,8,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,256,8,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,1024,4,0.0996578186750412
"chess-krvk",0.1,"rect",0.0964566916227341,512,4,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,1024,4,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,512,4,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,512,4,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,1024,3,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,1024,3,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,512,3,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,512,3,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,256,3,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,1024,2,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,1024,2,0.0996578186750412
"chess-krvk",1,"cone",0.0964566916227341,512,2,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,512,2,0.0996578186750412
"chess-krvk",1,"rect",0.0964566916227341,256,2,0.0996578186750412
