"dataset","nhidden","valAccuracy","learningrate","layerForm","testAccuracy","nlayers"
"abalone",256,0.303333342075348,0.1,"rect",0.336206883192062,32
"abalone",1024,0.303333342075348,1,"cone",0.336206912994385,32
"abalone",1024,0.303333342075348,1,"rect",0.336206912994385,32
"abalone",512,0.303333342075348,1,"rect",0.336206883192062,32
"abalone",256,0.303333342075348,1,"rect",0.336206883192062,32
"abalone",1024,0.303333342075348,0.01,"cone",0.336206912994385,16
"abalone",1024,0.303333342075348,0.01,"rect",0.336206883192062,16
"abalone",512,0.303333342075348,0.01,"rect",0.336206912994385,16
"abalone",256,0.303333342075348,0.01,"rect",0.336206912994385,16
"abalone",1024,0.303333342075348,0.1,"rect",0.336206883192062,16
"abalone",512,0.303333342075348,0.1,"cone",0.336206883192062,16
"abalone",512,0.303333342075348,0.1,"rect",0.336206883192062,16
"abalone",256,0.303333342075348,0.1,"rect",0.336206883192062,16
"abalone",1024,0.303333342075348,1,"cone",0.336206883192062,16
"abalone",1024,0.303333342075348,1,"rect",0.336206883192062,16
"abalone",512,0.303333342075348,1,"rect",0.336206883192062,16
"abalone",256,0.303333342075348,1,"rect",0.336206883192062,16
"abalone",1024,0.303333342075348,0.01,"rect",0.336206883192062,8
"abalone",512,0.303333342075348,0.01,"rect",0.336206912994385,8
"abalone",256,0.303333342075348,0.01,"cone",0.336206912994385,8
"abalone",1024,0.303333342075348,0.1,"rect",0.336206883192062,8
"abalone",512,0.303333342075348,0.1,"cone",0.336206883192062,8
"abalone",512,0.303333342075348,0.1,"rect",0.336206883192062,8
"abalone",256,0.303333342075348,0.1,"rect",0.336206883192062,8
"abalone",1024,0.303333342075348,1,"cone",0.336206883192062,8
"abalone",1024,0.303333342075348,1,"rect",0.336206883192062,8
"abalone",512,0.303333342075348,1,"cone",0.336206883192062,8
"abalone",512,0.303333342075348,1,"rect",0.336206883192062,8
"abalone",256,0.303333342075348,1,"rect",0.336206912994385,8
"abalone",1024,0.303333342075348,0.1,"cone",0.336206883192062,4
"abalone",512,0.303333342075348,0.1,"rect",0.336206883192062,4
"abalone",256,0.303333342075348,0.1,"cone",0.336206883192062,4
"abalone",256,0.303333342075348,0.1,"rect",0.336206883192062,4
"abalone",1024,0.303333342075348,1,"cone",0.336206912994385,4
"abalone",512,0.303333342075348,1,"rect",0.336206912994385,4
"abalone",256,0.303333342075348,1,"cone",0.336206883192062,4
"abalone",256,0.303333342075348,1,"rect",0.336206883192062,4
"abalone",1024,0.303333342075348,0.1,"rect",0.336206883192062,3
"abalone",256,0.303333342075348,0.1,"rect",0.336206883192062,3
"abalone",1024,0.303333342075348,1,"rect",0.336206912994385,3
"abalone",512,0.303333342075348,1,"cone",0.336206883192062,3
"abalone",256,0.303333342075348,1,"cone",0.336206883192062,3
"abalone",1024,0.303333342075348,1,"cone",0.336206883192062,2
"abalone",512,0.303333342075348,1,"cone",0.336206912994385,2
"abalone",512,0.303333342075348,1,"rect",0.336206912994385,2
"abalone",256,0.303333342075348,1,"cone",0.336206912994385,2
"abalone",256,0.303333342075348,1,"rect",0.336206883192062,2
