"dataset","nlayers","valAccuracy","learningrate","layerForm","nhidden","testAccuracy"
"twonorm",4,0.500000020861626,1,"rect",256,0.500540554523468
"twonorm",32,0.500000017881393,0.01,"cone",1024,0.499459445476532
"twonorm",32,0.500000017881393,0.01,"cone",256,0.500540554523468
"twonorm",16,0.500000017881393,1,"rect",512,0.499459445476532
"twonorm",8,0.500000017881393,0.1,"cone",1024,0.500540554523468
"twonorm",4,0.500000017881393,0.1,"rect",1024,0.500540554523468
"twonorm",3,0.500000017881393,1,"rect",256,0.500540554523468
"twonorm",16,0.500000017881393,0.1,"rect",512,0.500540554523468
"twonorm",2,0.500000017881393,1,"cone",512,0.500540554523468
"twonorm",16,0.500000014901161,1,"rect",256,0.500540554523468
"twonorm",8,0.500000014901161,0.1,"rect",512,0.500540554523468
"twonorm",4,0.500000014901161,1,"rect",512,0.500540614128113
"twonorm",2,0.500000014901161,1,"cone",256,0.499459445476532
"twonorm",16,0.500000011920929,0.01,"cone",1024,0.499459445476532
"twonorm",3,0.500000011920929,1,"rect",1024,0.500540614128113
"twonorm",2,0.500000011920929,1,"cone",1024,0.500540614128113
"twonorm",16,0.500000011920929,1,"cone",512,0.499459475278854
"twonorm",8,0.500000011920929,1,"cone",512,0.500540554523468
"twonorm",3,0.500000011920929,1,"rect",512,0.499459445476532
"twonorm",32,0.500000008940697,1,"cone",1024,0.500540614128113
"twonorm",16,0.500000008940697,0.01,"rect",256,0.500540554523468
"twonorm",16,0.500000008940697,0.1,"cone",1024,0.500540554523468
"twonorm",4,0.500000008940697,0.01,"cone",1024,0.500540614128113
"twonorm",32,0.500000005960465,0.01,"cone",512,0.500540554523468
"twonorm",32,0.500000005960464,1,"rect",1024,0.500540554523468
"twonorm",16,0.500000005960464,0.1,"cone",256,0.500540554523468
"twonorm",16,0.500000005960464,1,"cone",1024,0.500540614128113
"twonorm",16,0.500000005960464,1,"rect",1024,0.500540554523468
"twonorm",16,0.500000005960464,1,"cone",256,0.499459445476532
"twonorm",8,0.500000005960464,0.1,"cone",512,0.500540554523468
"twonorm",4,0.500000005960464,1,"cone",1024,0.500540554523468
"twonorm",4,0.500000005960464,1,"cone",256,0.499459445476532
"twonorm",32,0.500000002980232,1,"rect",512,0.500540554523468
"twonorm",4,0.500000002980232,1,"cone",512,0.499459445476532
"twonorm",3,0.500000002980232,1,"cone",256,0.500540614128113
"twonorm",32,0.500000002980232,1,"cone",256,0.500540554523468
"twonorm",16,0.5,0.01,"cone",512,0.499459445476532
"twonorm",8,0.5,0.01,"cone",1024,0.499459475278854
"twonorm",8,0.5,0.01,"cone",256,0.499459445476532
"twonorm",8,0.5,1,"rect",512,0.500540614128113
"twonorm",8,0.5,1,"cone",256,0.500540554523468
"twonorm",4,0.5,0.01,"cone",512,0.499459445476532
"twonorm",4,0.5,0.1,"cone",512,0.500540614128113
"twonorm",4,0.5,1,"rect",1024,0.500540554523468
"twonorm",16,0.499999997019768,0.1,"rect",1024,0.500540554523468
