"dataset","valAccuracy","nhidden","nlayers","learningrate","testAccuracy","layerForm"
"energy-y1",0.390625,1024,16,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,16,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,512,16,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,512,16,0.1,0.473958402872086,"rect"
"energy-y1",0.390625,256,16,0.1,0.473958402872086,"cone"
"energy-y1",0.390625,256,16,0.1,0.473958402872086,"rect"
"energy-y1",0.390625,1024,16,1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,16,1,0.473958373069763,"rect"
"energy-y1",0.390625,512,16,1,0.473958373069763,"cone"
"energy-y1",0.390625,512,16,1,0.473958373069763,"rect"
"energy-y1",0.390625,256,16,1,0.473958402872086,"cone"
"energy-y1",0.390625,256,16,1,0.473958373069763,"rect"
"energy-y1",0.390625,512,8,0.01,0.473958373069763,"rect"
"energy-y1",0.390625,1024,8,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,8,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,512,8,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,512,8,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,256,8,0.1,0.473958402872086,"cone"
"energy-y1",0.390625,256,8,0.1,0.473958402872086,"rect"
"energy-y1",0.390625,1024,8,1,0.473958343267441,"cone"
"energy-y1",0.390625,1024,8,1,0.473958373069763,"rect"
"energy-y1",0.390625,512,8,1,0.473958373069763,"cone"
"energy-y1",0.390625,512,8,1,0.473958343267441,"rect"
"energy-y1",0.390625,256,8,1,0.473958373069763,"cone"
"energy-y1",0.390625,256,8,1,0.473958343267441,"rect"
"energy-y1",0.390625,256,4,0.01,0.473958373069763,"cone"
"energy-y1",0.390625,1024,4,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,4,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,512,4,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,256,4,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,1024,4,1,0.473958402872086,"cone"
"energy-y1",0.390625,1024,4,1,0.473958373069763,"rect"
"energy-y1",0.390625,512,4,1,0.473958402872086,"cone"
"energy-y1",0.390625,512,4,1,0.473958343267441,"rect"
"energy-y1",0.390625,256,4,1,0.473958373069763,"cone"
"energy-y1",0.390625,256,4,1,0.473958373069763,"rect"
"energy-y1",0.390625,1024,3,0.1,0.473958373069763,"rect"
"energy-y1",0.390625,256,3,0.1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,3,1,0.473958373069763,"cone"
"energy-y1",0.390625,1024,3,1,0.473958402872086,"rect"
"energy-y1",0.390625,512,3,1,0.473958373069763,"cone"
"energy-y1",0.390625,512,3,1,0.473958402872086,"rect"
"energy-y1",0.390625,256,3,1,0.473958343267441,"cone"
"energy-y1",0.390625,256,3,1,0.473958373069763,"rect"
"energy-y1",0.390625,1024,2,1,0.473958343267441,"cone"
"energy-y1",0.390625,1024,2,1,0.473958373069763,"rect"
"energy-y1",0.390625,512,2,1,0.473958373069763,"cone"
"energy-y1",0.390625,512,2,1,0.473958402872086,"rect"
"energy-y1",0.390625,256,2,1,0.473958373069763,"cone"
"energy-y1",0.390625,256,2,1,0.473958373069763,"rect"
"energy-y1",0.34375,256,32,0.01,0.348958343267441,"cone"
"energy-y1",0.34375,1024,8,0.01,0.348958373069763,"cone"
"energy-y1",0.34375,256,8,0.01,0.348958343267441,"cone"
"energy-y1",0.34375,256,8,0.01,0.348958373069763,"rect"
