"dataset","nlayers","testAccuracy","valAccuracy","layerForm","learningrate","nhidden"
"ringnorm",16,0.495135128498077,0.49909588098526,"rect",0.1,512
"ringnorm",8,0.495135128498077,0.49909588098526,"rect",1,1024
"ringnorm",8,0.4951351583004,0.49909588098526,"rect",1,512
"ringnorm",4,0.495135128498077,0.49909588098526,"rect",1,1024
"ringnorm",3,0.495135128498077,0.49909588098526,"cone",1,1024
"ringnorm",3,0.495135128498077,0.49909588098526,"rect",1,512
"ringnorm",32,0.495135128498077,0.499095875024796,"rect",0.1,256
"ringnorm",16,0.495135128498077,0.499095875024796,"rect",0.01,512
"ringnorm",16,0.495135128498077,0.499095875024796,"rect",0.01,256
"ringnorm",16,0.495135128498077,0.499095875024796,"rect",1,256
"ringnorm",8,0.4951351583004,0.499095875024796,"rect",0.1,1024
"ringnorm",8,0.495135128498077,0.499095875024796,"rect",0.1,256
"ringnorm",3,0.495135128498077,0.499095875024796,"rect",1,256
"ringnorm",2,0.495135128498077,0.499095875024796,"cone",1,512
"ringnorm",4,0.495135128498077,0.499095875024796,"rect",1,256
"ringnorm",4,0.495135128498077,0.499095869064331,"rect",1,512
"ringnorm",3,0.495135128498077,0.499095869064331,"cone",1,512
"ringnorm",2,0.495135128498077,0.499095869064331,"rect",1,512
"ringnorm",32,0.495135128498077,0.499095869064331,"rect",1,256
"ringnorm",16,0.4951351583004,0.499095869064331,"rect",1,512
"ringnorm",16,0.495135128498077,0.499095869064331,"rect",1,1024
"ringnorm",2,0.495135128498077,0.499095869064331,"rect",1,1024
"ringnorm",32,0.495135128498077,0.499095863103867,"cone",0.1,1024
"ringnorm",16,0.495135128498077,0.499095863103867,"rect",0.01,1024
"ringnorm",8,0.495135128498077,0.499095863103867,"cone",0.1,512
"ringnorm",16,0.4951351583004,0.499095863103867,"rect",0.1,256
"ringnorm",8,0.495135128498077,0.499095863103867,"cone",1,1024
"ringnorm",8,0.4951351583004,0.499095863103867,"rect",1,256
"ringnorm",32,0.4951351583004,0.499095863103867,"rect",0.01,512
"ringnorm",16,0.495135128498077,0.499095863103867,"cone",0.01,256
"ringnorm",8,0.495135128498077,0.499095863103867,"cone",0.1,256
"ringnorm",32,0.495135128498077,0.499095857143402,"rect",0.1,512
"ringnorm",4,0.495135128498077,0.499095857143402,"cone",1,1024
"ringnorm",2,0.495135128498077,0.49909585416317,"cone",1,1024
"ringnorm",8,0.495135128498077,0.499095851182938,"rect",0.1,512
