"dataset","nhidden","nlayers","testAccuracy","valAccuracy","learningrate","layerForm"
"hepatitis",256,2,0.794871807098389,0.919999980926514,0.1,"cone"
"hepatitis",512,16,0.794871807098389,0.909999978542328,1,"cone"
"hepatitis",256,8,0.871794879436493,0.909999978542328,0.01,"cone"
"hepatitis",512,3,0.743589758872986,0.909999978542328,0.01,"cone"
"hepatitis",1024,2,0.846153855323792,0.909999978542328,0.1,"cone"
"hepatitis",256,3,0.846153855323792,0.899999994039536,1,"cone"
"hepatitis",1024,2,0.871794879436493,0.899999982118607,1,"cone"
"hepatitis",1024,32,0.794871807098389,0.899999976158142,0.01,"cone"
"hepatitis",512,32,0.794871807098389,0.899999976158142,0.01,"cone"
"hepatitis",256,32,0.794871807098389,0.899999976158142,0.01,"cone"
"hepatitis",256,32,0.794871807098389,0.899999976158142,0.01,"rect"
"hepatitis",1024,32,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",512,32,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",512,32,0.794871807098389,0.899999976158142,0.1,"rect"
"hepatitis",256,32,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",256,32,0.794871807098389,0.899999976158142,0.1,"rect"
"hepatitis",1024,32,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",512,32,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",256,32,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",1024,16,0.794871807098389,0.899999976158142,0.01,"cone"
"hepatitis",512,16,0.794871807098389,0.899999976158142,0.01,"cone"
"hepatitis",256,16,0.794871807098389,0.899999976158142,0.01,"cone"
"hepatitis",1024,16,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",512,16,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",256,16,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",1024,16,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",256,16,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",512,8,0.794871807098389,0.899999976158142,0.01,"rect"
"hepatitis",1024,8,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",512,8,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",512,8,0.794871807098389,0.899999976158142,1,"rect"
"hepatitis",256,8,0.794871807098389,0.899999976158142,1,"cone"
"hepatitis",512,4,0.82051283121109,0.899999976158142,0.01,"cone"
"hepatitis",512,4,0.769230782985687,0.899999976158142,0.01,"rect"
"hepatitis",512,4,0.846153855323792,0.899999976158142,0.1,"rect"
"hepatitis",256,4,0.743589758872986,0.899999976158142,0.1,"cone"
"hepatitis",256,4,0.897435903549194,0.899999976158142,0.1,"rect"
"hepatitis",512,4,0.794871807098389,0.899999976158142,1,"rect"
"hepatitis",256,4,0.794871807098389,0.899999976158142,1,"rect"
"hepatitis",1024,3,0.769230782985687,0.899999976158142,0.01,"rect"
"hepatitis",1024,3,0.794871807098389,0.899999976158142,0.1,"cone"
"hepatitis",512,3,0.82051283121109,0.899999976158142,0.1,"cone"
"hepatitis",256,3,0.82051283121109,0.899999976158142,0.1,"cone"
"hepatitis",512,2,0.82051283121109,0.899999976158142,0.01,"cone"
"hepatitis",512,16,0.794871807098389,0.889999979734421,0.1,"rect"
"hepatitis",1024,8,0.794871807098389,0.8799999833107,0.1,"rect"
"hepatitis",256,16,0.794871807098389,0.869999986886978,0.1,"rect"
"hepatitis",256,16,0.769230782985687,0.849999994039536,0.01,"rect"
"hepatitis",512,16,0.769230782985687,0.830000001192093,0.01,"rect"
"hepatitis",1024,32,0.794871807098389,0.81999997869134,0.01,"rect"
"hepatitis",512,16,0.794871807098389,0.81999997869134,1,"rect"
"hepatitis",256,16,0.794871807098389,0.81999997869134,1,"rect"
"hepatitis",1024,8,0.794871807098389,0.81999997869134,1,"rect"
"hepatitis",256,32,0.794871807098389,0.81999997869134,1,"rect"
"hepatitis",1024,3,0.794871807098389,0.81999997869134,1,"rect"
"hepatitis",512,8,0.846153855323792,0.81000000834465,0.01,"cone"
"hepatitis",1024,4,0.82051283121109,0.800000011920929,0.01,"cone"
"hepatitis",256,4,0.743589758872986,0.800000011920929,0.01,"rect"
"hepatitis",256,3,0.794871807098389,0.800000011920929,0.01,"rect"
"hepatitis",256,2,0.794871807098389,0.799999995529652,1,"rect"
"hepatitis",1024,2,0.794871807098389,0.739999981224537,1,"rect"
"hepatitis",256,4,0.743589758872986,0.710000044107437,0.01,"cone"
"hepatitis",1024,8,0.717948734760284,0.700000047683716,0.01,"cone"
"hepatitis",1024,32,0.205128207802773,0.659999983757734,0.1,"rect"
"hepatitis",256,3,0.307692319154739,0.639999987185001,1,"rect"
"hepatitis",512,3,0.512820541858673,0.490000000596046,1,"rect"
"hepatitis",512,2,0.205128207802773,0.43999999538064,1,"rect"
"hepatitis",256,8,0.794871807098389,0.419999991357326,1,"rect"
"hepatitis",1024,4,0.205128207802773,0.389999996125698,1,"rect"
"hepatitis",1024,32,0.205128207802773,0.259999996423721,1,"rect"
"hepatitis",512,32,0.205128207802773,0.259999996423721,1,"rect"
"hepatitis",1024,16,0.205128207802773,0.179999998956919,1,"rect"
