"dataset","nhidden","testAccuracy","layerForm","valAccuracy","nlayers","learningrate"
"plant-margin",1024,0.00999999977648258,"rect",0.0117117119953036,16,1
"plant-margin",1024,0.00999999977648258,"rect",0.0117117119953036,4,1
"plant-margin",512,0.00999999977648258,"rect",0.0099099101498723,32,1
"plant-margin",1024,0.00999999977648258,"rect",0.0099099101498723,3,1
"plant-margin",1024,0.00999999977648258,"rect",0.00810810830444098,32,0.1
"plant-margin",1024,0.00999999977648258,"rect",0.00810810830444098,32,1
"plant-margin",256,0.00999999977648258,"rect",0.00810810830444098,16,1
"plant-margin",512,0.00999999977648258,"rect",0.00810810830444098,8,1
"plant-margin",256,0.00999999977648258,"cone",0.00630630645900965,32,0.1
"plant-margin",512,0.00999999977648258,"rect",0.00450450461357832,32,0.1
"plant-margin",256,0.00999999977648258,"rect",0.00450450461357832,32,0.1
"plant-margin",256,0.00999999977648258,"cone",0.00450450461357832,16,1
"plant-margin",1024,0.00999999977648258,"cone",0.00360360369086266,32,0.1
"plant-margin",1024,0.00999999977648258,"cone",0.00360360369086266,32,1
"plant-margin",256,0.00999999977648258,"cone",0.00360360369086266,32,1
"plant-margin",512,0.00999999977648258,"cone",0.00180180184543133,32,0.1
"plant-margin",512,0.00999999977648258,"cone",0.00180180184543133,32,1
"plant-margin",1024,0.0199999995529652,"cone",0.00180180184543133,16,1
