"dataset","nlayers","testAccuracy","valAccuracy","nhidden","learningrate","layerForm"
"statlog-heart",8,0.641790986061096,0.5375,256,0.01,"cone"
"statlog-heart",2,0.731343328952789,0.53125,256,1,"rect"
"statlog-heart",32,0.552238821983337,0.53125,1024,0.01,"rect"
"statlog-heart",3,0.447761207818985,0.525,256,1,"rect"
"statlog-heart",32,0.447761207818985,0.5125,256,0.01,"rect"
"statlog-heart",32,0.552238821983337,0.5125,1024,1,"rect"
"statlog-heart",32,0.447761207818985,0.5125,256,1,"rect"
"statlog-heart",3,0.447761207818985,0.5125,512,1,"rect"
"statlog-heart",32,0.507462680339813,0.5125,512,0.01,"rect"
"statlog-heart",4,0.552238821983337,0.50625,1024,1,"rect"
"statlog-heart",8,0.552238821983337,0.5,256,1,"rect"
"statlog-heart",32,0.447761207818985,0.4875,512,1,"rect"
"statlog-heart",32,0.552238821983337,0.4875,256,1,"cone"
"statlog-heart",8,0.552238821983337,0.4875,1024,1,"rect"
"statlog-heart",8,0.552238821983337,0.4875,512,1,"rect"
"statlog-heart",32,0.552238821983337,0.475,1024,0.1,"rect"
"statlog-heart",16,0.552238821983337,0.475,1024,0.1,"rect"
"statlog-heart",16,0.552238821983337,0.475,512,1,"rect"
"statlog-heart",4,0.447761207818985,0.475,256,1,"rect"
"statlog-heart",32,0.552238821983337,0.4625,1024,0.1,"cone"
"statlog-heart",32,0.552238821983337,0.4625,512,0.1,"rect"
"statlog-heart",32,0.552238821983337,0.4625,256,0.1,"rect"
"statlog-heart",32,0.552238821983337,0.4625,1024,1,"cone"
"statlog-heart",16,0.552238821983337,0.4625,1024,1,"rect"
"statlog-heart",16,0.447761207818985,0.4625,256,1,"rect"
"statlog-heart",2,0.552238821983337,0.4625,1024,1,"rect"
"statlog-heart",32,0.552238821983337,0.45,1024,0.01,"cone"
"statlog-heart",16,0.552238821983337,0.45,1024,1,"cone"
"statlog-heart",16,0.552238821983337,0.45,512,1,"cone"
"statlog-heart",16,0.552238821983337,0.44375,256,0.01,"cone"
"statlog-heart",4,0.552238821983337,0.4375,512,1,"rect"
"statlog-heart",32,0.552238821983337,0.4375,512,0.01,"cone"
"statlog-heart",32,0.552238821983337,0.4375,256,0.01,"cone"
"statlog-heart",32,0.552238821983337,0.4375,512,0.1,"cone"
"statlog-heart",32,0.552238821983337,0.4375,256,0.1,"cone"
"statlog-heart",32,0.552238821983337,0.4375,512,1,"cone"
"statlog-heart",16,0.552238821983337,0.4375,512,0.01,"cone"
"statlog-heart",16,0.552238821983337,0.4375,1024,0.1,"cone"
"statlog-heart",16,0.552238821983337,0.4375,256,0.1,"cone"
"statlog-heart",8,0.552238821983337,0.4375,256,1,"cone"
"statlog-heart",16,0.552238821983337,0.4,256,1,"cone"
