"dataset","nlayers","layerForm","learningrate","nhidden","valAccuracy","testAccuracy"
"ozone",3,"cone",0.1,1024,0.973584944009781,0.955836057662964
"ozone",8,"cone",0.01,256,0.9731132209301,0.968454360961914
"ozone",3,"rect",0.01,1024,0.972641545534134,0.97003173828125
"ozone",4,"rect",0.1,256,0.972641521692276,0.971608936786652
"ozone",2,"cone",0.1,1024,0.972169816493988,0.97003161907196
"ozone",3,"cone",0.01,256,0.971698153018951,0.963722467422485
"ozone",8,"rect",0.1,1024,0.971698129177094,0.971608877182007
"ozone",2,"rect",0.01,512,0.97169805765152,0.971608996391296
"ozone",8,"rect",0.1,256,0.970283031463623,0.973186254501343
"ozone",4,"rect",0.01,512,0.969811326265335,0.9574134349823
"ozone",2,"rect",0.01,1024,0.968867927789688,0.968454360961914
"ozone",2,"rect",0.1,256,0.968867927789688,0.966877102851868
"ozone",3,"rect",0.1,1024,0.96886790394783,0.968454360961914
"ozone",8,"rect",0.01,1024,0.967924565076828,0.971608936786652
"ozone",4,"cone",0.01,1024,0.966981160640717,0.971608877182007
"ozone",2,"rect",0.1,1024,0.966981101036072,0.971608996391296
"ozone",3,"rect",0.01,512,0.966509473323822,0.968454360961914
"ozone",4,"rect",0.1,512,0.966037714481354,0.973186254501343
"ozone",3,"rect",0.1,512,0.965094351768494,0.965299785137177
"ozone",3,"rect",0.1,256,0.964622664451599,0.973186254501343
"ozone",4,"cone",0.01,512,0.964150929450989,0.963722586631775
"ozone",8,"cone",0.01,512,0.962264227867127,0.955836057662964
"ozone",4,"rect",0.1,1024,0.961792474985123,0.966877102851868
"ozone",4,"cone",0.1,512,0.960849064588547,0.97003161907196
"ozone",3,"cone",0.01,1024,0.960377383232117,0.974763512611389
"ozone",4,"rect",0.01,1024,0.959905678033829,0.974763512611389
"ozone",16,"rect",0.01,256,0.958962261676788,0.955836057662964
"ozone",8,"rect",0.01,256,0.958018893003464,0.963722586631775
"ozone",16,"rect",0.01,1024,0.957075482606888,0.965299844741821
"ozone",4,"rect",0.01,256,0.949056613445282,0.962145209312439
"ozone",2,"rect",1,256,0.941981154680252,0.971608877182007
"ozone",32,"rect",1,1024,0.881132054701447,0.971608996391296
