"dataset","testAccuracy","nhidden","valAccuracy","learningrate","nlayers","layerForm"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.685714304447174,0.1,2,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.671428591012955,0.1,3,"rect"
"pittsburg-bridges-REL-L",0.653846144676208,512,0.671428591012955,0.1,2,"cone"
"pittsburg-bridges-REL-L",0.615384697914124,256,0.671428591012955,0.1,2,"cone"
"pittsburg-bridges-REL-L",0.653846204280853,256,0.657142877578735,0.01,16,"rect"
"pittsburg-bridges-REL-L",0.653846144676208,1024,0.657142877578735,0.1,4,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,256,0.657142877578735,0.1,4,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,512,0.657142877578735,0.01,3,"rect"
"pittsburg-bridges-REL-L",0.769230842590332,1024,0.657142877578735,0.1,3,"rect"
"pittsburg-bridges-REL-L",0.692307710647583,1024,0.657142877578735,0.01,2,"rect"
"pittsburg-bridges-REL-L",0.769230842590332,256,0.642857164144516,0.1,8,"rect"
"pittsburg-bridges-REL-L",0.653846204280853,1024,0.642857164144516,0.1,2,"cone"
"pittsburg-bridges-REL-L",0.769230842590332,256,0.628571450710297,0.01,8,"rect"
"pittsburg-bridges-REL-L",0.615384697914124,1024,0.628571450710297,0.01,3,"rect"
"pittsburg-bridges-REL-L",0.846153914928436,512,0.614285737276077,0.1,8,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,512,0.614285737276077,1,3,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,1024,0.614285737276077,1,2,"cone"
"pittsburg-bridges-REL-L",0.692307770252228,256,0.600000023841858,0.01,16,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.600000023841858,1,4,"cone"
"pittsburg-bridges-REL-L",0.538461565971375,512,0.600000023841858,1,2,"cone"
"pittsburg-bridges-REL-L",0.5,1024,0.585714310407638,0.1,8,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,512,0.585714310407638,0.01,2,"cone"
"pittsburg-bridges-REL-L",0.653846204280853,1024,0.585714310407638,0.1,2,"rect"
"pittsburg-bridges-REL-L",0.5,1024,0.571428596973419,0.1,16,"cone"
"pittsburg-bridges-REL-L",0.807692408561707,512,0.571428596973419,0.1,8,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.571428596973419,1,8,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,1024,0.571428596973419,0.01,4,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,512,0.571428596973419,0.01,4,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,1024,0.571428596973419,0.1,4,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,1024,0.571428596973419,0.01,3,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,256,0.571428596973419,0.01,2,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.571428596973419,1,2,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.54285717010498,1,8,"cone"
"pittsburg-bridges-REL-L",0.769230842590332,1024,0.528571456670761,0.01,8,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,512,0.528571456670761,1,4,"cone"
"pittsburg-bridges-REL-L",0.730769276618958,256,0.514285743236542,1,3,"cone"
"pittsburg-bridges-REL-L",0.615384638309479,1024,0.485714316368103,0.01,16,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.485714316368103,0.01,16,"cone"
"pittsburg-bridges-REL-L",0.769230842590332,1024,0.471428602933884,0.1,8,"rect"
"pittsburg-bridges-REL-L",0.730769276618958,256,0.457142889499664,0.01,8,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.428571462631226,0.01,32,"cone"
"pittsburg-bridges-REL-L",0.423076927661896,512,0.428571462631226,0.01,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.428571462631226,0.01,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.428571462631226,0.1,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.428571462631226,0.1,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.428571462631226,0.1,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.428571462631226,0.1,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.428571462631226,0.1,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.428571462631226,1,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.428571462631226,1,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.428571462631226,1,32,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.428571462631226,0.1,16,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.428571462631226,0.1,16,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.428571462631226,0.1,16,"cone"
"pittsburg-bridges-REL-L",0.615384697914124,256,0.428571462631226,0.1,16,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.428571462631226,1,16,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.428571462631226,1,8,"cone"
"pittsburg-bridges-REL-L",0.807692408561707,256,0.428571462631226,0.01,4,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.428571462631226,1,4,"cone"
"pittsburg-bridges-REL-L",0.692307710647583,256,0.428571458160877,0.1,8,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.414285746216774,1,16,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.400000029802322,0.01,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.400000029802322,0.1,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.400000029802322,1,3,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,256,0.385714314877987,1,16,"cone"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.385714313387871,0.01,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.385714313387871,0.1,16,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,1024,0.385714311897755,0.01,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,1024,0.385714310407639,1,3,"rect"
"pittsburg-bridges-REL-L",0.115384623408318,256,0.371428596973419,1,32,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,256,0.371428596973419,1,4,"rect"
"pittsburg-bridges-REL-L",0.115384623408318,256,0.357142880558968,1,3,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,1024,0.357142880558968,1,32,"rect"
"pittsburg-bridges-REL-L",0.576923131942749,512,0.357142880558968,1,8,"rect"
"pittsburg-bridges-REL-L",0.653846144676208,512,0.342857164144516,1,4,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,256,0.342857164144516,1,16,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,512,0.342857164144516,1,2,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,1024,0.328571447730064,1,4,"rect"
"pittsburg-bridges-REL-L",0.115384623408318,1024,0.328571446239948,1,2,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,1024,0.314285731315613,1,8,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,256,0.314285731315613,1,8,"rect"
"pittsburg-bridges-REL-L",0.115384623408318,256,0.314285731315613,1,2,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,1024,0.300000014901161,1,16,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,512,0.300000014901161,1,16,"rect"
"pittsburg-bridges-REL-L",0.307692319154739,512,0.28571429848671,1,32,"rect"
