"dataset","nhidden","layerForm","valAccuracy","learningrate","nlayers","testAccuracy"
"pendigits",1024,"cone",0.990823215246201,0.01,16,0.965408682823181
"pendigits",1024,"rect",0.990553337335587,0.01,16,0.968267560005188
"pendigits",512,"rect",0.988798916339874,0.01,16,0.963407576084137
"pendigits",256,"cone",0.98825911283493,0.01,16,0.964551150798798
"pendigits",256,"cone",0.985155212879181,0.01,8,0.959691226482391
"pendigits",1024,"rect",0.985020214319229,0.01,32,0.956260740756989
"pendigits",256,"rect",0.982995998859406,0.01,16,0.959691226482391
"pendigits",512,"rect",0.980836725234985,0.01,32,0.950829029083252
"pendigits",512,"cone",0.979082381725311,0.01,16,0.962549924850464
"pendigits",1024,"rect",0.978812426328659,0.1,16,0.959977030754089
"pendigits",256,"rect",0.976653200387955,0.01,32,0.961120665073395
"pendigits",1024,"cone",0.476788121461868,0.01,32,0.438250422477722
"pendigits",512,"cone",0.192847511172295,1,16,0.191252142190933
"pendigits",1024,"cone",0.177192977070808,1,16,0.203259006142616
"pendigits",256,"cone",0.133603239804506,0.01,32,0.0960548967123032
"pendigits",512,"cone",0.117948721349239,0.1,32,0.104059457778931
"pendigits",1024,"rect",0.109986504167318,1,32,0.0960548967123032
"pendigits",512,"rect",0.109311744570732,1,32,0.103773586452007
"pendigits",1024,"rect",0.109311744570732,1,8,0.103773586452007
"pendigits",1024,"rect",0.109311744570732,1,4,0.103773579001427
"pendigits",256,"rect",0.109311744570732,1,4,0.103773579001427
"pendigits",512,"rect",0.109041837602854,1,16,0.104059465229511
"pendigits",512,"rect",0.107827262580395,1,4,0.103773586452007
"pendigits",512,"cone",0.107827261090279,0.01,32,0.103773579001427
"pendigits",256,"cone",0.107827259600163,1,16,0.104059457778931
"pendigits",256,"cone",0.107287449389696,0.1,32,0.103773586452007
"pendigits",1024,"cone",0.106747640669346,1,32,0.096054881811142
"pendigits",256,"cone",0.105398112535477,1,32,0.103773586452007
"pendigits",512,"rect",0.105263158679008,1,3,0.104059465229511
"pendigits",1024,"rect",0.10526315793395,1,16,0.104059457778931
"pendigits",256,"rect",0.10526315793395,1,8,0.104059465229511
"pendigits",512,"cone",0.105128203332424,1,32,0.104059457778931
"pendigits",1024,"rect",0.104993252456188,1,3,0.104059465229511
"pendigits",1024,"rect",0.104723346978426,0.1,32,0.0960548967123032
"pendigits",256,"rect",0.104453442245722,1,16,0.095769003033638
"pendigits",256,"rect",0.104048584401608,1,32,0.0957690104842186
"pendigits",512,"rect",0.102564103156328,1,8,0.0960548892617226
"pendigits",1024,"cone",0.102159243822098,0.1,32,0.104059457778931
"pendigits",256,"rect",0.102159243822098,0.1,32,0.104059457778931
"pendigits",512,"rect",0.101349526643753,0.1,32,0.104059457778931
