"dataset","valAccuracy","nlayers","nhidden","layerForm","testAccuracy","learningrate"
"waveform",0.851327443122864,3,256,"rect",0.82399994134903,0.01
"waveform",0.851032447814941,8,512,"rect",0.836799919605255,0.1
"waveform",0.85044247508049,8,256,"rect",0.811999976634979,0.1
"waveform",0.849852520227432,16,256,"cone",0.807999968528748,0.01
"waveform",0.849852508306503,3,1024,"rect",0.827999949455261,0.01
"waveform",0.84867257475853,3,1024,"rect",0.828000009059906,0.1
"waveform",0.848377591371536,4,256,"cone",0.826399862766266,0.1
"waveform",0.847787612676621,8,512,"cone",0.836799919605255,0.1
"waveform",0.84719762802124,3,256,"rect",0.829599916934967,0.1
"waveform",0.846607661247254,4,512,"cone",0.840799927711487,0.01
"waveform",0.846312695741653,8,512,"cone",0.822400033473969,0.01
"waveform",0.846017706394196,2,1024,"rect",0.827999949455261,0.1
"waveform",0.84601765871048,16,1024,"rect",0.842399954795837,0.01
"waveform",0.842477864027023,8,1024,"rect",0.834399938583374,0.01
"waveform",0.842477858066559,8,256,"cone",0.820799946784973,0.01
"waveform",0.842182886600494,4,1024,"rect",0.828800022602081,0.1
"waveform",0.839527994394302,4,512,"rect",0.818399965763092,0.1
"waveform",0.838643014431,3,512,"rect",0.834399938583374,0.1
"waveform",0.83716813325882,8,512,"rect",0.821600019931793,0.01
"waveform",0.834808266162872,4,512,"rect",0.828799962997437,0.01
"waveform",0.830973422527313,16,1024,"cone",0.815999925136566,0.01
"waveform",0.828318595886231,16,256,"rect",0.822399973869324,0.01
"waveform",0.827138638496399,3,512,"rect",0.833599925041199,0.01
"waveform",0.82359881401062,8,1024,"cone",0.802399873733521,0.01
"waveform",0.811209434270859,8,256,"rect",0.816799938678741,0.01
"waveform",0.724188780784607,32,512,"rect",0.736799955368042,0.01
"waveform",0.586725682020187,16,1024,"rect",0.600799918174744,0.1
"waveform",0.569321572780609,16,512,"rect",0.590399920940399,0.1
"waveform",0.52861356139183,16,512,"cone",0.74399995803833,0.01
"waveform",0.504424804449081,32,1024,"rect",0.52239990234375,0.01
"waveform",0.413864299654961,16,256,"cone",0.340000003576279,0.1
"waveform",0.38495574593544,32,1024,"rect",0.45279997587204,0.1
"waveform",0.372861343622208,16,1024,"cone",0.357599973678589,1
"waveform",0.371386423707008,2,512,"rect",0.472799986600876,1
"waveform",0.365781724452972,32,512,"cone",0.333599984645844,0.01
"waveform",0.365781724452972,8,512,"rect",0.331200003623962,1
"waveform",0.365781724452972,4,512,"rect",0.331199944019318,1
"waveform",0.365781724452972,2,256,"rect",0.331200003623962,1
"waveform",0.349262535572052,32,1024,"cone",0.339999973773956,0.1
"waveform",0.348967546224594,3,512,"rect",0.331200003623962,1
"waveform",0.345132738351822,16,512,"rect",0.331200003623962,1
"waveform",0.343657812476158,32,1024,"cone",0.340000003576279,1
"waveform",0.342182886600494,2,1024,"rect",0.331200003623962,1
"waveform",0.340707960724831,3,1024,"rect",0.328799962997437,1
"waveform",0.339528021216393,32,256,"rect",0.331200003623962,0.1
"waveform",0.339528021216393,32,256,"cone",0.339999943971634,0.1
"waveform",0.339528015255928,8,256,"rect",0.339999943971634,1
"waveform",0.338053095340729,4,256,"rect",0.331200003623962,1
"waveform",0.338053089380264,4,1024,"rect",0.331200003623962,1
"waveform",0.338053089380264,8,1024,"rect",0.340000003576279,1
"waveform",0.336873149871826,16,256,"rect",0.331200003623962,1
"waveform",0.336578163504601,32,256,"rect",0.328799962997437,1
"waveform",0.335398223996162,32,512,"rect",0.339999973773956,0.1
"waveform",0.335398218035698,32,512,"cone",0.331200003623962,1
"waveform",0.335398215055466,16,512,"cone",0.339999973773956,1
"waveform",0.335103243589401,32,512,"rect",0.331200003623962,1
"waveform",0.334218281507492,16,512,"cone",0.331200003623962,0.1
"waveform",0.333923298120499,32,1024,"rect",0.339999973773956,1
"waveform",0.329793494939804,16,1024,"rect",0.339999943971634,1
"waveform",0.325368717312813,32,256,"cone",0.328799962997437,1
"waveform",0.324483782052994,32,256,"cone",0.343999952077866,0.01
"waveform",0.324483758211136,32,1024,"cone",0.339999973773956,0.01
"waveform",0.324483752250671,32,512,"cone",0.339999973773956,0.1
"waveform",0.32418877184391,16,256,"cone",0.339199960231781,1
