"dataset","nhidden","testAccuracy","nlayers","valAccuracy","layerForm","learningrate"
"wine",256,0.977272748947144,2,0.940000057220459,"rect",0.1
"wine",256,0.954545497894287,16,0.933333396911621,"rect",0.01
"wine",1024,0.954545497894287,8,0.933333396911621,"cone",0.01
"wine",1024,0.954545497894287,8,0.933333396911621,"rect",0.01
"wine",256,0.954545497894287,8,0.933333396911621,"rect",0.01
"wine",1024,0.977272748947144,4,0.933333396911621,"cone",0.01
"wine",256,0.954545497894287,4,0.933333396911621,"rect",0.01
"wine",512,0.977272748947144,4,0.933333396911621,"rect",0.1
"wine",1024,0.977272748947144,3,0.933333396911621,"cone",0.01
"wine",256,0.977272748947144,3,0.933333396911621,"cone",0.01
"wine",1024,0.977272748947144,2,0.933333396911621,"rect",0.01
"wine",512,0.954545497894287,2,0.933333396911621,"rect",0.01
"wine",256,0.977272748947144,2,0.933333396911621,"rect",0.01
"wine",512,0.863636374473572,32,0.886666733026505,"rect",0.01
"wine",1024,0.75,8,0.866666734218597,"rect",0.1
"wine",1024,0.636363625526428,16,0.820000070333481,"cone",0.01
"wine",512,0.954545497894287,8,0.786666738986969,"rect",0.1
"wine",256,0.931818187236786,8,0.73333340883255,"cone",0.01
"wine",1024,0.886363625526428,8,0.73333340883255,"cone",1
"wine",512,0.75,16,0.733333349227905,"cone",0.01
"wine",256,0.590909123420715,32,0.633333393931389,"rect",0.01
"wine",1024,0.590909123420715,16,0.606666719913483,"cone",0.1
"wine",1024,0.636363625526428,16,0.553333383798599,"rect",0.1
"wine",1024,0.409090936183929,32,0.533333361148834,"cone",0.1
"wine",512,0.409090936183929,32,0.533333361148834,"cone",0.1
"wine",256,0.409090936183929,32,0.533333361148834,"cone",0.1
"wine",256,0.409090936183929,16,0.533333361148834,"cone",0.1
"wine",256,0.409090936183929,32,0.506666693091393,"rect",0.1
"wine",512,0.409090936183929,16,0.506666693091393,"cone",0.1
"wine",256,0.590909123420715,16,0.500000059604645,"rect",0.1
"wine",512,0.590909123420715,8,0.500000059604645,"cone",1
"wine",1024,0.318181812763214,16,0.50000002682209,"cone",1
"wine",256,0.409090936183929,8,0.50000002682209,"cone",1
"wine",1024,0.568181812763214,32,0.493333387374878,"cone",1
"wine",1024,0.409090936183929,3,0.480000030994415,"rect",1
"wine",256,0.409090936183929,4,0.480000025033951,"rect",1
"wine",512,0.363636374473572,32,0.480000025033951,"cone",1
"wine",1024,0.409090936183929,32,0.466666692495346,"rect",0.1
"wine",256,0.409090936183929,32,0.466666692495346,"cone",1
"wine",512,0.409090936183929,32,0.446666690707207,"rect",1
"wine",512,0.409090936183929,16,0.433333358168602,"cone",1
"wine",512,0.318181812763214,32,0.433333358168602,"rect",0.1
"wine",256,0.409090936183929,16,0.433333358168602,"cone",1
"wine",512,0.318181812763214,16,0.426666688919067,"rect",1
"wine",1024,0.318181812763214,8,0.40666669011116,"rect",1
"wine",256,0.409090936183929,8,0.386666688323021,"rect",1
"wine",1024,0.409090936183929,4,0.366666689515114,"rect",1
"wine",512,0.409090936183929,16,0.366666689515114,"rect",0.1
"wine",512,0.318181812763214,32,0.366666689515114,"cone",0.01
"wine",1024,0.318181812763214,32,0.346666687726975,"rect",0.01
"wine",512,0.318181812763214,4,0.333333352208138,"rect",1
"wine",1024,0.272727280855179,32,0.320000019669533,"rect",1
"wine",1024,0.318181812763214,2,0.30000002682209,"rect",1
"wine",256,0.318181812763214,3,0.300000020861626,"rect",1
"wine",256,0.318181812763214,16,0.246666684746742,"rect",1
"wine",256,0.272727280855179,32,0.24666668176651,"cone",0.01
"wine",256,0.318181812763214,32,0.233333352208138,"rect",1
"wine",1024,0.318181812763214,16,0.233333352208138,"rect",1
"wine",512,0.318181812763214,8,0.226666683703661,"rect",1
"wine",1024,0.318181812763214,32,0.200000017881393,"cone",0.01
"wine",512,0.318181812763214,3,0.200000017881393,"rect",1
"wine",256,0.272727280855179,16,0.160000009834766,"cone",0.01
