"dataset","testAccuracy","learningrate","valAccuracy","nlayers","layerForm","nhidden"
"heart-switzerland",0.354838699102402,0.01,0.5,3,"rect",512
"heart-switzerland",0.548387050628662,0.01,0.5,2,"rect",1024
"heart-switzerland",0.451612889766693,0.01,0.5,2,"rect",256
"heart-switzerland",0.451612889766693,0.1,0.5,2,"cone",1024
"heart-switzerland",0.387096762657166,0.1,0.4875,2,"rect",256
"heart-switzerland",0.322580635547638,0.1,0.475,16,"cone",1024
"heart-switzerland",0.25806450843811,1,0.4625,32,"rect",512
"heart-switzerland",0.419354826211929,0.01,0.4625,32,"rect",1024
"heart-switzerland",0.387096762657166,0.01,0.4625,8,"cone",512
"heart-switzerland",0.483870953321457,0.01,0.4625,4,"cone",1024
"heart-switzerland",0.580645143985748,0.1,0.4625,4,"cone",1024
"heart-switzerland",0.451612889766693,0.1,0.4625,3,"rect",1024
"heart-switzerland",0.483870953321457,0.1,0.4625,3,"rect",512
"heart-switzerland",0.354838699102402,0.1,0.4625,2,"rect",1024
"heart-switzerland",0.580645143985748,0.1,0.4625,2,"cone",512
"heart-switzerland",0.451612889766693,0.1,0.4625,2,"rect",512
"heart-switzerland",0.387096762657166,0.1,0.45,4,"rect",1024
"heart-switzerland",0.419354826211929,0.1,0.4375,32,"rect",1024
"heart-switzerland",0.451612889766693,0.01,0.4375,16,"cone",1024
"heart-switzerland",0.387096762657166,1,0.4375,3,"cone",512
"heart-switzerland",0.387096762657166,0.1,0.4375,2,"cone",256
"heart-switzerland",0.25806450843811,0.01,0.4375,8,"cone",256
"heart-switzerland",0.419354826211929,1,0.4375,2,"cone",512
"heart-switzerland",0.419354826211929,0.01,0.425,32,"rect",512
"heart-switzerland",0.451612889766693,0.1,0.425,8,"cone",1024
"heart-switzerland",0.451612889766693,0.1,0.425,16,"rect",512
"heart-switzerland",0.419354826211929,1,0.4125,3,"rect",1024
"heart-switzerland",0.516129016876221,0.1,0.4,8,"rect",512
"heart-switzerland",0.25806450843811,0.1,0.4,16,"rect",1024
"heart-switzerland",0.451612889766693,1,0.4,2,"cone",1024
"heart-switzerland",0.483870953321457,0.01,0.4,4,"rect",1024
"heart-switzerland",0.225806444883347,1,0.3875,16,"rect",1024
"heart-switzerland",0.354838699102402,0.1,0.3875,8,"cone",512
"heart-switzerland",0.387096762657166,0.1,0.3875,3,"cone",1024
"heart-switzerland",0.419354826211929,1,0.3875,16,"rect",256
"heart-switzerland",0.483870953321457,0.01,0.3875,8,"rect",1024
"heart-switzerland",0.290322571992874,0.1,0.375,8,"cone",256
"heart-switzerland",0.548387050628662,0.01,0.375,16,"rect",256
"heart-switzerland",0.354838699102402,0.01,0.375,8,"rect",256
"heart-switzerland",0.387096762657166,0.01,0.375,3,"cone",256
"heart-switzerland",0.451612889766693,0.01,0.375,3,"rect",256
"heart-switzerland",0.387096762657166,0.1,0.3625,8,"rect",256
"heart-switzerland",0.25806450843811,1,0.3625,8,"rect",1024
"heart-switzerland",0.387096762657166,0.01,0.35,16,"cone",256
"heart-switzerland",0.290322571992874,1,0.35,3,"cone",256
"heart-switzerland",0.354838699102402,0.01,0.35,8,"cone",1024
"heart-switzerland",0.0322580635547638,1,0.3375,8,"rect",256
"heart-switzerland",0.225806444883347,1,0.3375,4,"rect",512
"heart-switzerland",0.25806450843811,1,0.3375,3,"rect",512
"heart-switzerland",0.225806444883347,1,0.325,32,"rect",1024
"heart-switzerland",0.225806444883347,1,0.325,32,"rect",256
"heart-switzerland",0.419354826211929,0.01,0.3125,16,"rect",1024
"heart-switzerland",0.451612889766693,0.1,0.3125,4,"cone",256
"heart-switzerland",0.516129016876221,0.01,0.3125,2,"cone",512
"heart-switzerland",0.290322571992874,0.01,0.2875,16,"rect",512
"heart-switzerland",0.419354826211929,1,0.2625,3,"rect",256
"heart-switzerland",0.0645161271095276,1,0.25,4,"rect",256
"heart-switzerland",0.419354826211929,1,0.25,4,"rect",1024
"heart-switzerland",0.451612889766693,0.01,0.25,3,"cone",512
"heart-switzerland",0.0645161271095276,1,0.2375,8,"rect",512
"heart-switzerland",0.0645161271095276,1,0.2375,2,"rect",512
"heart-switzerland",0.225806444883347,1,0.225,2,"rect",256
"heart-switzerland",0.0645161271095276,1,0.2125,2,"rect",1024
"heart-switzerland",0.322580635547638,0.01,0.2,16,"cone",512
"heart-switzerland",0.0645161271095276,1,0.1375,16,"rect",512
