"dataset","learningrate","valAccuracy","nlayers","testAccuracy","nhidden","layerForm"
"waveform-noise",1,0.380156666040421,16,0.362399995326996,512,"cone"
"waveform-noise",0.01,0.375979125499725,32,0.330399990081787,512,"cone"
"waveform-noise",0.1,0.362924283742905,16,0.351199984550476,512,"rect"
"waveform-noise",1,0.349086171388626,4,0.330399990081787,512,"rect"
"waveform-noise",1,0.349086171388626,3,0.330400019884109,1024,"rect"
"waveform-noise",0.1,0.344647520780563,32,0.330399990081787,512,"rect"
"waveform-noise",1,0.343342041969299,8,0.330399990081787,256,"rect"
"waveform-noise",1,0.338903397321701,32,0.330399960279465,1024,"cone"
"waveform-noise",1,0.338903391361237,16,0.330399990081787,256,"rect"
"waveform-noise",1,0.337597912549973,32,0.330400019884109,1024,"rect"
"waveform-noise",1,0.337597912549973,8,0.330400019884109,512,"rect"
"waveform-noise",1,0.336292433738708,16,0.339199990034103,256,"cone"
"waveform-noise",1,0.331853783130646,32,0.330399990081787,256,"rect"
"waveform-noise",1,0.331853783130646,8,0.339199990034103,1024,"rect"
"waveform-noise",1,0.330548304319382,16,0.339199990034103,1024,"rect"
"waveform-noise",1,0.330287218093872,3,0.339199960231781,256,"rect"
"waveform-noise",1,0.329242825508118,32,0.339199990034103,256,"cone"
"waveform-noise",1,0.327415132522583,16,0.330400019884109,1024,"cone"
"waveform-noise",0.01,0.326370733976364,32,0.330399990081787,1024,"cone"
"waveform-noise",0.1,0.324804174900055,32,0.339199990034103,256,"rect"
"waveform-noise",0.1,0.323498696088791,32,0.330399990081787,1024,"rect"
"waveform-noise",1,0.322193217277527,32,0.339199960231781,512,"cone"
"waveform-noise",0.1,0.3164490878582,32,0.339199960231781,1024,"cone"
"waveform-noise",0.1,0.310704958438873,32,0.330399990081787,256,"cone"
"waveform-noise",0.1,0.309399479627609,16,0.33119997382164,256,"cone"
"waveform-noise",0.1,0.305483043193817,32,0.339199960231781,512,"cone"
"waveform-noise",1,0.305483043193817,32,0.339199960231781,512,"rect"
"waveform-noise",1,0.305483043193817,16,0.339199960231781,512,"rect"
"waveform-noise",1,0.305483043193817,4,0.339199990034103,1024,"rect"
"waveform-noise",1,0.305483043193817,4,0.339199990034103,256,"rect"
"waveform-noise",1,0.305483043193817,2,0.339199960231781,1024,"rect"
"waveform-noise",1,0.305483043193817,2,0.339199990034103,512,"rect"
