"dataset","learningrate","valAccuracy","testAccuracy","nhidden","nlayers","layerForm"
"twonorm",0.01,0.974499106407166,0.973513543605804,1024,3,"rect"
"twonorm",0.1,0.974499082565307,0.973513603210449,512,8,"cone"
"twonorm",1,0.974499076604843,0.967027008533478,1024,4,"cone"
"twonorm",0.01,0.974316954612732,0.970270276069641,1024,2,"rect"
"twonorm",0.1,0.974134802818298,0.972972989082336,256,4,"rect"
"twonorm",1,0.974134755134582,0.970810890197754,1024,2,"cone"
"twonorm",0.1,0.973770499229431,0.970270276069641,512,4,"cone"
"twonorm",1,0.97377045750618,0.975675761699677,256,2,"cone"
"twonorm",0.1,0.973406285047531,0.974594593048096,512,3,"rect"
"twonorm",0.01,0.973224008083343,0.976216197013855,512,2,"cone"
"twonorm",0.1,0.973041886091232,0.9762162566185,1024,8,"rect"
"twonorm",0.01,0.972677606344223,0.969729781150818,256,4,"rect"
"twonorm",0.1,0.972495412826538,0.978918969631195,256,8,"cone"
"twonorm",1,0.97194898724556,0.977297306060791,256,3,"cone"
"twonorm",1,0.971220380067825,0.973513543605804,256,2,"rect"
"twonorm",0.01,0.970856070518494,0.965405464172363,512,16,"rect"
"twonorm",0.1,0.970856010913849,0.976216316223145,512,8,"rect"
"twonorm",1,0.970673942565918,0.972973048686981,512,2,"cone"
"twonorm",0.01,0.970673871040344,0.961621642112732,1024,16,"rect"
"twonorm",0.1,0.9704918384552,0.972432494163513,512,3,"cone"
"twonorm",0.01,0.970309633016587,0.974054098129272,256,2,"cone"
"twonorm",0.1,0.970127415657043,0.974054098129272,256,3,"rect"
"twonorm",0.01,0.969763165712357,0.972432434558868,512,32,"rect"
"twonorm",0.01,0.969581037759781,0.963783800601959,256,32,"rect"
"twonorm",0.01,0.968852460384369,0.971351504325867,256,3,"rect"
"twonorm",0.01,0.968852400779724,0.972973048686981,512,2,"rect"
"twonorm",0.1,0.968670326471329,0.9718918800354,256,2,"cone"
"twonorm",1,0.968488144874573,0.967567622661591,256,4,"cone"
"twonorm",0.01,0.967759513854981,0.969729781150818,256,8,"rect"
"twonorm",0.1,0.966848778724671,0.97351348400116,256,8,"rect"
"twonorm",0.01,0.966484498977661,0.970810890197754,1024,8,"cone"
"twonorm",0.01,0.965391576290131,0.96918922662735,512,8,"rect"
"twonorm",0.01,0.965391540527344,0.971351444721222,512,4,"cone"
"twonorm",0.01,0.96357011795044,0.959999978542328,1024,32,"rect"
"twonorm",0.1,0.962112909555435,0.968108177185059,1024,16,"rect"
"twonorm",1,0.959562814235687,0.961621642112732,256,8,"cone"
"twonorm",0.01,0.958105617761612,0.970270276069641,1024,8,"rect"
"twonorm",0.01,0.95537338256836,0.966486513614655,512,8,"cone"
"twonorm",0.01,0.954462647438049,0.959459483623505,256,16,"rect"
"twonorm",1,0.951730412244797,0.9621621966362,512,8,"cone"
"twonorm",0.1,0.943898004293442,0.947027087211609,256,16,"rect"
"twonorm",0.1,0.626775926351547,0.639459431171417,512,16,"rect"
"twonorm",1,0.561748629808426,0.500540554523468,1024,2,"rect"
"twonorm",0.01,0.559198528528214,0.516756772994995,512,16,"cone"
"twonorm",0.1,0.555555546283722,0.499459475278854,512,16,"cone"
"twonorm",1,0.517304182052612,0.500540554523468,512,16,"rect"
"twonorm",1,0.517304176092148,0.500540614128113,512,8,"rect"
"twonorm",1,0.517304176092148,0.500540614128113,256,3,"rect"
"twonorm",1,0.517304176092148,0.500540554523468,512,3,"rect"
"twonorm",0.01,0.517304170131683,0.500540554523468,256,32,"cone"
"twonorm",1,0.517304170131683,0.500540554523468,256,4,"rect"
"twonorm",1,0.51730415225029,0.500540614128113,1024,3,"rect"
"twonorm",1,0.513843330740929,0.500540554523468,1024,32,"cone"
"twonorm",1,0.51384331882,0.500540554523468,512,4,"rect"
"twonorm",1,0.512568300962448,0.509729743003845,1024,32,"rect"
"twonorm",1,0.512204006314278,0.526486456394196,256,16,"cone"
"twonorm",1,0.511111101508141,0.502162158489227,256,32,"rect"
"twonorm",1,0.51038248538971,0.500540614128113,256,8,"rect"
"twonorm",0.1,0.510382485389709,0.499459445476532,1024,32,"rect"
"twonorm",0.01,0.508378821611404,0.493513554334641,1024,16,"cone"
"twonorm",1,0.506921669840813,0.500540614128113,1024,16,"rect"
"twonorm",0.1,0.506921660900116,0.500540554523468,256,32,"rect"
"twonorm",1,0.506921648979187,0.500540614128113,512,16,"cone"
"twonorm",1,0.50692164003849,0.499459475278854,256,16,"rect"
"twonorm",0.1,0.503460830450058,0.500540554523468,1024,16,"cone"
"twonorm",1,0.503460827469826,0.499459445476532,512,32,"rect"
"twonorm",1,0.503460812568665,0.500540554523468,1024,4,"rect"
"twonorm",1,0.5034608066082,0.499459445476532,256,32,"cone"
"twonorm",1,0.503460800647736,0.499459445476532,512,32,"cone"
"twonorm",0.01,0.503460797667503,0.499459475278854,512,32,"cone"
"twonorm",0.1,0.503096508979797,0.500540614128113,256,16,"cone"
"twonorm",1,0.499999988079071,0.500540554523468,1024,16,"cone"
"twonorm",0.1,0.499999985098839,0.500540554523468,1024,32,"cone"
"twonorm",0.1,0.499999982118607,0.499459445476532,512,32,"rect"
"twonorm",1,0.499999982118607,0.499459475278854,1024,8,"rect"
"twonorm",0.1,0.499999976158142,0.499459445476532,512,32,"cone"
"twonorm",0.1,0.49653913974762,0.500540554523468,256,32,"cone"
"twonorm",0.01,0.489617478847504,0.499459475278854,1024,32,"cone"
"twonorm",0.01,0.486156615614891,0.499459445476532,256,16,"cone"
