"dataset","learningrate","layerForm","nlayers","testAccuracy","nhidden","valAccuracy"
"libras",0.1,"rect",4,0.822222292423248,512,0.64230774641037
"libras",0.1,"cone",3,0.788888931274414,512,0.642307734489441
"libras",0.1,"cone",8,0.711111187934875,1024,0.626923125982285
"libras",0.01,"rect",8,0.711111187934875,256,0.623076945543289
"libras",0.01,"rect",8,0.733333349227905,512,0.615384697914124
"libras",0.01,"rect",8,0.755555629730225,1024,0.615384638309479
"libras",0.01,"cone",3,0.744444489479065,512,0.615384638309479
"libras",0.01,"cone",8,0.744444489479065,1024,0.611538541316986
"libras",0.01,"rect",16,0.722222208976746,512,0.588461583852768
"libras",1,"cone",4,0.788888931274414,1024,0.584615433216095
"libras",0.01,"cone",4,0.722222208976746,1024,0.580769282579422
"libras",0.01,"rect",16,0.744444489479065,1024,0.576923131942749
"libras",0.01,"cone",8,0.588888943195343,512,0.565384662151337
"libras",1,"cone",8,0.700000047683716,1024,0.561538511514664
"libras",0.01,"cone",16,0.633333325386047,512,0.561538505554199
"libras",0.01,"cone",16,0.577777802944183,256,0.538461577892303
"libras",1,"cone",8,0.600000023841858,512,0.530769261717796
"libras",0.01,"cone",16,0.611111164093018,1024,0.515384632349014
"libras",0.1,"cone",16,0.622222244739532,512,0.511538502573967
"libras",0.01,"cone",8,0.5,256,0.503846180438995
"libras",1,"cone",8,0.544444501399994,256,0.480769261717796
"libras",0.1,"cone",16,0.488888919353485,256,0.361538478732109
"libras",0.1,"cone",16,0.244444459676743,1024,0.288461552560329
"libras",0.01,"rect",32,0.25555557012558,512,0.250000017136335
"libras",0.1,"rect",16,0.222222238779068,512,0.234615398198366
"libras",1,"rect",3,0.400000035762787,256,0.16153847053647
"libras",1,"rect",3,0.0777777805924416,1024,0.138461546227336
"libras",1,"cone",16,0.100000001490116,512,0.134615391492844
"libras",0.1,"rect",16,0.100000008940697,1024,0.111538469046354
"libras",0.01,"cone",32,0.0888888910412788,512,0.103846159949899
"libras",1,"rect",16,0.0666666701436043,512,0.100000005587935
"libras",0.01,"rect",32,0.0777777805924416,1024,0.0884615436196327
"libras",1,"rect",3,0.0888888910412788,512,0.0884615436196327
"libras",1,"rect",8,0.0666666701436043,256,0.0807692356407642
"libras",0.01,"rect",32,0.0777777805924416,256,0.0807692352682352
"libras",1,"rect",16,0.0666666701436043,256,0.0807692348957062
"libras",1,"rect",4,0.0666666701436043,256,0.0730769276618958
"libras",0.01,"cone",32,0.0888888910412788,1024,0.0730769269168377
"libras",1,"rect",32,0.0666666701436043,256,0.0692307736724615
"libras",1,"rect",4,0.0666666701436043,1024,0.0692307732999325
"libras",0.1,"rect",32,0.0666666701436043,1024,0.0692307721823454
"libras",1,"rect",32,0.0666666701436043,1024,0.0653846196830273
"libras",1,"rect",2,0.0666666701436043,512,0.0653846178203821
"libras",1,"rect",8,0.0666666701436043,1024,0.061538465321064
"libras",1,"rect",4,0.0666666701436043,512,0.0576923117041588
"libras",0.01,"cone",32,0.0666666701436043,256,0.0576923098415136
"libras",0.1,"rect",32,0.0666666701436043,512,0.0538461569696665
"libras",0.1,"rect",32,0.0666666701436043,256,0.0538461569696665
"libras",1,"rect",32,0.0666666701436043,512,0.0423076942563057
"libras",1,"rect",16,0.0666666701436043,1024,0.0384615398943424
"libras",1,"rect",8,0.0666666701436043,512,0.0384615398943424
"libras",1,"cone",16,0.0777777805924416,256,0.0346153866499662
"libras",0.1,"cone",32,0.0666666701436043,1024,0.0346153859049082
"libras",1,"cone",16,0.0666666701436043,1024,0.030769232660532
"libras",1,"cone",32,0.0666666701436043,1024,0.030769232288003
"libras",0.1,"cone",32,0.0666666701436043,512,0.0230769243091345
"libras",1,"cone",32,0.0666666701436043,256,0.0192307699471712
"libras",0.1,"cone",32,0.0666666701436043,256,0.015384616330266
"libras",1,"cone",32,0.0666666701436043,512,0.00384615398943424
