"dataset","layerForm","learningrate","valAccuracy","testAccuracy","nlayers","nhidden"
"parkinsons","cone",1,0.959999996423721,0.897959113121033,2,1024
"parkinsons","cone",1,0.959999996423721,0.897959113121033,3,256
"parkinsons","cone",1,0.959999990463257,0.877550959587097,2,256
"parkinsons","cone",1,0.95,0.877550959587097,4,1024
"parkinsons","rect",0.1,0.949999994039536,0.816326498985291,8,512
"parkinsons","cone",1,0.949999988079071,0.857142806053162,3,512
"parkinsons","cone",0.1,0.929999989271164,0.877550959587097,8,512
"parkinsons","cone",0.01,0.899999994039536,0.836734652519226,3,512
"parkinsons","rect",0.01,0.899999976158142,0.857142806053162,8,256
"parkinsons","cone",0.01,0.81000000834465,0.918367266654968,4,512
"parkinsons","cone",1,0.800000011920929,0.775510191917419,8,256
"parkinsons","cone",0.01,0.700000047683716,0.673469364643097,8,256
"parkinsons","cone",1,0.700000017881394,0.755102038383484,8,1024
"parkinsons","cone",1,0.680000019073486,0.755102038383484,4,256
"parkinsons","rect",0.1,0.660000002384186,0.693877577781677,8,1024
"parkinsons","rect",0.1,0.650000005960464,0.755102038383484,16,256
"parkinsons","rect",0.1,0.630000013113022,0.755102038383484,16,512
"parkinsons","rect",1,0.620000019669533,0.673469364643097,2,256
"parkinsons","cone",0.01,0.600000023841858,0.755102038383484,32,1024
"parkinsons","rect",0.01,0.600000023841858,0.489795923233032,32,1024
"parkinsons","cone",0.01,0.600000023841858,0.755102038383484,32,512
"parkinsons","cone",0.01,0.600000023841858,0.755102038383484,32,256
"parkinsons","rect",0.01,0.600000023841858,0.755102038383484,32,256
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,32,1024
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,32,512
"parkinsons","rect",0.1,0.600000023841858,0.755102038383484,32,512
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,32,256
"parkinsons","rect",0.1,0.600000023841858,0.755102038383484,32,256
"parkinsons","cone",1,0.600000023841858,0.755102038383484,32,1024
"parkinsons","rect",1,0.600000023841858,0.755102038383484,32,1024
"parkinsons","cone",1,0.600000023841858,0.755102038383484,32,512
"parkinsons","cone",1,0.600000023841858,0.755102038383484,32,256
"parkinsons","cone",0.01,0.600000023841858,0.755102038383484,16,1024
"parkinsons","cone",0.01,0.600000023841858,0.755102038383484,16,512
"parkinsons","cone",0.01,0.600000023841858,0.755102038383484,16,256
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,16,1024
"parkinsons","rect",0.1,0.600000023841858,0.755102038383484,16,1024
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,16,512
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,16,256
"parkinsons","cone",1,0.600000023841858,0.755102038383484,16,1024
"parkinsons","rect",1,0.600000023841858,0.755102038383484,16,1024
"parkinsons","cone",1,0.600000023841858,0.755102038383484,16,512
"parkinsons","rect",1,0.600000023841858,0.755102038383484,16,512
"parkinsons","cone",1,0.600000023841858,0.755102038383484,16,256
"parkinsons","cone",0.1,0.600000023841858,0.755102038383484,8,1024
"parkinsons","cone",0.1,0.600000023841858,0.734693884849548,8,256
"parkinsons","rect",1,0.600000023841858,0.755102038383484,8,1024
"parkinsons","cone",1,0.600000023841858,0.755102038383484,8,512
"parkinsons","rect",1,0.600000023841858,0.775510191917419,3,256
"parkinsons","rect",1,0.600000023841858,0.755102038383484,2,512
"parkinsons","rect",1,0.590000021457672,0.755102038383484,3,512
"parkinsons","rect",0.01,0.580000022053719,0.755102038383484,32,512
"parkinsons","rect",1,0.580000022053719,0.755102038383484,8,256
"parkinsons","rect",1,0.580000022053719,0.755102038383484,4,1024
"parkinsons","rect",1,0.580000022053719,0.755102038383484,3,1024
"parkinsons","rect",0.1,0.560000020265579,0.755102038383484,32,1024
"parkinsons","rect",1,0.560000020265579,0.755102038383484,32,256
"parkinsons","rect",1,0.540000006556511,0.367346912622452,2,1024
"parkinsons","rect",1,0.520000016689301,0.755102038383484,8,512
"parkinsons","rect",1,0.520000016689301,0.244897961616516,4,512
"parkinsons","rect",1,0.520000016689301,0.244897961616516,4,256
"parkinsons","rect",1,0.460000011324883,0.244897961616516,32,512
"parkinsons","rect",1,0.440000009536743,0.244897961616516,16,256
