"dataset","learningrate","valAccuracy","nlayers","testAccuracy","nhidden","layerForm"
"yeast",0.1,0.552631592750549,2,0.539083540439606,1024,"rect"
"yeast",0.01,0.515789473056793,8,0.574123978614807,256,"cone"
"yeast",0.01,0.506140345335007,32,0.501347661018372,512,"rect"
"yeast",0.01,0.40526317358017,32,0.436657667160034,256,"cone"
"yeast",0.1,0.391228073835373,16,0.390835583209991,512,"rect"
"yeast",0.01,0.367543861269951,32,0.401617258787155,1024,"rect"
"yeast",1,0.362280696630478,16,0.366576790809631,256,"cone"
"yeast",0.1,0.349122801423073,16,0.377358466386795,512,"cone"
"yeast",1,0.337719306349754,2,0.350404322147369,512,"rect"
"yeast",1,0.309649112820625,2,0.320754706859589,256,"rect"
"yeast",0.01,0.307017534971237,32,0.288409680128098,1024,"cone"
"yeast",0.01,0.307017534971237,32,0.320754736661911,512,"cone"
"yeast",0.1,0.307017534971237,32,0.320754706859589,1024,"cone"
"yeast",0.1,0.307017534971237,32,0.320754736661911,1024,"rect"
"yeast",0.1,0.307017534971237,32,0.288409680128098,512,"cone"
"yeast",0.1,0.307017534971237,32,0.288409680128098,512,"rect"
"yeast",0.1,0.307017534971237,32,0.320754706859589,256,"cone"
"yeast",0.1,0.307017534971237,32,0.288409680128098,256,"rect"
"yeast",1,0.307017534971237,32,0.320754706859589,1024,"cone"
"yeast",1,0.307017534971237,32,0.288409680128098,512,"cone"
"yeast",1,0.307017534971237,32,0.320754706859589,256,"cone"
"yeast",1,0.307017534971237,32,0.320754706859589,256,"rect"
"yeast",0.1,0.307017534971237,16,0.288409680128098,1024,"rect"
"yeast",1,0.307017534971237,16,0.320754706859589,1024,"cone"
"yeast",1,0.307017534971237,16,0.320754706859589,512,"cone"
"yeast",1,0.307017534971237,16,0.320754706859589,256,"rect"
"yeast",1,0.307017534971237,8,0.320754706859589,1024,"rect"
"yeast",1,0.307017534971237,8,0.320754706859589,512,"rect"
"yeast",1,0.293859639763832,8,0.320754736661911,256,"rect"
"yeast",1,0.279824556410313,2,0.320754736661911,1024,"rect"
"yeast",1,0.273684206604958,3,0.320754706859589,256,"rect"
"yeast",1,0.265789465233684,16,0.320754706859589,1024,"rect"
"yeast",1,0.264912275969982,4,0.183288410305977,256,"rect"
"yeast",1,0.253508768603206,2,0.285714268684387,1024,"cone"
"yeast",1,0.252631573006511,32,0.288409680128098,1024,"rect"
"yeast",1,0.242982449382544,3,0.288409680128098,512,"rect"
"yeast",1,0.237719293683767,32,0.16442047059536,512,"rect"
"yeast",1,0.224561397358775,4,0.320754706859589,1024,"rect"
"yeast",1,0.222807009518147,4,0.16442047059536,512,"rect"
"yeast",1,0.21842104755342,16,0.320754706859589,512,"rect"
"yeast",1,0.177192982658744,3,0.16442047059536,1024,"rect"
