"dataset","testAccuracy","learningrate","nhidden","nlayers","valAccuracy","layerForm"
"flags",0.437500029802322,1,256,2,0.5,"cone"
"flags",0.395833373069763,0.01,1024,8,0.49375,"cone"
"flags",0.479166686534882,1,256,3,0.49375,"cone"
"flags",0.416666686534882,0.1,256,8,0.48125,"cone"
"flags",0.416666686534882,0.1,512,8,0.48125,"rect"
"flags",0.4375,0.1,1024,8,0.475,"cone"
"flags",0.395833373069763,0.1,1024,2,0.475,"cone"
"flags",0.520833373069763,1,1024,3,0.475,"cone"
"flags",0.479166686534882,0.1,256,2,0.475,"rect"
"flags",0.4375,1,512,4,0.46875,"cone"
"flags",0.416666686534882,0.01,1024,16,0.4625,"rect"
"flags",0.416666686534882,0.1,512,2,0.4625,"rect"
"flags",0.458333373069763,0.1,512,3,0.45,"rect"
"flags",0.416666686534882,0.1,1024,16,0.45,"rect"
"flags",0.395833343267441,0.01,1024,8,0.44375,"rect"
"flags",0.416666686534882,0.01,512,3,0.44375,"rect"
"flags",0.479166686534882,1,512,2,0.44375,"cone"
"flags",0.375,0.01,512,8,0.4375,"rect"
"flags",0.4375,0.01,1024,4,0.4375,"rect"
"flags",0.395833343267441,0.01,512,4,0.4375,"cone"
"flags",0.458333343267441,0.01,256,4,0.4375,"rect"
"flags",0.395833373069763,0.01,1024,3,0.4375,"rect"
"flags",0.375000029802322,0.1,1024,3,0.4375,"rect"
"flags",0.479166686534882,0.1,256,2,0.4375,"cone"
"flags",0.5,1,1024,4,0.43125,"cone"
"flags",0.395833343267441,1,256,8,0.425,"cone"
"flags",0.416666686534882,0.1,1024,16,0.40625,"cone"
"flags",0.291666656732559,0.1,512,16,0.40625,"cone"
"flags",0.354166686534882,0.01,512,8,0.39375,"cone"
"flags",0.395833373069763,0.01,512,16,0.38125,"cone"
"flags",0.395833373069763,0.01,256,4,0.375,"cone"
"flags",0.375000029802322,0.01,256,2,0.375,"rect"
"flags",0.458333373069763,1,1024,8,0.36875,"cone"
"flags",0.416666686534882,0.01,512,16,0.3625,"rect"
"flags",0.25,0.01,512,32,0.35625,"rect"
"flags",0.375,0.1,512,16,0.2875,"rect"
"flags",0.375,0.1,256,16,0.2875,"cone"
"flags",0.125,0.01,1024,32,0.25,"rect"
"flags",0.333333343267441,0.01,512,32,0.25,"cone"
"flags",0.333333343267441,0.01,256,32,0.25,"cone"
"flags",0.333333343267441,0.1,1024,32,0.25,"cone"
"flags",0.333333343267441,0.1,1024,32,0.25,"rect"
"flags",0.333333343267441,0.1,512,32,0.25,"cone"
"flags",0.333333343267441,0.1,256,32,0.25,"cone"
"flags",0.333333343267441,0.1,256,32,0.25,"rect"
"flags",0.333333343267441,1,1024,32,0.25,"cone"
"flags",0.333333343267441,1,512,32,0.25,"cone"
"flags",0.333333343267441,1,256,32,0.25,"cone"
"flags",0.333333343267441,1,1024,16,0.25,"cone"
"flags",0.3125,1,512,16,0.25,"cone"
"flags",0.333333343267441,1,256,16,0.25,"cone"
"flags",0.333333343267441,0.1,512,32,0.24375,"rect"
"flags",0.333333343267441,0.01,256,32,0.2375,"rect"
"flags",0.1875,1,512,32,0.2375,"rect"
"flags",0.208333343267441,1,256,16,0.23125,"rect"
"flags",0.1875,1,1024,3,0.225,"rect"
"flags",0.333333343267441,1,1024,4,0.21875,"rect"
"flags",0.208333343267441,1,512,8,0.2125,"rect"
"flags",0.125,1,512,16,0.20625,"rect"
"flags",0.0625,1,1024,32,0.2,"rect"
"flags",0.208333343267441,1,1024,2,0.2,"rect"
"flags",0.333333343267441,1,512,3,0.19375,"rect"
"flags",0.16666667163372,1,256,3,0.19375,"rect"
"flags",0.208333343267441,0.01,1024,32,0.19375,"cone"
"flags",0.208333343267441,1,1024,16,0.19375,"rect"
"flags",0.208333343267441,1,256,8,0.19375,"rect"
"flags",0.1875,1,256,32,0.1875,"rect"
"flags",0.020833333954215,1,1024,8,0.1875,"rect"
"flags",0.208333343267441,1,512,4,0.18125,"rect"
"flags",0.020833333954215,1,256,4,0.18125,"rect"
