"dataset","learningrate","valAccuracy","layerForm","nhidden","testAccuracy","nlayers"
"connect-4",0.01,0.851668012142181,"rect",512,0.864527642726898,16
"connect-4",0.01,0.850754565000534,"rect",1024,0.852981686592102,32
"connect-4",0.01,0.848729169368744,"cone",512,0.851797461509705,4
"connect-4",0.01,0.848351901769638,"cone",256,0.848185658454895,3
"connect-4",0.01,0.845710915327072,"rect",512,0.849784255027771,8
"connect-4",0.01,0.844797474145889,"cone",512,0.847771227359772,8
"connect-4",0.01,0.841957914829254,"rect",256,0.849843502044678,16
"connect-4",0.01,0.841064375638962,"rect",512,0.845698773860931,32
"connect-4",0.01,0.837887239456177,"cone",256,0.835100173950195,8
"connect-4",0.01,0.837708514928818,"rect",256,0.83652126789093,8
"connect-4",0.01,0.833260536193848,"rect",256,0.840133130550385,32
"connect-4",0.01,0.817434501647949,"cone",256,0.827462017536163,4
"connect-4",0.01,0.749602913856506,"cone",1024,0.753804564476013,32
"connect-4",0.01,0.749602913856506,"cone",256,0.753804564476013,32
"connect-4",0.1,0.749602913856506,"cone",1024,0.753804564476013,32
"connect-4",0.1,0.749602913856506,"cone",512,0.753804564476013,32
"connect-4",0.1,0.749602913856506,"rect",512,0.753804564476013,32
"connect-4",0.1,0.749602913856506,"cone",256,0.753804564476013,32
"connect-4",1,0.749602913856506,"cone",1024,0.753804564476013,32
"connect-4",1,0.749602913856506,"rect",1024,0.753804564476013,32
"connect-4",1,0.749602913856506,"rect",512,0.753804564476013,32
"connect-4",0.01,0.749602913856506,"cone",1024,0.753804504871368,16
"connect-4",0.01,0.749602913856506,"cone",256,0.753804564476013,16
"connect-4",0.1,0.749602913856506,"cone",1024,0.753804564476013,16
"connect-4",0.1,0.749602913856506,"rect",1024,0.753804564476013,16
"connect-4",0.1,0.749602913856506,"cone",256,0.753804564476013,16
"connect-4",1,0.749602913856506,"cone",1024,0.753804564476013,16
"connect-4",1,0.749602913856506,"cone",256,0.753804564476013,16
"connect-4",1,0.749602913856506,"rect",256,0.753804564476013,16
"connect-4",1,0.749602913856506,"rect",1024,0.753804564476013,8
"connect-4",1,0.749602913856506,"rect",512,0.753804564476013,8
"connect-4",1,0.749602913856506,"rect",256,0.753804504871368,8
"connect-4",1,0.749602913856506,"rect",512,0.753804564476013,4
"connect-4",1,0.749602913856506,"rect",256,0.753804564476013,4
"connect-4",1,0.749602913856506,"rect",1024,0.753804564476013,3
"connect-4",1,0.749602913856506,"rect",1024,0.753804564476013,2
"connect-4",1,0.749602913856506,"rect",512,0.753804564476013,2
"connect-4",1,0.749602913856506,"rect",256,0.753804564476013,2
"connect-4",0.1,0.749602907896042,"rect",1024,0.753804564476013,32
"connect-4",0.01,0.749602901935577,"cone",512,0.753804564476013,32
"connect-4",1,0.749602901935577,"cone",512,0.753804564476013,32
"connect-4",1,0.749602901935577,"cone",256,0.753804564476013,32
"connect-4",1,0.749602901935577,"rect",256,0.753804564476013,32
"connect-4",0.01,0.749602901935577,"cone",512,0.753804564476013,16
"connect-4",0.1,0.749602901935577,"cone",512,0.753804564476013,16
"connect-4",1,0.749602901935577,"rect",1024,0.753804564476013,16
"connect-4",1,0.749602901935577,"cone",512,0.753804564476013,16
"connect-4",1,0.749602901935577,"rect",256,0.753804564476013,3
"connect-4",0.1,0.749602890014649,"rect",256,0.753804564476013,32
"connect-4",1,0.749602890014649,"rect",1024,0.753804564476013,4
"connect-4",1,0.749602890014648,"rect",512,0.753804564476013,3
"connect-4",1,0.74960287809372,"rect",512,0.753804564476013,16
