"dataset","nlayers","layerForm","learningrate","nhidden","valAccuracy","testAccuracy"
"mammographic",16,"rect",0.01,512,0.805714309215546,0.758333444595337
"mammographic",4,"rect",0.01,1024,0.802857172489166,0.79583340883255
"mammographic",3,"rect",0.1,1024,0.802857160568237,0.762500107288361
"mammographic",4,"rect",0.1,1024,0.800000035762787,0.791666746139526
"mammographic",3,"cone",0.01,512,0.800000011920929,0.795833349227905
"mammographic",4,"rect",0.01,256,0.794285750389099,0.783333420753479
"mammographic",2,"rect",0.1,1024,0.794285750389099,0.812500059604645
"mammographic",8,"cone",1,256,0.78857147693634,0.816666781902313
"mammographic",8,"cone",0.1,256,0.787142896652222,0.812500059604645
"mammographic",16,"rect",0.1,512,0.785714328289032,0.816666722297668
"mammographic",8,"rect",0.1,1024,0.785714328289032,0.812500059604645
"mammographic",8,"cone",1,512,0.785714328289032,0.808333396911621
"mammographic",8,"rect",0.01,256,0.781428605318069,0.787500083446503
"mammographic",3,"rect",0.01,256,0.781428599357605,0.825000047683716
"mammographic",16,"rect",0.01,1024,0.778571456670761,0.787500083446503
"mammographic",8,"rect",0.01,1024,0.777142876386642,0.791666746139526
"mammographic",16,"rect",0.01,256,0.775714331865311,0.729166746139526
"mammographic",8,"cone",0.1,512,0.770000058412552,0.816666781902313
"mammographic",16,"rect",0.1,1024,0.757142901420593,0.816666722297668
"mammographic",16,"cone",1,512,0.742857158184052,0.670833349227905
"mammographic",32,"rect",0.01,256,0.692857187986374,0.766666650772095
"mammographic",8,"cone",1,1024,0.685714304447174,0.741666734218597
"mammographic",16,"rect",0.1,256,0.685714301466942,0.537500023841858
"mammographic",3,"rect",1,256,0.667142879962921,0.770833432674408
"mammographic",4,"rect",1,1024,0.637142896652222,0.683333396911621
"mammographic",32,"cone",0.01,1024,0.628571450710297,0.537500023841858
"mammographic",32,"cone",0.01,512,0.628571450710297,0.537500023841858
"mammographic",32,"cone",0.01,256,0.628571450710297,0.537500023841858
"mammographic",32,"cone",0.1,1024,0.628571450710297,0.537500023841858
"mammographic",32,"cone",0.1,512,0.628571450710297,0.537500083446503
"mammographic",32,"cone",0.1,256,0.628571450710297,0.537500083446503
"mammographic",16,"cone",0.01,1024,0.628571450710297,0.537500023841858
"mammographic",16,"cone",0.01,512,0.628571450710297,0.537500083446503
"mammographic",16,"cone",0.01,256,0.628571450710297,0.537500023841858
"mammographic",16,"cone",0.1,1024,0.628571450710297,0.637500047683716
"mammographic",16,"cone",0.1,512,0.628571450710297,0.537500023841858
"mammographic",16,"cone",0.1,256,0.628571450710297,0.537500023841858
"mammographic",16,"cone",1,256,0.628571450710297,0.537500023841858
"mammographic",8,"rect",1,512,0.628571450710297,0.537500023841858
"mammographic",3,"rect",1,1024,0.628571450710297,0.537500023841858
"mammographic",32,"cone",1,256,0.611428594589233,0.537500023841858
"mammographic",2,"rect",1,1024,0.605714303255081,0.462500035762787
"mammographic",32,"rect",0.1,512,0.60285716354847,0.537500083446503
"mammographic",32,"cone",1,1024,0.60285716354847,0.537500023841858
"mammographic",32,"cone",1,512,0.60285716354847,0.462500035762787
"mammographic",2,"rect",1,256,0.592857155203819,0.550000071525574
"mammographic",32,"rect",0.1,256,0.577142876386643,0.537500023841858
"mammographic",32,"rect",1,256,0.577142876386643,0.537500083446503
"mammographic",16,"cone",1,1024,0.572857171297073,0.537500023841858
"mammographic",4,"rect",1,512,0.551428589224816,0.537500083446503
"mammographic",32,"rect",0.1,1024,0.551428589224815,0.462500035762787
"mammographic",32,"rect",1,1024,0.551428589224815,0.537500083446503
"mammographic",16,"rect",1,1024,0.551428589224815,0.537500023841858
"mammographic",4,"rect",1,256,0.551428589224815,0.537500023841858
"mammographic",32,"rect",0.01,512,0.534285736083984,0.537500023841858
"mammographic",32,"rect",1,512,0.525714302062988,0.462500035762787
"mammographic",16,"rect",1,512,0.525714302062988,0.462500035762787
"mammographic",8,"rect",1,1024,0.525714302062988,0.537500023841858
"mammographic",8,"rect",1,256,0.525714302062988,0.462500035762787
"mammographic",2,"rect",1,512,0.525714302062988,0.462500035762787
"mammographic",16,"rect",1,256,0.525714302062988,0.462500065565109
"mammographic",3,"rect",1,512,0.515714299678803,0.462500035762787
"mammographic",32,"rect",0.01,1024,0.500000014901161,0.537500083446503
