"dataset","valAccuracy","learningrate","testAccuracy","nlayers","nhidden","layerForm"
"statlog-landsat",0.255707740783691,1,0.230499997735023,32,1024,"rect"
"statlog-landsat",0.25433788895607,0.1,0.241999983787537,32,1024,"rect"
"statlog-landsat",0.249771678447723,0.1,0.198499992489815,32,512,"rect"
"statlog-landsat",0.244520530104637,1,0.234999984502792,32,256,"cone"
"statlog-landsat",0.244520530104637,1,0.234999984502792,3,1024,"rect"
"statlog-landsat",0.244520527124405,1,0.230499997735023,16,256,"cone"
"statlog-landsat",0.244292226433754,1,0.198500007390976,4,512,"rect"
"statlog-landsat",0.244063913822174,1,0.234999984502792,16,512,"cone"
"statlog-landsat",0.243378987908363,1,0.198500007390976,3,256,"rect"
"statlog-landsat",0.239269396662712,1,0.230499997735023,32,512,"cone"
"statlog-landsat",0.239269396662712,1,0.230499997735023,32,1024,"cone"
"statlog-landsat",0.239269395172596,0.1,0.230500012636185,32,1024,"cone"
"statlog-landsat",0.239041084051132,1,0.234999984502792,3,512,"rect"
"statlog-landsat",0.233789935708046,0.01,0.230499997735023,32,1024,"cone"
"statlog-landsat",0.233561639487743,0.1,0.234999984502792,32,256,"rect"
"statlog-landsat",0.233561632037163,1,0.230500012636185,16,512,"rect"
"statlog-landsat",0.233333322405815,1,0.230499997735023,8,256,"rect"
"statlog-landsat",0.231278531998396,1,0.230500012636185,32,256,"rect"
"statlog-landsat",0.231050226092339,0.1,0.234999984502792,32,256,"cone"
"statlog-landsat",0.230821911990643,1,0.230499997735023,8,1024,"rect"
"statlog-landsat",0.228310489654541,0.1,0.235000014305115,32,512,"cone"
"statlog-landsat",0.217579899728298,1,0.234999984502792,8,512,"rect"
"statlog-landsat",0.215525112301111,1,0.111999988555908,32,512,"rect"
"statlog-landsat",0.215296793729067,1,0.234999999403954,16,256,"rect"
"statlog-landsat",0.19406391531229,1,0.198500007390976,4,1024,"rect"
"statlog-landsat",0.175570768862963,1,0.118499994277954,16,1024,"rect"
