"dataset","valAccuracy","testAccuracy","learningrate","nhidden","layerForm","nlayers"
"page-blocks",0.975061750411987,0.96052622795105,0.01,512,"cone",8
"page-blocks",0.975061750411987,0.959795355796814,0.1,256,"cone",4
"page-blocks",0.975061732530594,0.967836141586304,1,256,"cone",8
"page-blocks",0.974814838171005,0.972222208976746,0.01,256,"cone",3
"page-blocks",0.974567955732346,0.945906400680542,1,512,"cone",2
"page-blocks",0.974567890167236,0.968567132949829,0.1,256,"rect",8
"page-blocks",0.974320983886719,0.968567132949829,0.01,512,"cone",4
"page-blocks",0.97407408952713,0.965643167495728,0.1,256,"rect",16
"page-blocks",0.974074077606201,0.959795236587524,0.1,1024,"rect",2
"page-blocks",0.973827171325684,0.953947305679321,0.01,1024,"rect",8
"page-blocks",0.973580259084702,0.95102334022522,0.01,1024,"cone",8
"page-blocks",0.973333334922791,0.96052622795105,0.1,512,"cone",16
"page-blocks",0.972839504480362,0.965643227100372,0.1,512,"cone",8
"page-blocks",0.972592622041702,0.961257338523865,0.01,512,"rect",8
"page-blocks",0.971851843595505,0.967836141586304,1,512,"cone",8
"page-blocks",0.971604955196381,0.952485322952271,0.01,512,"rect",16
"page-blocks",0.97135803103447,0.970760107040405,1,1024,"cone",3
"page-blocks",0.971358025074005,0.961988210678101,0.01,1024,"rect",16
"page-blocks",0.970370376110077,0.964912235736847,1,1024,"cone",8
"page-blocks",0.969382721185684,0.969298243522644,0.1,1024,"rect",3
"page-blocks",0.969135785102844,0.964181303977966,0.01,256,"cone",8
"page-blocks",0.968395048379898,0.963450193405151,0.01,1024,"cone",16
"page-blocks",0.963456773757935,0.950292348861694,0.01,256,"cone",16
"page-blocks",0.960987645387649,0.948830366134644,0.1,1024,"cone",16
"page-blocks",0.960740745067596,0.946637392044067,0.01,512,"cone",16
"page-blocks",0.960000014305115,0.937134504318237,0.1,512,"rect",16
"page-blocks",0.948395085334778,0.93347954750061,0.1,256,"cone",16
"page-blocks",0.938271605968475,0.920321583747864,1,512,"cone",16
"page-blocks",0.922962981462479,0.907894730567932,0.01,512,"rect",32
"page-blocks",0.921975326538086,0.899122774600983,0.01,1024,"rect",32
"page-blocks",0.920987713336945,0.898391842842102,1,256,"rect",8
"page-blocks",0.92098770737648,0.898391842842102,0.1,1024,"cone",32
"page-blocks",0.920987701416016,0.898391842842102,0.1,512,"rect",32
"page-blocks",0.920987701416016,0.898391842842102,1,512,"cone",32
"page-blocks",0.920987695455551,0.898391842842102,0.1,512,"cone",32
"page-blocks",0.920987695455551,0.898391842842102,1,1024,"cone",32
"page-blocks",0.920987689495087,0.898391842842102,0.1,256,"cone",32
"page-blocks",0.920987689495087,0.898391842842102,0.1,256,"rect",32
"page-blocks",0.920987689495087,0.898391842842102,1,256,"cone",32
"page-blocks",0.920987689495087,0.898391783237457,1,512,"rect",3
"page-blocks",0.920987689495087,0.898391783237457,1,256,"rect",2
"page-blocks",0.920987683534622,0.898391842842102,1,512,"rect",32
"page-blocks",0.920987683534622,0.898391783237457,1,256,"rect",16
"page-blocks",0.920987677574158,0.898391842842102,0.01,512,"cone",32
"page-blocks",0.920987677574158,0.898391783237457,0.01,256,"cone",32
"page-blocks",0.920987677574158,0.898391783237457,0.1,1024,"rect",16
"page-blocks",0.920987677574158,0.898391783237457,1,1024,"cone",16
"page-blocks",0.920987677574158,0.898391783237457,1,1024,"rect",3
"page-blocks",0.920987671613693,0.898391842842102,1,1024,"rect",32
"page-blocks",0.920987671613693,0.898391842842102,1,512,"rect",16
"page-blocks",0.920987671613693,0.898391842842102,0.01,256,"rect",32
"page-blocks",0.920987671613693,0.898391842842102,1,512,"rect",8
"page-blocks",0.920987671613693,0.898391842842102,1,256,"rect",4
"page-blocks",0.920987665653229,0.898391783237457,0.01,1024,"cone",32
"page-blocks",0.920987665653229,0.898391783237457,0.1,1024,"rect",32
"page-blocks",0.920987659692764,0.898391842842102,1,1024,"rect",4
"page-blocks",0.920987641811371,0.898391783237457,1,256,"cone",16
"page-blocks",0.917037063837052,0.898391783237457,1,512,"rect",2
"page-blocks",0.890123468637466,0.898391783237457,1,256,"rect",3
"page-blocks",0.834320998191834,0.0599415153264999,1,1024,"rect",2
"page-blocks",0.834320998191834,0.898391842842102,1,512,"rect",4
"page-blocks",0.830864243581891,0.0204678364098072,1,1024,"rect",16
"page-blocks",0.829135794797912,0.0051169591024518,1,256,"rect",32
"page-blocks",0.747654354572296,0.898391842842102,1,1024,"rect",8
