"dataset","layerForm","testAccuracy","valAccuracy","nhidden","learningrate","nlayers"
"titanic","cone",0.678181827068329,0.679487216472626,256,0.1,16
"titanic","rect",0.678181827068329,0.679487216472626,256,1,4
"titanic","cone",0.678181827068329,0.679487216472626,256,0.01,32
"titanic","cone",0.678181827068329,0.679487216472626,256,0.1,32
"titanic","cone",0.678181827068329,0.679487216472626,256,1,16
"titanic","cone",0.678181827068329,0.679487210512161,1024,0.01,32
"titanic","cone",0.678181827068329,0.679487210512161,1024,0.1,32
"titanic","rect",0.678181827068329,0.679487210512161,512,1,16
"titanic","rect",0.678181827068329,0.679487210512161,512,1,4
"titanic","cone",0.678181827068329,0.679487192630768,512,1,16
"titanic","cone",0.681818187236786,0.666666704416275,256,1,32
"titanic","rect",0.699999988079071,0.657051318883896,512,0.1,8
"titanic","cone",0.714545428752899,0.647435909509659,512,0.01,8
"titanic","rect",0.678181827068329,0.643589782714844,256,1,3
"titanic","rect",0.678181827068329,0.607692342996597,1024,0.01,32
"titanic","cone",0.321818172931671,0.578205138444901,1024,1,2
"titanic","rect",0.321818172931671,0.571794909238815,1024,1,16
"titanic","cone",0.678181827068329,0.535897469520569,1024,1,8
