"dataset","learningrate","nlayers","valAccuracy","layerForm","testAccuracy","nhidden"
"ringnorm",0.1,16,0.50504854619503,"cone",0.504864931106567,512
"ringnorm",1,16,0.50504854619503,"cone",0.504864931106567,1024
"ringnorm",1,8,0.502524304389954,"rect",0.504864871501923,1024
"ringnorm",1,16,0.502524289488792,"cone",0.495135128498077,256
"ringnorm",1,2,0.50252428650856,"rect",0.494594603776932,256
"ringnorm",1,32,0.502524280548096,"cone",0.495135128498077,1024
"ringnorm",1,16,0.50000002682209,"rect",0.504864931106567,512
"ringnorm",1,4,0.500000008940697,"rect",0.4951351583004,256
"ringnorm",1,16,0.487378671765328,"rect",0.495135128498077,1024
"ringnorm",1,3,0.487378668785095,"rect",0.495135128498077,512
"ringnorm",1,3,0.487378665804863,"rect",0.4951351583004,256
"ringnorm",1,32,0.487378665804863,"rect",0.495135128498077,512
"ringnorm",1,32,0.487378662824631,"rect",0.495135128498077,256
"ringnorm",0.01,16,0.487378659844399,"cone",0.495135128498077,1024
"ringnorm",0.01,16,0.487378644943237,"cone",0.495675683021545,256
