"dataset","testAccuracy","valAccuracy","nlayers","learningrate","nhidden","layerForm"
"cardiotocography-10clases",0.274952918291092,0.185987263917923,3,1,512,"rect"
"cardiotocography-10clases",0.274952918291092,0.183439493179321,8,1,512,"rect"
"cardiotocography-10clases",0.156308844685555,0.177070066332817,3,1,256,"rect"
"cardiotocography-10clases",0.180790960788727,0.173248410224915,2,1,1024,"rect"
"cardiotocography-10clases",0.274952918291092,0.170700639486313,32,1,1024,"rect"
"cardiotocography-10clases",0.156308844685555,0.168789811432362,8,1,256,"rect"
"cardiotocography-10clases",0.0244821086525917,0.168152868747711,8,1,1024,"rect"
"cardiotocography-10clases",0.0489642173051834,0.165605098009109,4,1,512,"rect"
"cardiotocography-10clases",0.0338983051478863,0.163694269955158,4,1,256,"rect"
"cardiotocography-10clases",0.0922787189483643,0.1515923589468,16,1,1024,"rect"
"cardiotocography-10clases",0.156308844685555,0.146496817469597,3,1,1024,"rect"
"cardiotocography-10clases",0.274952918291092,0.144585989415646,4,1,1024,"rect"
"cardiotocography-10clases",0.0922787189483643,0.138853505253792,16,1,512,"rect"
"cardiotocography-10clases",0.0376647859811783,0.128662422299385,16,1,256,"rect"
