"dataset","nlayers","learningrate","layerForm","valAccuracy","nhidden","testAccuracy"
"chess-krvkp",4,0.1,"cone",0.98677042722702,1024,0.984981298446655
"chess-krvkp",2,1,"rect",0.986381322145462,256,0.992490649223328
"chess-krvkp",8,0.1,"cone",0.984435796737671,512,0.984981298446655
"chess-krvkp",4,0.1,"rect",0.984435796737671,256,0.983729720115662
"chess-krvkp",3,0.01,"rect",0.984435796737671,256,0.984981298446655
"chess-krvkp",2,0.01,"cone",0.984435796737671,1024,0.98998749256134
"chess-krvkp",2,0.01,"cone",0.984435796737671,256,0.984981298446655
"chess-krvkp",16,0.1,"rect",0.980544745922089,512,0.984981298446655
"chess-krvkp",8,0.1,"rect",0.980544745922089,512,0.986232876777649
"chess-krvkp",4,0.01,"rect",0.980544745922089,256,0.974968671798706
"chess-krvkp",4,0.1,"cone",0.980544745922089,512,0.987484455108643
"chess-krvkp",3,0.01,"rect",0.980544745922089,1024,0.988735914230347
"chess-krvkp",8,1,"cone",0.978210115432739,1024,0.993742227554321
"chess-krvkp",4,0.1,"rect",0.977431905269623,512,0.98998749256134
"chess-krvkp",4,0.01,"rect",0.976653695106506,512,0.979975044727325
"chess-krvkp",3,0.01,"cone",0.976653695106506,256,0.979974985122681
"chess-krvkp",4,0.01,"cone",0.972762644290924,512,0.971214056015015
"chess-krvkp",4,0.01,"cone",0.972762644290924,256,0.953692197799683
"chess-krvkp",4,0.01,"cone",0.965369647741318,1024,0.972465693950653
"chess-krvkp",8,0.01,"rect",0.96498054265976,1024,0.962453126907349
"chess-krvkp",16,0.01,"rect",0.961089491844177,1024,0.952440619468689
"chess-krvkp",8,0.01,"cone",0.956420230865478,1024,0.959950029850006
"chess-krvkp",32,0.01,"rect",0.952529180049896,1024,0.961201548576355
"chess-krvkp",8,0.01,"rect",0.949416339397431,512,0.947434306144714
"chess-krvkp",32,0.01,"rect",0.942023342847824,512,0.908635854721069
"chess-krvkp",32,0.01,"rect",0.936575871706009,256,0.951189041137695
"chess-krvkp",8,0.01,"cone",0.93190661072731,256,0.937421798706055
"chess-krvkp",8,0.01,"rect",0.929961085319519,256,0.923654556274414
"chess-krvkp",16,0.01,"rect",0.91439688205719,512,0.926157712936401
"chess-krvkp",8,0.01,"cone",0.910116726160049,512,0.917396724224091
"chess-krvkp",16,0.01,"rect",0.86381322145462,256,0.867334246635437
"chess-krvkp",8,1,"cone",0.596887135505676,256,0.610763430595398
"chess-krvkp",32,0.01,"cone",0.540856003761292,1024,0.523153960704803
"chess-krvkp",32,0.01,"cone",0.540856003761292,512,0.523153960704803
"chess-krvkp",32,0.01,"cone",0.540856003761292,256,0.523153960704803
"chess-krvkp",32,0.1,"cone",0.540856003761292,1024,0.523153960704803
"chess-krvkp",32,0.1,"cone",0.540856003761292,512,0.523153960704803
"chess-krvkp",32,0.1,"cone",0.540856003761292,256,0.523153960704803
"chess-krvkp",32,1,"cone",0.540856003761292,1024,0.523153960704803
"chess-krvkp",32,1,"cone",0.540856003761292,512,0.523153960704803
"chess-krvkp",16,0.01,"cone",0.540856003761292,1024,0.523153960704803
"chess-krvkp",16,0.1,"cone",0.540856003761292,1024,0.523153960704803
"chess-krvkp",16,0.1,"cone",0.540856003761292,512,0.523153960704803
"chess-krvkp",16,0.1,"cone",0.540856003761292,256,0.523153960704803
"chess-krvkp",16,1,"cone",0.540856003761292,1024,0.523153960704803
"chess-krvkp",16,1,"cone",0.540856003761292,256,0.523153960704803
"chess-krvkp",16,0.01,"cone",0.533073902130127,256,0.495619535446167
"chess-krvkp",32,0.1,"rect",0.532684800028801,1024,0.523153960704803
"chess-krvkp",32,1,"cone",0.532684800028801,256,0.523153960704803
"chess-krvkp",16,1,"cone",0.532684800028801,512,0.523153960704803
"chess-krvkp",32,0.1,"rect",0.531906592845917,256,0.523153960704803
"chess-krvkp",32,0.1,"rect",0.52451359629631,512,0.523153960704803
"chess-krvkp",32,1,"rect",0.52451359629631,256,0.476846039295197
"chess-krvkp",16,0.1,"rect",0.52451359629631,1024,0.523153960704803
"chess-krvkp",16,1,"rect",0.52451359629631,1024,0.523153960704803
"chess-krvkp",2,1,"rect",0.518677023053169,1024,0.475594460964203
"chess-krvkp",16,1,"rect",0.51634239256382,256,0.523153960704803
"chess-krvkp",4,1,"rect",0.51634239256382,1024,0.523153960704803
"chess-krvkp",3,1,"rect",0.51634239256382,512,0.523153960704803
"chess-krvkp",3,1,"rect",0.51634239256382,256,0.476846039295197
"chess-krvkp",32,1,"rect",0.508171188831329,512,0.523153960704803
"chess-krvkp",4,1,"rect",0.507392978668213,512,0.476846039295197
"chess-krvkp",32,1,"rect",0.499999985098839,1024,0.523153960704803
"chess-krvkp",3,1,"rect",0.499999985098839,1024,0.476846039295197
"chess-krvkp",4,1,"rect",0.480933848023415,256,0.476846039295197
"chess-krvkp",16,0.01,"cone",0.480544739961624,512,0.476846039295197
"chess-krvkp",16,1,"rect",0.475486373901367,512,0.476846039295197
"chess-krvkp",8,1,"rect",0.475486373901367,512,0.476846039295197
"chess-krvkp",8,1,"rect",0.467315170168877,1024,0.476846098899841
"chess-krvkp",2,1,"rect",0.467315170168877,512,0.476846039295197
"chess-krvkp",8,1,"rect",0.459143966436386,256,0.476846039295197
