"dataset","nlayers","testAccuracy","learningrate","layerForm","nhidden","valAccuracy"
"monks-1",32,0.500000059604645,0.01,"rect",512,0.507692337036133
"monks-1",16,0.483796328306198,0.01,"rect",512,0.507692337036133
"monks-1",8,0.481481462717056,0.1,"rect",512,0.507692337036133
"monks-1",8,0.5,1,"cone",1024,0.507692337036133
"monks-1",4,0.5,1,"cone",512,0.507692337036133
"monks-1",3,0.500000059604645,1,"rect",1024,0.507692337036133
"monks-1",16,0.58564817905426,0.01,"rect",1024,0.500000029802322
"monks-1",16,0.500000059604645,1,"cone",1024,0.500000029802322
"monks-1",8,0.44907408952713,0.1,"rect",256,0.500000029802322
"monks-1",8,0.5,1,"cone",512,0.500000029802322
"monks-1",4,0.5,1,"cone",1024,0.500000029802322
"monks-1",2,0.500000059604645,1,"rect",512,0.500000029802322
"monks-1",2,0.5,1,"cone",256,0.500000029802322
"monks-1",8,0.5625,0.1,"rect",1024,0.500000029802322
"monks-1",8,0.500000059604645,1,"rect",512,0.500000029802322
"monks-1",32,0.5,0.1,"rect",1024,0.492307722568512
"monks-1",32,0.500000059604645,0.1,"rect",256,0.492307722568512
"monks-1",16,0.500000059604645,1,"cone",256,0.492307722568512
"monks-1",8,0.5,1,"rect",1024,0.492307722568512
"monks-1",3,0.465277791023254,1,"cone",256,0.492307722568512
"monks-1",32,0.500000059604645,0.1,"cone",512,0.492307722568512
"monks-1",32,0.5,0.1,"cone",256,0.484615415334702
"monks-1",32,0.500000059604645,0.01,"cone",256,0.476923108100891
"monks-1",32,0.500000059604645,0.1,"cone",1024,0.476923108100891
"monks-1",8,0.548611104488373,0.1,"cone",256,0.476923108100891
"monks-1",32,0.500000059604645,0.01,"cone",512,0.46153849363327
"monks-1",16,0.546296298503876,0.1,"cone",512,0.46153849363327
"monks-1",16,0.500000059604645,0.1,"cone",256,0.46153849363327
"monks-1",8,0.46064817905426,0.01,"cone",256,0.46153849363327
