"dataset","learningrate","layerForm","valAccuracy","testAccuracy","nlayers","nhidden"
"seeds",1,"cone",0.954545497894287,0.923076987266541,3,512
"seeds",1,"cone",0.954545497894287,0.903846204280853,3,256
"seeds",0.01,"cone",0.954545497894287,0.884615421295166,2,1024
"seeds",0.01,"rect",0.954545497894287,0.942307710647583,2,1024
"seeds",0.01,"cone",0.954545497894287,0.903846144676208,2,512
"seeds",0.01,"rect",0.954545497894287,0.884615421295166,2,512
"seeds",0.01,"cone",0.954545497894287,0.865384638309479,2,256
"seeds",0.01,"rect",0.954545497894287,0.884615421295166,2,256
"seeds",0.1,"cone",0.954545497894287,0.884615421295166,2,1024
"seeds",0.1,"cone",0.954545497894287,0.865384638309479,2,512
"seeds",0.1,"cone",0.954545497894287,0.884615421295166,2,256
"seeds",1,"cone",0.954545497894287,0.903846204280853,2,1024
"seeds",1,"cone",0.954545497894287,0.884615421295166,2,512
"seeds",1,"cone",0.954545497894287,0.865384638309479,2,256
"seeds",0.01,"rect",0.950000041723251,0.865384697914124,16,256
"seeds",0.01,"cone",0.950000041723251,0.903846204280853,8,512
"seeds",0.1,"rect",0.950000041723251,0.884615421295166,8,1024
"seeds",0.1,"rect",0.950000041723251,0.903846204280853,4,512
"seeds",0.1,"rect",0.950000041723251,0.923076987266541,3,1024
"seeds",0.1,"cone",0.950000041723251,0.884615421295166,3,512
"seeds",0.1,"rect",0.950000041723251,0.903846204280853,3,512
"seeds",0.1,"rect",0.950000041723251,0.923076987266541,2,512
"seeds",0.1,"rect",0.950000041723251,0.884615421295166,2,256
"seeds",0.1,"cone",0.945454585552216,0.903846204280853,4,512
"seeds",0.1,"rect",0.945454585552216,0.923076987266541,2,1024
"seeds",0.01,"rect",0.945454585552215,0.846153855323792,16,1024
"seeds",0.1,"rect",0.94090912938118,0.903846144676208,3,256
"seeds",0.01,"cone",0.927272760868073,0.865384638309479,16,512
"seeds",0.1,"cone",0.927272760868073,0.884615421295166,8,512
"seeds",0.01,"cone",0.927272760868072,0.865384697914124,8,256
"seeds",0.1,"rect",0.681818217039108,0.576923131942749,16,256
"seeds",1,"cone",0.640909111499786,0.615384638309479,8,256
"seeds",1,"cone",0.627272748947144,0.634615421295166,8,512
"seeds",1,"rect",0.59545456469059,0.365384608507156,3,256
"seeds",0.01,"rect",0.590909123420715,0.653846204280853,32,512
"seeds",0.1,"rect",0.522727280855179,0.500000059604645,16,512
"seeds",0.01,"cone",0.459090933203697,0.346153855323792,16,256
"seeds",1,"rect",0.422727298736572,0.346153855323792,3,1024
"seeds",1,"rect",0.413636386394501,0.326923072338104,3,512
"seeds",0.01,"cone",0.409090936183929,0.326923102140427,32,1024
"seeds",0.01,"cone",0.409090936183929,0.326923102140427,32,256
"seeds",1,"rect",0.409090936183929,0.346153855323792,32,1024
"seeds",1,"rect",0.409090936183929,0.346153855323792,32,512
"seeds",1,"rect",0.409090936183929,0.346153855323792,32,256
"seeds",1,"rect",0.409090936183929,0.346153855323792,16,1024
"seeds",1,"rect",0.409090936183929,0.346153855323792,2,1024
"seeds",1,"rect",0.409090936183929,0.346153855323792,2,512
"seeds",1,"rect",0.409090936183929,0.346153855323792,2,256
"seeds",1,"rect",0.400000023841858,0.326923102140427,8,512
"seeds",0.01,"rect",0.386363661289215,0.326923102140427,32,1024
"seeds",1,"rect",0.386363661289215,0.326923102140427,8,1024
"seeds",1,"rect",0.386363661289215,0.346153855323792,16,256
"seeds",1,"cone",0.363636386394501,0.326923102140427,16,512
"seeds",1,"rect",0.363636386394501,0.326923072338104,4,1024
"seeds",0.1,"rect",0.340909111499786,0.326923102140427,32,1024
"seeds",0.1,"rect",0.340909111499786,0.326923102140427,32,256
"seeds",1,"rect",0.340909111499786,0.326923102140427,8,256
"seeds",1,"rect",0.340909111499786,0.326923102140427,4,512
"seeds",1,"rect",0.340909111499786,0.326923102140427,4,256
"seeds",0.01,"rect",0.340909111499786,0.346153855323792,32,256
"seeds",0.1,"rect",0.318181836605072,0.326923102140427,16,1024
"seeds",1,"rect",0.318181836605072,0.326923072338104,16,512
"seeds",1,"cone",0.318181836605072,0.326923102140427,8,1024
"seeds",0.1,"rect",0.295454561710358,0.326923102140427,32,512
"seeds",1,"cone",0.295454561710358,0.326923072338104,32,1024
"seeds",0.1,"cone",0.272727286815643,0.326923072338104,16,256
"seeds",1,"cone",0.272727286815643,0.326923072338104,16,1024
"seeds",0.1,"cone",0.272727280855179,0.326923072338104,32,512
"seeds",1,"cone",0.250000011920929,0.326923072338104,16,256
"seeds",1,"cone",0.250000011920929,0.346153855323792,32,256
"seeds",0.1,"cone",0.227272737026215,0.326923072338104,16,1024
"seeds",1,"cone",0.218181824684143,0.288461536169052,32,512
"seeds",0.1,"cone",0.2045454621315,0.326923072338104,16,512
"seeds",0.01,"cone",0.181818187236786,0.326923072338104,32,512
"seeds",0.1,"cone",0.181818187236786,0.326923072338104,32,1024
"seeds",0.1,"cone",0.181818187236786,0.326923072338104,32,256
