"dataset","learningrate","nlayers","layerForm","nhidden","valAccuracy","testAccuracy"
"pittsburg-bridges-SPAN",0.01,16,"rect",512,0.66153849363327,0.43478262424469
"pittsburg-bridges-SPAN",0.1,3,"cone",512,0.653846216201782,0.69565224647522
"pittsburg-bridges-SPAN",0.01,8,"cone",256,0.646153903007507,0.52173912525177
"pittsburg-bridges-SPAN",0.01,32,"rect",1024,0.646153882145882,0.56521737575531
"pittsburg-bridges-SPAN",0.1,32,"rect",1024,0.646153864264488,0.56521737575531
"pittsburg-bridges-SPAN",1,16,"rect",512,0.646153864264488,0.56521737575531
"pittsburg-bridges-SPAN",1,4,"rect",1024,0.646153864264488,0.56521737575531
"pittsburg-bridges-SPAN",0.1,2,"cone",512,0.630769270658493,0.695652186870575
"pittsburg-bridges-SPAN",0.01,32,"cone",256,0.615384638309479,0.56521737575531
"pittsburg-bridges-SPAN",0.01,4,"cone",256,0.615384638309479,0.56521737575531
"pittsburg-bridges-SPAN",0.01,3,"rect",1024,0.607692354917526,0.52173912525177
"pittsburg-bridges-SPAN",0.01,4,"rect",512,0.600000059604645,0.52173912525177
"pittsburg-bridges-SPAN",0.1,8,"cone",512,0.60000005364418,0.47826087474823
"pittsburg-bridges-SPAN",0.01,8,"rect",512,0.59230774641037,0.56521737575531
"pittsburg-bridges-SPAN",0.1,8,"cone",1024,0.584615409374237,0.65217387676239
"pittsburg-bridges-SPAN",0.01,8,"rect",256,0.576923131942749,0.56521737575531
"pittsburg-bridges-SPAN",1,32,"rect",256,0.538461554795504,0.217391312122345
"pittsburg-bridges-SPAN",1,3,"rect",1024,0.538461554795504,0.56521737575531
"pittsburg-bridges-SPAN",1,8,"rect",512,0.507692325115204,0.56521737575531
"pittsburg-bridges-SPAN",1,4,"rect",512,0.476923093944788,0.217391312122345
"pittsburg-bridges-SPAN",0.01,32,"cone",512,0.461538517475128,0.39130437374115
"pittsburg-bridges-SPAN",1,3,"rect",512,0.461538492143154,0.0869565233588219
"pittsburg-bridges-SPAN",1,32,"rect",1024,0.446153862029314,0.56521737575531
"pittsburg-bridges-SPAN",1,2,"rect",256,0.446153862029314,0.217391312122345
"pittsburg-bridges-SPAN",0.01,32,"rect",256,0.415384628623724,0.56521737575531
"pittsburg-bridges-SPAN",0.01,32,"rect",512,0.415384628623724,0.217391312122345
"pittsburg-bridges-SPAN",1,8,"rect",1024,0.415384628623724,0.217391312122345
"pittsburg-bridges-SPAN",1,16,"rect",256,0.415384628623724,0.217391312122345
"pittsburg-bridges-SPAN",1,4,"rect",256,0.384615398943424,0.217391312122345
"pittsburg-bridges-SPAN",1,2,"rect",1024,0.37692309319973,0.217391312122345
"pittsburg-bridges-SPAN",1,32,"rect",512,0.369230782240629,0.217391312122345
"pittsburg-bridges-SPAN",1,16,"rect",1024,0.369230782240629,0.56521737575531
"pittsburg-bridges-SPAN",1,8,"rect",256,0.323076939582825,0.217391312122345
"pittsburg-bridges-SPAN",1,2,"rect",512,0.261538478732109,0.217391312122345
"pittsburg-bridges-SPAN",1,3,"rect",256,0.261538476496935,0.217391312122345
