"dataset","nlayers","learningrate","layerForm","nhidden","valAccuracy","testAccuracy"
"chess-krvk",3,0.1,"cone",512,0.820921540260315,0.802680253982544
"chess-krvk",3,0.01,"rect",1024,0.820357346534729,0.803963422775269
"chess-krvk",4,1,"cone",256,0.819699150323868,0.830196738243103
"chess-krvk",8,0.01,"rect",256,0.815843933820725,0.807385206222534
"chess-krvk",2,0.1,"rect",256,0.813916373252869,0.820501863956451
"chess-krvk",16,0.1,"cone",256,0.812035781145096,0.816937565803528
"chess-krvk",2,0.1,"cone",1024,0.80982608795166,0.817650377750397
"chess-krvk",16,0.01,"cone",512,0.809214895963669,0.831052124500275
"chess-krvk",3,0.01,"rect",512,0.808227574825287,0.811234652996063
"chess-krvk",4,0.01,"rect",256,0.802256745100021,0.799401104450226
"chess-krvk",32,0.01,"rect",1024,0.801457488536835,0.795836925506592
"chess-krvk",2,0.1,"cone",512,0.796756017208099,0.801824867725372
"chess-krvk",3,0.1,"cone",256,0.796567976474762,0.801539778709412
"chess-krvk",4,0.01,"cone",1024,0.794687390327454,0.779726207256317
"chess-krvk",2,1,"rect",256,0.793935179710388,0.801539778709412
"chess-krvk",2,1,"cone",1024,0.791302341222763,0.8032506108284
"chess-krvk",16,0.01,"cone",256,0.788199388980866,0.79726254940033
"chess-krvk",3,1,"cone",256,0.787494134902954,0.777872741222382
"chess-krvk",4,0.01,"cone",512,0.785002386569977,0.787995338439941
"chess-krvk",2,0.1,"cone",256,0.784579259157181,0.767750203609467
"chess-krvk",2,0.01,"rect",1024,0.779031556844711,0.765611588954926
"chess-krvk",3,0.01,"rect",256,0.778326326608658,0.780011355876923
"chess-krvk",8,0.01,"cone",256,0.776398724317551,0.762189865112305
"chess-krvk",3,0.01,"cone",1024,0.773295748233795,0.780296564102173
"chess-krvk",2,1,"cone",512,0.764551043510437,0.766609609127045
"chess-krvk",2,0.01,"cone",1024,0.764127904176712,0.770316481590271
"chess-krvk",3,0.01,"cone",512,0.762247329950333,0.760051310062408
"chess-krvk",2,0.01,"rect",512,0.757075744867325,0.758482992649078
"chess-krvk",4,0.01,"cone",256,0.75326754450798,0.723552882671356
"chess-krvk",2,1,"cone",256,0.747249662876129,0.738095164299011
"chess-krvk",2,0.01,"rect",256,0.744898945093155,0.743370354175568
"chess-krvk",2,0.01,"cone",512,0.735637086629867,0.734245777130127
"chess-krvk",3,0.01,"cone",256,0.723836421966553,0.731109142303467
"chess-krvk",2,0.01,"cone",256,0.723789405822754,0.720701456069946
"chess-krvk",32,0.01,"cone",256,0.696332895755768,0.685628652572632
"chess-krvk",16,1,"cone",512,0.344569823145866,0.362132877111435
"chess-krvk",32,0.01,"cone",512,0.215232729911804,0.173224985599518
"chess-krvk",16,1,"cone",256,0.184626246988773,0.182777300477028
"chess-krvk",32,0.1,"cone",512,0.171603210270405,0.163244932889938
"chess-krvk",32,0.1,"rect",256,0.171603210270405,0.163244932889938
"chess-krvk",32,0.01,"cone",1024,0.169064429402351,0.163244932889938
"chess-krvk",32,0.1,"cone",256,0.169064424932003,0.163244932889938
"chess-krvk",32,1,"cone",1024,0.169064424932003,0.163244932889938
"chess-krvk",32,0.1,"rect",512,0.169064418971539,0.149415448307991
"chess-krvk",16,1,"cone",1024,0.166525639593601,0.163244932889938
"chess-krvk",32,1,"cone",512,0.166525635123253,0.163244932889938
"chess-krvk",32,0.1,"cone",1024,0.166525635123253,0.163244932889938
"chess-krvk",32,1,"cone",256,0.163986852765083,0.163244932889938
"chess-krvk",32,0.1,"rect",1024,0.161448058485985,0.163244932889938
"chess-krvk",4,1,"rect",1024,0.151998130232096,0.101653836667538
"chess-krvk",32,1,"rect",1024,0.14974143281579,0.128172218799591
"chess-krvk",16,1,"rect",1024,0.135496011376381,0.163244932889938
"chess-krvk",3,1,"rect",256,0.135496011376381,0.163244932889938
"chess-krvk",4,1,"rect",256,0.132816182076931,0.163244932889938
"chess-krvk",8,1,"rect",512,0.130324412509799,0.128172218799591
"chess-krvk",8,1,"rect",256,0.12900800332427,0.101653829216957
"chess-krvk",32,1,"rect",256,0.123460278939456,0.163244932889938
"chess-krvk",16,1,"rect",512,0.119887172724702,0.0707157105207443
"chess-krvk",4,1,"rect",512,0.117536444216967,0.101653836667538
"chess-krvk",3,1,"rect",512,0.106629062350839,0.149415448307991
"chess-krvk",2,1,"rect",512,0.105829813983291,0.163244932889938
"chess-krvk",16,1,"rect",256,0.102961923833936,0.0996578186750412
"chess-krvk",32,1,"rect",512,0.0968500301241875,0.0996578186750412
"chess-krvk",8,1,"rect",1024,0.0968500301241875,0.0996578186750412
"chess-krvk",2,1,"rect",1024,0.0968500301241875,0.0996578186750412
"chess-krvk",3,1,"rect",1024,0.0916314131580293,0.00698602804914117
