"dataset","learningrate","valAccuracy","testAccuracy","nlayers","layerForm","nhidden"
"congressional-voting",1,0.683783823251724,0.385321080684662,32,"rect",1024
"congressional-voting",0.1,0.681081116199494,0.559632956981659,8,"rect",256
"congressional-voting",1,0.678378421068192,0.376146763563156,3,"rect",1024
"congressional-voting",0.1,0.675675714015961,0.587155938148499,2,"rect",512
"congressional-voting",0.1,0.675675705075264,0.57798159122467,4,"cone",512
"congressional-voting",0.01,0.675675705075264,0.57798159122467,3,"cone",1024
"congressional-voting",0.1,0.675675705075264,0.532110035419464,3,"cone",256
"congressional-voting",0.01,0.675675705075264,0.541284382343292,2,"cone",512
"congressional-voting",0.01,0.670270302891731,0.57798159122467,3,"rect",256
"congressional-voting",0.1,0.670270302891731,0.577981650829315,3,"rect",256
"congressional-voting",0.01,0.670270302891731,0.587155878543854,2,"cone",1024
"congressional-voting",0.1,0.670270302891731,0.614678859710693,2,"cone",1024
"congressional-voting",0.01,0.670270302891731,0.532110035419464,16,"rect",512
"congressional-voting",0.01,0.670270296931267,0.568807244300842,16,"rect",256
"congressional-voting",0.1,0.664864900708199,0.57798159122467,4,"rect",256
"congressional-voting",0.01,0.659459492564201,0.541284382343292,3,"rect",1024
"congressional-voting",0.01,0.654054096341133,0.587155878543854,4,"rect",1024
"congressional-voting",0.1,0.651351380348206,0.57798159122467,2,"rect",1024
"congressional-voting",0.01,0.648648679256439,0.596330225467682,4,"cone",1024
"congressional-voting",0.1,0.648648679256439,0.559632956981659,3,"cone",1024
"congressional-voting",0.1,0.648648679256439,0.532110035419464,3,"cone",512
"congressional-voting",0.1,0.648648679256439,0.550458669662476,2,"cone",256
"congressional-voting",0.1,0.643243280053139,0.559633016586304,4,"rect",1024
"congressional-voting",0.01,0.643243274092674,0.541284382343292,4,"rect",512
"congressional-voting",0.01,0.643243271112442,0.559633016586304,8,"rect",512
"congressional-voting",0.01,0.637837874889374,0.614678859710693,32,"rect",1024
"congressional-voting",0.01,0.637837874889374,0.385321080684662,32,"rect",512
"congressional-voting",0.01,0.637837874889374,0.385321080684662,32,"rect",256
"congressional-voting",1,0.637837874889374,0.614678859710693,4,"rect",256
"congressional-voting",1,0.637837874889374,0.614678859710693,3,"rect",256
"congressional-voting",0.01,0.637837862968445,0.550458669662476,2,"rect",1024
"congressional-voting",0.1,0.632432472705841,0.614678859710693,16,"rect",256
"congressional-voting",1,0.627027064561844,0.614678859710693,4,"cone",512
"congressional-voting",0.1,0.627027058601379,0.541284382343292,4,"cone",1024
"congressional-voting",0.1,0.627027058601379,0.568807303905487,3,"rect",512
"congressional-voting",0.1,0.621621665358543,0.55045872926712,4,"cone",256
"congressional-voting",0.01,0.621621653437614,0.550458669662476,4,"cone",512
"congressional-voting",0.01,0.621621653437614,0.541284382343292,2,"rect",512
"congressional-voting",0.01,0.616216245293617,0.57798159122467,3,"rect",512
"congressional-voting",0.01,0.610810849070549,0.57798159122467,8,"rect",1024
"congressional-voting",0.01,0.610810843110085,0.614678800106049,16,"rect",1024
"congressional-voting",0.1,0.594594624638557,0.596330225467682,4,"rect",512
"congressional-voting",1,0.591891926527023,0.385321080684662,16,"rect",1024
"congressional-voting",1,0.591891926527023,0.614678859710693,16,"rect",256
"congressional-voting",1,0.591891926527023,0.614678859710693,2,"rect",1024
"congressional-voting",1,0.591891926527023,0.385321080684662,32,"rect",512
