"dataset","testAccuracy","learningrate","valAccuracy","nlayers","nhidden","layerForm"
"pima",0.677083313465118,0.1,0.708771932125091,4,256,"rect"
"pima",0.651041686534882,0.01,0.698245620727539,32,1024,"rect"
"pima",0.666666686534882,0.1,0.698245614767075,8,256,"rect"
"pima",0.682291686534882,0.01,0.696491235494614,4,1024,"rect"
"pima",0.635416686534882,0.1,0.692982465028763,8,1024,"rect"
"pima",0.619791626930237,0.01,0.684210538864136,16,1024,"cone"
"pima",0.630208373069763,0.01,0.684210515022278,16,256,"rect"
"pima",0.723958313465118,0.01,0.671929842233658,32,256,"rect"
"pima",0.651041686534882,0.01,0.666666686534881,32,1024,"cone"
"pima",0.651041686534882,0.01,0.666666686534881,32,512,"cone"
"pima",0.651041686534882,0.01,0.666666686534881,32,256,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,32,1024,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,32,512,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,32,512,"rect"
"pima",0.651041686534882,0.1,0.666666686534881,32,256,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,32,256,"rect"
"pima",0.651041686534882,1,0.666666686534881,32,1024,"cone"
"pima",0.651041686534882,1,0.666666686534881,32,512,"cone"
"pima",0.651041686534882,1,0.666666686534881,32,256,"cone"
"pima",0.651041686534882,0.01,0.666666686534881,16,512,"cone"
"pima",0.651041686534882,0.01,0.666666686534881,16,256,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,16,1024,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,16,1024,"rect"
"pima",0.651041686534882,0.1,0.666666686534881,16,512,"cone"
"pima",0.651041686534882,0.1,0.666666686534881,16,256,"cone"
"pima",0.651041686534882,1,0.666666686534881,16,1024,"cone"
"pima",0.651041686534882,1,0.666666686534881,16,512,"cone"
"pima",0.651041686534882,1,0.666666686534881,16,256,"cone"
"pima",0.651041686534882,1,0.666666686534881,8,1024,"rect"
"pima",0.651041686534882,1,0.666666686534881,8,512,"rect"
"pima",0.651041686534882,1,0.666666686534881,8,256,"cone"
"pima",0.651041686534882,1,0.666666686534881,3,1024,"rect"
"pima",0.651041686534882,1,0.666666686534881,2,1024,"rect"
"pima",0.651041686534882,0.1,0.656140375137329,16,512,"rect"
"pima",0.625,0.01,0.656140321493149,8,256,"cone"
"pima",0.703125059604645,0.01,0.640350872278214,4,512,"cone"
"pima",0.651041686534882,1,0.635087734460831,2,512,"rect"
"pima",0.651041686534882,1,0.633333349227905,32,512,"rect"
"pima",0.651041686534882,1,0.633333349227905,16,512,"rect"
"pima",0.651041686534882,1,0.633333349227905,4,1024,"rect"
"pima",0.651041686534882,0.1,0.600000011920929,32,1024,"rect"
"pima",0.651041686534882,1,0.600000011920929,16,1024,"rect"
"pima",0.651041686534882,1,0.600000011920929,16,256,"rect"
"pima",0.651041686534882,1,0.600000011920929,8,256,"rect"
"pima",0.651041686534882,1,0.600000011920929,4,256,"rect"
"pima",0.651041686534882,1,0.600000011920929,3,512,"rect"
"pima",0.651041686534882,1,0.600000011920929,3,256,"rect"
"pima",0.348958343267441,1,0.573684215545654,4,512,"rect"
"pima",0.651041686534882,1,0.566666674613953,32,1024,"rect"
"pima",0.651041686534882,1,0.566666674613953,32,256,"rect"
"pima",0.348958343267441,0.01,0.561403512954712,32,512,"rect"
