"dataset","nlayers","testAccuracy","layerForm","nhidden","learningrate","valAccuracy"
"optical",3,0.957150816917419,"cone",256,0.01,0.962864738702774
"optical",16,0.953255355358124,"rect",1024,0.1,0.9620689868927
"optical",16,0.928770184516907,"rect",1024,0.01,0.960212230682373
"optical",4,0.950472950935364,"cone",512,0.01,0.960212171077728
"optical",32,0.930439591407776,"rect",512,0.01,0.959416472911835
"optical",8,0.944351673126221,"rect",1024,0.01,0.954907178878784
"optical",8,0.935447931289673,"rect",256,0.01,0.95225465297699
"optical",8,0.935447990894318,"rect",512,0.01,0.949602127075195
"optical",16,0.928770124912262,"rect",512,0.01,0.944297075271606
"optical",16,0.891485810279846,"cone",256,0.01,0.943501317501068
"optical",8,0.906510829925537,"cone",512,0.01,0.930503940582275
"optical",16,0.914301514625549,"cone",512,0.01,0.930238687992096
"optical",32,0.918753385543823,"rect",256,0.01,0.929177677631378
"optical",32,0.916527450084686,"rect",1024,0.01,0.92838191986084
"optical",16,0.908736705780029,"rect",256,0.01,0.92838191986084
"optical",8,0.911519229412079,"cone",256,0.01,0.92838191986084
"optical",16,0.920422911643982,"cone",1024,0.01,0.927586162090302
"optical",8,0.922092437744141,"cone",1024,0.01,0.924403131008148
"optical",32,0.599888682365417,"cone",1024,0.01,0.577453556656837
"optical",32,0.259321093559265,"cone",256,0.01,0.262334203720093
"optical",32,0.198107957839966,"cone",1024,0.1,0.185145875811577
"optical",32,0.185308843851089,"cone",1024,1,0.180371344089508
"optical",32,0.1441290974617,"rect",256,0.1,0.140848803520203
"optical",16,0.109070673584938,"cone",256,1,0.126790446788073
"optical",16,0.100166954100132,"cone",512,1,0.115915113687515
"optical",16,0.100723430514336,"cone",1024,1,0.111140578985214
"optical",32,0.0996104627847672,"cone",512,0.01,0.10848805680871
"optical",32,0.1012799218297,"cone",512,1,0.107427053153515
"optical",32,0.100166954100132,"rect",1024,1,0.10530503615737
"optical",8,0.101836398243904,"rect",1024,1,0.105039785802364
"optical",3,0.10127991437912,"rect",512,1,0.104509280622005
"optical",8,0.100723430514336,"rect",256,1,0.104244030267
"optical",16,0.100723430514336,"rect",512,1,0.103448273986578
"optical",16,0.100723430514336,"rect",256,1,0.102917769551277
"optical",8,0.100723430514336,"rect",512,1,0.102917768806219
"optical",16,0.1012799218297,"rect",1024,1,0.102652514725924
"optical",32,0.101836405694485,"cone",256,0.1,0.102122010290623
"optical",3,0.0984975099563599,"rect",1024,1,0.102122010290623
"optical",32,0.101836398243904,"cone",512,0.1,0.101326256245375
"optical",32,0.0968280434608459,"rect",512,0.1,0.10079575330019
"optical",32,0.0984975099563599,"cone",256,1,0.100795751810074
"optical",4,0.10127991437912,"rect",512,1,0.100530501455069
"optical",32,0.0996104627847672,"rect",1024,0.1,0.0999999940395355
"optical",32,0.0990539863705635,"rect",256,1,0.0835543759167194
"optical",32,0.0990539863705635,"rect",512,1,0.0822281166911125
"optical",4,0.0990539863705635,"rect",1024,1,0.0822281166911125
