"dataset","valAccuracy","nhidden","layerForm","learningrate","nlayers","testAccuracy"
"oocytes_merluccius_states_2f",0.671052694320679,256,"cone",0.1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,256,"rect",0.1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,512,"cone",1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,256,"cone",1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,512,"rect",0.1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,256,"rect",0.1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,1024,"cone",1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.671052694320679,256,"cone",1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.630263215303421,1024,"rect",1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.589473736286163,512,"rect",1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.589473736286163,256,"rect",1,4,0.690196096897125
"oocytes_merluccius_states_2f",0.578947365283966,512,"cone",0.01,32,0.619607865810394
"oocytes_merluccius_states_2f",0.569736893475056,512,"rect",1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.569736893475056,256,"rect",1,16,0.690196096897125
"oocytes_merluccius_states_2f",0.550000050663948,256,"rect",1,8,0.690196096897125
"oocytes_merluccius_states_2f",0.550000050663948,1024,"rect",1,4,0.690196096897125
"oocytes_merluccius_states_2f",0.528947414457798,256,"rect",1,32,0.250980406999588
"oocytes_merluccius_states_2f",0.528947414457798,512,"rect",1,3,0.690196096897125
"oocytes_merluccius_states_2f",0.517105305194855,1024,"rect",1,3,0.690196096897125
"oocytes_merluccius_states_2f",0.507894778251648,1024,"rect",1,32,0.690196096897125
"oocytes_merluccius_states_2f",0.477631616592407,512,"rect",1,4,0.407843172550201
"oocytes_merluccius_states_2f",0.463157911598682,512,"rect",1,8,0.690196096897125
"oocytes_merluccius_states_2f",0.43552633523941,512,"rect",1,2,0.690196096897125
"oocytes_merluccius_states_2f",0.417105273157358,1024,"rect",1,2,0.0745098069310188
"oocytes_merluccius_states_2f",0.275000005960465,1024,"rect",1,8,0.250980406999588
