"dataset","learningrate","layerForm","testAccuracy","nlayers","valAccuracy","nhidden"
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,4,0.899999976158142,256
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,2,0.899999976158142,1024
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,2,0.899999976158142,512
"pittsburg-bridges-T-OR-D",0.01,"rect",0.879999995231628,16,0.890000003576279,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.759999990463257,16,0.8799999833107,512
"pittsburg-bridges-T-OR-D",1,"cone",0.919999957084656,3,0.8799999833107,1024
"pittsburg-bridges-T-OR-D",1,"cone",0.919999957084656,3,0.8799999833107,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,8,0.869999986886978,512
"pittsburg-bridges-T-OR-D",0.01,"rect",0.879999995231628,32,0.869999980926514,1024
"pittsburg-bridges-T-OR-D",0.1,"rect",0.919999957084656,8,0.859999990463257,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.919999957084656,4,0.859999978542328,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,4,0.849999994039536,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.839999973773956,3,0.849999994039536,1024
"pittsburg-bridges-T-OR-D",1,"cone",0.839999973773956,2,0.849999994039536,512
"pittsburg-bridges-T-OR-D",1,"cone",0.919999957084656,16,0.839999997615814,1024
"pittsburg-bridges-T-OR-D",0.1,"rect",0.919999957084656,3,0.839999997615814,256
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,4,0.839999997615814,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.839999973773956,8,0.839999997615814,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",0.839999973773956,16,0.830000007152558,512
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,4,0.830000001192093,512
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,2,0.830000001192093,256
"pittsburg-bridges-T-OR-D",0.01,"rect",0.879999995231628,16,0.830000001192093,1024
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,2,0.830000001192093,1024
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,2,0.830000001192093,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,3,0.829999986290932,512
"pittsburg-bridges-T-OR-D",0.1,"cone",1,4,0.820000004768372,512
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,3,0.820000004768372,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,32,0.81999997869134,1024
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,16,0.81999997869134,1024
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,4,0.81999997869134,256
"pittsburg-bridges-T-OR-D",1,"rect",0.119999997317791,32,0.81999997869134,256
"pittsburg-bridges-T-OR-D",1,"rect",0.119999997317791,16,0.81999997869134,1024
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,4,0.81999997869134,1024
"pittsburg-bridges-T-OR-D",1,"cone",0.919999957084656,2,0.81000000834465,1024
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,4,0.81000000834465,512
"pittsburg-bridges-T-OR-D",0.01,"cone",0.959999978542328,3,0.81000000834465,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",1,3,0.81000000834465,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",1,3,0.81000000834465,256
"pittsburg-bridges-T-OR-D",0.01,"cone",0.959999978542328,2,0.81000000834465,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,2,0.81000000834465,512
"pittsburg-bridges-T-OR-D",0.1,"cone",0.919999957084656,2,0.81000000834465,256
"pittsburg-bridges-T-OR-D",0.1,"cone",0.959999978542328,4,0.81000000834465,256
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,8,0.800000011920929,512
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,8,0.800000011920929,512
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,8,0.800000011920929,256
"pittsburg-bridges-T-OR-D",0.01,"cone",0.879999995231628,4,0.800000011920929,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,4,0.800000011920929,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,4,0.800000011920929,512
"pittsburg-bridges-T-OR-D",0.01,"rect",0.879999995231628,4,0.800000011920929,256
"pittsburg-bridges-T-OR-D",0.01,"cone",1,3,0.800000011920929,512
"pittsburg-bridges-T-OR-D",0.01,"rect",1,3,0.800000011920929,512
"pittsburg-bridges-T-OR-D",0.1,"cone",0.959999978542328,3,0.800000011920929,1024
"pittsburg-bridges-T-OR-D",0.1,"cone",1,3,0.800000011920929,256
"pittsburg-bridges-T-OR-D",0.01,"cone",0.919999957084656,2,0.800000011920929,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,2,0.800000011920929,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.919999957084656,2,0.800000011920929,512
"pittsburg-bridges-T-OR-D",1,"cone",0.879999995231628,2,0.800000011920929,256
"pittsburg-bridges-T-OR-D",0.01,"rect",0.919999957084656,2,0.790000015497208,512
"pittsburg-bridges-T-OR-D",0.1,"rect",0.959999978542328,4,0.790000015497208,256
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,8,0.780000019073486,1024
"pittsburg-bridges-T-OR-D",0.01,"rect",0.959999978542328,2,0.780000019073486,256
"pittsburg-bridges-T-OR-D",0.1,"cone",0.879999995231628,2,0.780000019073486,1024
"pittsburg-bridges-T-OR-D",0.1,"cone",0.959999978542328,3,0.780000019073486,512
"pittsburg-bridges-T-OR-D",0.1,"rect",0.759999990463257,3,0.780000019073486,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,2,0.74999999254942,256
"pittsburg-bridges-T-OR-D",0.1,"rect",0.879999995231628,32,0.739999981224537,1024
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,16,0.739999981224537,512
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,16,0.739999981224537,256
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,3,0.739999981224537,1024
"pittsburg-bridges-T-OR-D",0.01,"cone",0.919999957084656,3,0.700000047683716,256
"pittsburg-bridges-T-OR-D",0.01,"cone",0.919999957084656,8,0.670000040531158,256
"pittsburg-bridges-T-OR-D",1,"rect",0.879999995231628,3,0.639999990910292,256
