"dataset","layerForm","nlayers","nhidden","learningrate","testAccuracy","valAccuracy"
"spect","cone",3,256,0.1,0.688172042369843,0.700000047683716
"spect","rect",2,1024,0.01,0.650537669658661,0.700000047683716
"spect","cone",2,256,0.01,0.623655915260315,0.700000047683716
"spect","rect",4,512,0.01,0.629032254219055,0.700000041723251
"spect","rect",3,512,0.01,0.586021482944489,0.700000041723251
"spect","rect",2,256,0.1,0.693548381328583,0.700000035762787
"spect","rect",3,512,0.1,0.682795703411102,0.70000002682209
"spect","cone",16,1024,0.1,0.548387110233307,0.700000017881393
"spect","cone",8,1024,0.1,0.569892466068268,0.69000004529953
"spect","rect",16,256,0.01,0.602150559425354,0.690000039339066
"spect","rect",3,1024,0.1,0.63440865278244,0.690000039339065
"spect","rect",3,256,0.1,0.655914008617401,0.690000030398369
"spect","rect",4,1024,0.01,0.672043025493622,0.680000042915344
"spect","rect",2,256,0.01,0.623655915260315,0.680000042915344
"spect","cone",4,256,1,0.602150499820709,0.680000019073486
"spect","cone",3,512,0.01,0.559139788150787,0.670000040531158
"spect","rect",4,256,0.1,0.688172042369843,0.670000040531158
"spect","cone",4,256,0.01,0.553763449192047,0.660000038146973
"spect","rect",16,256,0.1,0.48924732208252,0.660000038146973
"spect","rect",8,512,0.1,0.580645143985748,0.660000032186508
"spect","rect",16,1024,0.01,0.650537610054016,0.650000038743019
"spect","cone",4,1024,1,0.559139788150787,0.650000029802322
"spect","cone",16,512,0.1,0.548387110233307,0.650000023841858
"spect","rect",16,1024,0.1,0.596774160861969,0.640000033378601
"spect","rect",3,1024,1,0.548387050628662,0.630000025033951
"spect","rect",32,256,0.01,0.548387050628662,0.620000034570694
"spect","cone",8,512,0.1,0.559139788150787,0.62000002861023
"spect","cone",3,1024,0.01,0.704301118850708,0.610000026226044
"spect","cone",32,1024,0.01,0.548387110233307,0.600000023841858
"spect","cone",32,512,0.01,0.548387110233307,0.600000023841858
"spect","cone",32,256,0.01,0.548387110233307,0.600000023841858
"spect","cone",32,1024,0.1,0.548387110233307,0.600000023841858
"spect","rect",32,1024,0.1,0.548387050628662,0.600000023841858
"spect","cone",32,512,0.1,0.548387110233307,0.600000023841858
"spect","rect",32,512,0.1,0.548387050628662,0.600000023841858
"spect","cone",32,256,0.1,0.548387050628662,0.600000023841858
"spect","rect",32,256,0.1,0.548387110233307,0.600000023841858
"spect","cone",32,1024,1,0.548387110233307,0.600000023841858
"spect","cone",32,512,1,0.548387110233307,0.600000023841858
"spect","rect",32,512,1,0.548387050628662,0.600000023841858
"spect","cone",32,256,1,0.548387050628662,0.600000023841858
"spect","cone",16,512,0.01,0.548387110233307,0.600000023841858
"spect","cone",16,256,0.01,0.548387110233307,0.600000023841858
"spect","rect",16,512,0.1,0.548387110233307,0.600000023841858
"spect","cone",16,256,0.1,0.548387050628662,0.600000023841858
"spect","cone",16,1024,1,0.548387110233307,0.600000023841858
"spect","cone",16,512,1,0.548387050628662,0.600000023841858
"spect","cone",16,256,1,0.548387110233307,0.600000023841858
"spect","rect",8,1024,0.1,0.596774220466614,0.600000023841858
"spect","cone",8,1024,1,0.548387110233307,0.600000023841858
"spect","cone",8,512,1,0.516129016876221,0.600000023841858
"spect","cone",8,256,1,0.548387050628662,0.600000023841858
"spect","rect",8,256,1,0.548387110233307,0.600000023841858
"spect","cone",4,1024,0.01,0.661290287971497,0.600000023841858
"spect","rect",4,256,1,0.548387110233307,0.600000023841858
"spect","rect",3,512,1,0.548387110233307,0.600000023841858
"spect","rect",3,256,1,0.548387110233307,0.600000023841858
"spect","rect",16,512,0.01,0.645161271095276,0.590000030398369
"spect","rect",32,1024,0.01,0.548387050628662,0.580000022053719
"spect","rect",32,512,0.01,0.451612889766693,0.580000022053719
"spect","rect",32,1024,1,0.548387110233307,0.580000022053719
"spect","rect",32,256,1,0.451612889766693,0.580000022053719
"spect","rect",16,256,1,0.548387050628662,0.580000022053719
"spect","rect",8,1024,1,0.548387110233307,0.580000022053719
"spect","rect",8,512,1,0.548387110233307,0.580000022053719
"spect","rect",4,512,1,0.548387110233307,0.580000022053719
"spect","rect",2,512,1,0.451612919569016,0.580000022053719
"spect","rect",2,256,1,0.548387110233307,0.580000020563602
"spect","rect",16,512,1,0.548387050628662,0.560000020265579
"spect","rect",2,1024,1,0.451612889766693,0.560000020265579
"spect","cone",4,512,0.01,0.569892466068268,0.560000014305115
"spect","rect",4,1024,1,0.451612889766693,0.550000017881394
"spect","cone",8,512,0.01,0.596774160861969,0.550000011920929
"spect","rect",16,1024,1,0.451612919569016,0.520000016689301
"spect","rect",8,256,0.01,0.634408593177795,0.390000006556511
