"dataset","valAccuracy","nlayers","nhidden","layerForm","learningrate","testAccuracy"
"lenses",0.9,32,1024,"rect",0.1,0.666666686534882
"lenses",0.9,16,1024,"rect",0.1,0.16666667163372
"lenses",0.9,8,512,"cone",0.1,0.666666686534882
"lenses",0.9,3,256,"rect",0.1,1
"lenses",0.8,32,1024,"rect",0.01,0.666666686534882
"lenses",0.8,32,512,"rect",0.01,0.666666686534882
"lenses",0.8,32,512,"cone",1,0.666666686534882
"lenses",0.8,16,256,"rect",0.01,0.5
"lenses",0.8,8,512,"rect",0.01,0.666666686534882
"lenses",0.8,8,256,"rect",0.1,0.5
"lenses",0.8,4,256,"rect",0.1,0.666666686534882
"lenses",0.8,4,256,"cone",1,0.666666686534882
"lenses",0.8,3,256,"cone",0.1,1
"lenses",0.8,2,256,"cone",0.1,0.833333373069763
"lenses",0.8,2,256,"rect",1,0.16666667163372
"lenses",0.7,16,512,"rect",1,0.16666667163372
"lenses",0.7,8,256,"cone",1,0.666666686534882
"lenses",0.7,8,256,"rect",1,0.666666686534882
"lenses",0.7,4,256,"cone",0.1,0.666666686534882
"lenses",0.7,4,512,"rect",1,0.666666686534882
"lenses",0.7,3,1024,"cone",1,0.16666667163372
"lenses",0.7,2,256,"cone",1,0.5
"lenses",0.6,32,256,"rect",1,0.16666667163372
"lenses",0.6,8,1024,"rect",1,0.16666667163372
"lenses",0.6,4,512,"cone",1,0
"lenses",0.6,4,256,"rect",1,0.666666686534882
"lenses",0.6,3,512,"cone",1,0.666666686534882
"lenses",0.6,2,1024,"rect",1,0.666666686534882
"lenses",0.6,2,512,"cone",1,0.5
"lenses",0.5,8,1024,"cone",1,0.16666667163372
"lenses",0.5,8,512,"cone",1,0.16666667163372
"lenses",0.5,8,512,"rect",1,0.666666686534882
"lenses",0.5,4,512,"cone",0.1,0.833333373069763
"lenses",0.5,4,1024,"rect",1,0.16666667163372
"lenses",0.5,3,1024,"rect",1,0.666666686534882
"lenses",0.5,3,256,"cone",1,0.666666686534882
"lenses",0.5,2,512,"rect",1,0.666666686534882
"lenses",0.4,32,512,"rect",1,0.666666686534882
"lenses",0.4,2,1024,"cone",1,0.16666667163372
"lenses",0.3,32,1024,"rect",1,0.5
"lenses",0.3,16,256,"rect",1,0.16666667163372
"lenses",0.3,3,512,"rect",0.1,0.666666686534882
"lenses",0.3,3,256,"rect",1,0.333333343267441
"lenses",0.2,16,256,"cone",0.01,0.5
"lenses",0.2,16,1024,"rect",1,0.666666686534882
"lenses",0.2,8,256,"cone",0.01,0.5
"lenses",0.2,3,1024,"cone",0.01,1
"lenses",0.2,3,512,"rect",1,0.16666667163372
"lenses",0.2,2,512,"cone",0.1,0.833333373069763
"lenses",0,8,1024,"cone",0.01,0.5
"lenses",0,8,256,"rect",0.01,0.333333343267441
"lenses",0,4,1024,"cone",0.01,0.833333373069763
"lenses",0,4,1024,"rect",0.01,0.16666667163372
"lenses",0,4,512,"cone",0.01,0.833333373069763
"lenses",0,4,256,"rect",0.01,1
"lenses",0,3,512,"cone",0.01,1
"lenses",0,3,512,"rect",0.01,0.833333373069763
"lenses",0,3,512,"cone",0.1,1
"lenses",0,2,1024,"rect",0.01,0.333333343267441
"lenses",0,2,512,"rect",0.01,0.666666686534882
"lenses",0,2,256,"rect",0.01,0.666666686534882
