"dataset","nhidden","learningrate","nlayers","valAccuracy","layerForm","testAccuracy"
"breast-cancer-wisc-prog",256,1,8,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,0.01,4,0.850000023841858,"rect",0.816326498985291
"breast-cancer-wisc-prog",256,0.1,4,0.850000023841858,"rect",0.816326498985291
"breast-cancer-wisc-prog",1024,1,4,0.850000023841858,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,1,4,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,0.01,3,0.850000023841858,"rect",0.836734652519226
"breast-cancer-wisc-prog",256,0.01,3,0.850000023841858,"cone",0.816326498985291
"breast-cancer-wisc-prog",256,0.01,3,0.850000023841858,"rect",0.836734652519226
"breast-cancer-wisc-prog",512,0.1,3,0.850000023841858,"rect",0.836734652519226
"breast-cancer-wisc-prog",512,1,3,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,1,3,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,1,2,0.850000023841858,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,4,0.850000005960465,"rect",0.816326498985291
"breast-cancer-wisc-prog",1024,0.1,3,0.85,"rect",0.816326498985291
"breast-cancer-wisc-prog",1024,0.01,16,0.845000022649765,"rect",0.795918345451355
"breast-cancer-wisc-prog",512,0.01,4,0.845000022649765,"cone",0.836734652519226
"breast-cancer-wisc-prog",512,1,4,0.845000010728836,"cone",0.734693825244904
"breast-cancer-wisc-prog",256,0.1,8,0.845000004768372,"cone",0.795918345451355
"breast-cancer-wisc-prog",1024,0.01,8,0.840000021457672,"cone",0.836734652519226
"breast-cancer-wisc-prog",256,0.1,3,0.840000021457672,"cone",0.816326498985291
"breast-cancer-wisc-prog",1024,1,2,0.835000014305115,"cone",0.877550959587097
"breast-cancer-wisc-prog",256,0.1,2,0.830000019073487,"rect",0.857142865657806
"breast-cancer-wisc-prog",256,1,4,0.820000022649765,"cone",0.775510191917419
"breast-cancer-wisc-prog",512,0.01,8,0.820000016689301,"cone",0.795918345451355
"breast-cancer-wisc-prog",1024,0.1,4,0.820000016689301,"cone",0.795918345451355
"breast-cancer-wisc-prog",1024,0.1,3,0.820000010728836,"cone",0.897959172725677
"breast-cancer-wisc-prog",256,0.1,2,0.819999980926514,"cone",0.836734652519226
"breast-cancer-wisc-prog",256,0.1,4,0.810000020265579,"cone",0.897959113121033
"breast-cancer-wisc-prog",1024,0.01,8,0.805000007152557,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,0.1,2,0.805000001192093,"rect",0.816326498985291
"breast-cancer-wisc-prog",1024,1,3,0.800000011920929,"cone",0.816326498985291
"breast-cancer-wisc-prog",512,0.01,2,0.800000011920929,"rect",0.857142806053162
"breast-cancer-wisc-prog",512,0.01,8,0.800000011920929,"rect",0.816326498985291
"breast-cancer-wisc-prog",512,0.01,3,0.800000011920929,"rect",0.877551019191742
"breast-cancer-wisc-prog",512,0.01,2,0.800000011920929,"cone",0.836734652519226
"breast-cancer-wisc-prog",512,0.1,8,0.800000005960464,"cone",0.816326498985291
"breast-cancer-wisc-prog",512,0.1,3,0.799999988079071,"cone",0.816326498985291
"breast-cancer-wisc-prog",512,0.1,2,0.799999952316284,"rect",0.836734652519226
"breast-cancer-wisc-prog",512,0.1,2,0.794999957084656,"cone",0.816326498985291
"breast-cancer-wisc-prog",256,0.1,8,0.790000015497208,"rect",0.59183669090271
"breast-cancer-wisc-prog",256,0.01,2,0.790000009536743,"cone",0.816326498985291
"breast-cancer-wisc-prog",1024,0.1,8,0.785000014305115,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,0.01,32,0.780000022053719,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,1,32,0.780000022053719,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,1,16,0.780000022053719,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,1,16,0.780000022053719,"rect",0.775510191917419
"breast-cancer-wisc-prog",1024,1,8,0.780000022053719,"rect",0.775510191917419
"breast-cancer-wisc-prog",512,1,8,0.780000022053719,"rect",0.224489793181419
"breast-cancer-wisc-prog",256,0.01,2,0.780000007152557,"rect",0.857142806053162
"breast-cancer-wisc-prog",256,1,2,0.775000017881394,"cone",0.795918345451355
"breast-cancer-wisc-prog",512,1,3,0.775000017881393,"cone",0.693877577781677
"breast-cancer-wisc-prog",512,0.1,4,0.775000005960464,"cone",0.775510191917419
"breast-cancer-wisc-prog",1024,0.01,4,0.770000010728836,"cone",0.836734652519226
"breast-cancer-wisc-prog",1024,0.1,2,0.769999980926514,"cone",0.816326498985291
"breast-cancer-wisc-prog",512,1,2,0.760000014305115,"cone",0.897959172725677
"breast-cancer-wisc-prog",256,0.01,8,0.760000002384186,"rect",0.714285731315613
"breast-cancer-wisc-prog",512,0.01,4,0.755000001192093,"rect",0.857142806053162
"breast-cancer-wisc-prog",512,0.01,32,0.750000017881394,"rect",0.775510191917419
"breast-cancer-wisc-prog",256,0.01,16,0.75,"rect",0.836734652519226
"breast-cancer-wisc-prog",256,0.01,4,0.75,"rect",0.795918345451355
"breast-cancer-wisc-prog",256,1,3,0.735000020265579,"cone",0.734693884849548
"breast-cancer-wisc-prog",1024,0.01,2,0.71499999165535,"rect",0.816326498985291
"breast-cancer-wisc-prog",1024,0.01,32,0.710000020265579,"rect",0.775510191917419
"breast-cancer-wisc-prog",512,1,4,0.710000020265579,"rect",0.224489793181419
"breast-cancer-wisc-prog",1024,1,3,0.710000020265579,"rect",0.224489793181419
"breast-cancer-wisc-prog",1024,1,2,0.710000020265579,"rect",0.244897961616516
"breast-cancer-wisc-prog",1024,0.01,2,0.705000042915344,"cone",0.795918345451355
"breast-cancer-wisc-prog",512,0.01,16,0.700000047683716,"rect",0.775510191917419
"breast-cancer-wisc-prog",512,0.01,3,0.699999988079071,"cone",0.877550959587097
"breast-cancer-wisc-prog",256,1,4,0.690000027418137,"rect",0.673469424247742
"breast-cancer-wisc-prog",512,1,2,0.665000015497208,"rect",0.244897961616516
