"dataset","learningrate","testAccuracy","valAccuracy","nhidden","layerForm","nlayers"
"conn-bench-sonar-mines-rocks",0.01,0.807692408561707,0.8125,256,"cone",2
"conn-bench-sonar-mines-rocks",0.1,0.769230842590332,0.8125,512,"cone",2
"conn-bench-sonar-mines-rocks",1,0.673076987266541,0.80625,512,"cone",4
"conn-bench-sonar-mines-rocks",0.1,0.846153914928436,0.76875,1024,"rect",3
"conn-bench-sonar-mines-rocks",0.01,0.769230842590332,0.7625,1024,"rect",3
"conn-bench-sonar-mines-rocks",0.01,0.75,0.75,1024,"rect",16
"conn-bench-sonar-mines-rocks",0.01,0.653846204280853,0.75,512,"rect",16
"conn-bench-sonar-mines-rocks",0.01,0.788461565971375,0.75,256,"rect",16
"conn-bench-sonar-mines-rocks",0.01,0.711538553237915,0.75,1024,"cone",8
"conn-bench-sonar-mines-rocks",0.01,0.826923131942749,0.75,1024,"rect",8
"conn-bench-sonar-mines-rocks",1,0.557692348957062,0.75,512,"cone",8
"conn-bench-sonar-mines-rocks",0.01,0.692307710647583,0.75,256,"cone",4
"conn-bench-sonar-mines-rocks",0.01,0.788461565971375,0.75,512,"rect",3
"conn-bench-sonar-mines-rocks",0.01,0.711538553237915,0.75,256,"rect",3
"conn-bench-sonar-mines-rocks",0.1,0.769230842590332,0.75,512,"rect",3
"conn-bench-sonar-mines-rocks",0.01,0.730769276618958,0.74375,1024,"cone",3
"conn-bench-sonar-mines-rocks",0.01,0.615384638309479,0.7375,512,"cone",8
"conn-bench-sonar-mines-rocks",0.1,0.730769276618958,0.725,1024,"cone",8
"conn-bench-sonar-mines-rocks",0.1,0.557692348957062,0.69375,512,"cone",8
"conn-bench-sonar-mines-rocks",0.1,0.634615421295166,0.66875,512,"rect",16
"conn-bench-sonar-mines-rocks",0.1,0.519230782985687,0.6625,256,"cone",8
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.64375,1024,"cone",8
"conn-bench-sonar-mines-rocks",1,0.576923131942749,0.64375,256,"cone",8
"conn-bench-sonar-mines-rocks",0.1,0.576923131942749,0.575,1024,"rect",8
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.54375,512,"rect",2
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5375,256,"rect",32
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5375,1024,"rect",3
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.53125,1024,"rect",2
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.525,256,"rect",4
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.525,1024,"rect",16
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5125,256,"rect",16
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5125,512,"cone",16
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5125,256,"rect",3
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5125,256,"rect",2
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.50625,512,"rect",32
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.50625,512,"rect",3
"conn-bench-sonar-mines-rocks",0.01,0.538461565971375,0.5,1024,"cone",32
"conn-bench-sonar-mines-rocks",0.01,0.538461565971375,0.5,1024,"rect",32
"conn-bench-sonar-mines-rocks",0.01,0.538461565971375,0.5,512,"cone",32
"conn-bench-sonar-mines-rocks",0.01,0.538461565971375,0.5,512,"rect",32
"conn-bench-sonar-mines-rocks",0.01,0.538461565971375,0.5,256,"cone",32
"conn-bench-sonar-mines-rocks",0.01,0.46153849363327,0.5,256,"rect",32
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,1024,"cone",32
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,1024,"rect",32
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,512,"cone",32
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,256,"cone",32
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,1024,"cone",32
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,1024,"rect",32
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,512,"cone",32
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,512,"rect",32
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,256,"cone",32
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,256,"rect",32
"conn-bench-sonar-mines-rocks",0.01,0.596153855323792,0.5,1024,"cone",16
"conn-bench-sonar-mines-rocks",0.01,0.538461565971375,0.5,512,"cone",16
"conn-bench-sonar-mines-rocks",0.01,0.46153849363327,0.5,256,"cone",16
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,1024,"cone",16
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,1024,"rect",16
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,512,"cone",16
"conn-bench-sonar-mines-rocks",0.1,0.538461565971375,0.5,256,"cone",16
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,1024,"cone",16
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,512,"rect",16
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,256,"cone",16
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,256,"rect",16
"conn-bench-sonar-mines-rocks",1,0.538461565971375,0.5,1024,"rect",8
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,512,"rect",8
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,256,"rect",8
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,1024,"rect",4
"conn-bench-sonar-mines-rocks",1,0.46153849363327,0.5,512,"rect",4
