"dataset","valAccuracy","nhidden","layerForm","nlayers","testAccuracy","learningrate"
"hayes-roth",0.583333373069763,1024,"cone",32,0.428571462631226,0.01
"hayes-roth",0.583333373069763,256,"cone",32,0.464285731315613,0.01
"hayes-roth",0.558333370089531,1024,"rect",3,0.428571462631226,1
"hayes-roth",0.533333367109299,1024,"rect",32,0.464285731315613,0.1
"hayes-roth",0.533333367109299,512,"cone",8,0.5,1
"hayes-roth",0.525000014901161,256,"cone",8,0.464285731315613,1
"hayes-roth",0.516666698455811,1024,"cone",8,0.321428567171097,1
"hayes-roth",0.516666686534882,256,"rect",8,0.357142865657806,0.1
"hayes-roth",0.516666683554649,512,"rect",8,0.28571429848671,0.1
"hayes-roth",0.508333364129066,512,"cone",32,0.5,0.1
"hayes-roth",0.500000029802322,1024,"rect",16,0.28571429848671,0.1
"hayes-roth",0.483333365619183,256,"rect",32,0.464285731315613,1
"hayes-roth",0.483333361148834,512,"cone",32,0.464285731315613,1
"hayes-roth",0.483333358168602,1024,"rect",8,0.535714268684387,0.1
"hayes-roth",0.458333360403776,256,"rect",2,0.0357142873108387,1
"hayes-roth",0.458333360403776,512,"rect",32,0.0357142873108387,1
"hayes-roth",0.458333360403776,512,"rect",3,0.464285731315613,1
"hayes-roth",0.458333358168602,512,"rect",32,0.5,0.1
"hayes-roth",0.458333358168602,512,"cone",16,0.464285731315613,1
"hayes-roth",0.458333358168602,1024,"rect",32,0.5,0.01
"hayes-roth",0.458333358168602,1024,"cone",32,0.5,1
"hayes-roth",0.458333358168602,256,"cone",32,0.5,1
"hayes-roth",0.458333358168602,1024,"cone",16,0.5,1
"hayes-roth",0.458333352208138,512,"rect",16,0.357142865657806,0.1
"hayes-roth",0.450000020861626,256,"cone",16,0.464285731315613,1
"hayes-roth",0.441666693240404,256,"rect",32,0.464285731315613,0.1
"hayes-roth",0.433333357423544,512,"rect",32,0.464285731315613,0.01
"hayes-roth",0.433333357423544,256,"rect",8,0.464285731315613,1
"hayes-roth",0.408333356678486,1024,"rect",16,0.464285731315613,1
"hayes-roth",0.408333354443312,512,"rect",8,0.5,1
"hayes-roth",0.408333352208138,256,"rect",16,0.5,0.1
"hayes-roth",0.408333352208137,1024,"cone",32,0.5,0.1
"hayes-roth",0.400000017881393,512,"rect",2,0.535714268684387,1
"hayes-roth",0.391666686534882,256,"rect",4,0.464285731315613,1
"hayes-roth",0.391666677594185,1024,"rect",2,0.5,1
"hayes-roth",0.383333355933428,1024,"rect",32,0.464285731315613,1
"hayes-roth",0.383333353698254,512,"rect",16,0.464285731315613,1
"hayes-roth",0.383333353698254,256,"rect",16,0.5,1
"hayes-roth",0.383333349227905,256,"cone",16,0.5,0.1
"hayes-roth",0.383333349227905,1024,"rect",4,0.5,1
"hayes-roth",0.383333349227905,1024,"cone",16,0.5,0.1
"hayes-roth",0.383333349227905,512,"cone",16,0.5,0.1
"hayes-roth",0.36666668727994,256,"rect",3,0.0357142873108387,1
"hayes-roth",0.358333348482847,256,"rect",32,0.5,0.01
"hayes-roth",0.333333345502615,1024,"rect",8,0.5,1
"hayes-roth",0.333333345502615,512,"rect",4,0.5,1
"hayes-roth",0.333333343267441,256,"cone",32,0.464285731315613,0.1
"hayes-roth",0.258333334326744,512,"cone",32,0.5,0.01
