"dataset","nhidden","layerForm","valAccuracy","nlayers","learningrate","testAccuracy"
"blood",1024,"rect",0.800000071525574,8,0.1,0.764705896377563
"blood",1024,"cone",0.800000071525574,8,1,0.764705836772919
"blood",1024,"rect",0.800000071525574,8,1,0.764705896377563
"blood",256,"cone",0.800000071525574,8,1,0.764705896377563
"blood",256,"rect",0.800000071525574,8,1,0.764705836772919
"blood",1024,"rect",0.800000071525574,4,1,0.764705777168274
"blood",512,"rect",0.800000071525574,4,1,0.764705896377563
"blood",256,"rect",0.800000071525574,3,1,0.764705836772919
"blood",512,"rect",0.800000071525574,2,1,0.764705777168274
"blood",256,"rect",0.800000071525574,2,1,0.764705836772919
"blood",256,"cone",0.800000047683716,3,0.01,0.764705896377563
"blood",256,"rect",0.800000035762787,8,0.1,0.786096215248108
"blood",512,"cone",0.797777843475342,8,1,0.770053446292877
"blood",256,"rect",0.797777819633484,3,0.01,0.75935822725296
"blood",256,"rect",0.795555591583252,3,0.1,0.770053505897522
"blood",512,"rect",0.791111147403717,3,0.1,0.770053446292877
"blood",1024,"rect",0.788888931274414,3,0.01,0.737967908382416
"blood",512,"rect",0.786666738986969,16,0.1,0.764705836772919
"blood",256,"rect",0.784444510936737,16,0.1,0.764705836772919
"blood",1024,"rect",0.782222270965576,2,0.01,0.743315458297729
"blood",256,"rect",0.782222259044647,2,0.1,0.754010677337646
"blood",512,"rect",0.780000066757202,3,1,0.764705836772919
"blood",256,"cone",0.777777826786041,4,1,0.737967908382416
"blood",512,"rect",0.775555598735809,2,0.1,0.620320856571198
"blood",256,"cone",0.77555558681488,4,0.01,0.764705896377563
"blood",1024,"rect",0.773333406448364,16,0.1,0.764705896377563
"blood",1024,"rect",0.768888938426971,3,0.1,0.737967967987061
"blood",512,"rect",0.744444507360459,8,0.1,0.465240657329559
"blood",1024,"rect",0.74000006467104,3,1,0.764705896377563
"blood",1024,"rect",0.74000006467104,2,1,0.764705836772919
"blood",1024,"rect",0.735555595159531,4,0.1,0.732620298862457
"blood",1024,"rect",0.680000057816506,32,0.01,0.764705836772919
"blood",512,"rect",0.680000057816506,16,1,0.235294118523598
"blood",1024,"cone",0.635555616021156,4,1,0.764705836772919
"blood",512,"rect",0.620000050961971,8,1,0.235294118523598
"blood",256,"rect",0.620000050961971,4,1,0.235294118523598
"blood",256,"rect",0.560000044107437,16,1,0.764705836772919
