"dataset","learningrate","testAccuracy","layerForm","valAccuracy","nhidden","nlayers"
"teaching",1,0.315789461135864,"cone",0.310000003874302,1024,8
"teaching",0.01,0.315789461135864,"cone",0.300000011920929,1024,32
"teaching",1,0.315789461135864,"rect",0.300000011920929,512,8
"teaching",1,0.315789461135864,"rect",0.300000011920929,512,3
"teaching",1,0.315789461135864,"rect",0.300000011920929,1024,2
"teaching",0.1,0.315789461135864,"rect",0.300000005960464,1024,32
"teaching",1,0.315789461135864,"cone",0.300000005960464,1024,16
"teaching",1,0.368421077728271,"cone",0.290000005066395,256,32
"teaching",0.1,0.315789461135864,"rect",0.280000007152557,256,32
"teaching",0.1,0.315789461135864,"cone",0.270000003278256,1024,16
"teaching",0.1,0.315789461135864,"cone",0.240000006556511,512,32
"teaching",0.1,0.315789461135864,"cone",0.210000003874302,1024,32
