"dataset","testAccuracy","learningrate","nhidden","valAccuracy","layerForm","nlayers"
"zoo",1,0.1,1024,0.625,"rect",3
"zoo",0.959999978542328,1,256,0.625,"rect",2
"zoo",0.879999995231628,0.1,1024,0.6125,"cone",8
"zoo",0.839999973773956,0.01,256,0.575,"cone",16
"zoo",0.839999973773956,1,1024,0.5625,"cone",8
"zoo",0.719999969005585,1,256,0.4125,"cone",8
"zoo",0.560000002384186,0.01,1024,0.275,"rect",32
"zoo",0.0799999982118607,1,512,0.2125,"rect",8
"zoo",0.0399999991059303,1,1024,0.1875,"rect",32
"zoo",0.600000023841858,0.1,512,0.1875,"rect",16
"zoo",0.439999967813492,1,512,0.175,"rect",32
"zoo",0.439999967813492,1,256,0.175,"rect",32
"zoo",0.600000023841858,0.1,1024,0.175,"rect",16
"zoo",0.439999967813492,1,256,0.175,"rect",3
"zoo",0.199999988079071,1,1024,0.175,"rect",8
"zoo",0.439999967813492,1,512,0.1625,"rect",16
"zoo",0.0399999991059303,1,1024,0.1625,"rect",2
"zoo",0.0799999982118607,1,256,0.15,"rect",4
"zoo",0.119999997317791,1,512,0.15,"rect",3
"zoo",0.0399999991059303,1,1024,0.1375,"rect",16
"zoo",0.0799999982118607,1,1024,0.1375,"rect",4
"zoo",0.519999980926514,0.1,256,0.125,"rect",16
"zoo",0.639999985694885,1,512,0.125,"cone",32
"zoo",0.639999985694885,0.1,1024,0.125,"cone",16
"zoo",0.119999997317791,0.01,512,0.1125,"rect",32
"zoo",0.199999988079071,1,256,0.1125,"rect",16
"zoo",0.119999997317791,1,1024,0.1125,"rect",3
"zoo",0.0799999982118607,0.1,1024,0.0875,"rect",32
"zoo",0.0399999991059303,0.01,1024,0.075,"cone",32
"zoo",0.439999967813492,0.1,512,0.0625,"rect",32
"zoo",0.439999967813492,0.1,256,0.0625,"rect",32
"zoo",0.119999997317791,1,256,0.05,"rect",8
"zoo",0.519999980926514,0.01,256,0.0375,"rect",32
"zoo",0.119999997317791,0.1,1024,0.0375,"cone",32
"zoo",0.399999976158142,1,512,0.0375,"rect",4
"zoo",0.0399999991059303,0.01,256,0.025,"cone",32
"zoo",0.199999988079071,1,512,0.025,"cone",8
"zoo",0.639999985694885,1,512,0.025,"rect",2
"zoo",0.0799999982118607,0.01,512,0.0125,"cone",32
"zoo",0.439999967813492,0.1,512,0.0125,"cone",32
"zoo",0.199999988079071,1,256,0.0125,"cone",32
"zoo",0.439999967813492,1,1024,0.0125,"cone",16
"zoo",0.279999971389771,1,256,0.0125,"cone",16
"zoo",0.439999967813492,0.1,256,0,"cone",32
"zoo",0.439999967813492,1,1024,0,"cone",32
"zoo",0.439999967813492,0.1,512,0,"cone",16
"zoo",0.439999967813492,0.1,256,0,"cone",16
"zoo",0.439999967813492,1,512,0,"cone",16
