"dataset","testAccuracy","nhidden","valAccuracy","layerForm","nlayers","learningrate"
"dermatology",0.9670330286026,1024,0.981818199157715,"cone",8,1
"dermatology",0.923076987266541,1024,0.98181819319725,"rect",8,0.1
"dermatology",0.912087917327881,1024,0.954545497894287,"cone",16,0.01
"dermatology",0.95604395866394,512,0.954545497894287,"cone",16,0.01
"dermatology",0.901098966598511,256,0.954545497894287,"rect",16,0.01
"dermatology",0.912087917327881,1024,0.954545497894287,"cone",8,0.01
"dermatology",0.912087917327881,1024,0.954545497894287,"rect",8,0.01
"dermatology",0.934065937995911,512,0.954545497894287,"cone",8,0.01
"dermatology",0.901098966598511,256,0.954545497894287,"cone",4,0.01
"dermatology",0.95604395866394,256,0.954545497894287,"cone",2,0.01
"dermatology",0.890109896659851,256,0.909090936183929,"rect",8,0.01
"dermatology",0.813186883926392,512,0.904545480012894,"rect",32,0.01
"dermatology",0.758241772651672,256,0.886363655328751,"cone",16,0.01
"dermatology",0.747252821922302,256,0.881818199157715,"rect",32,0.01
"dermatology",0.901098966598511,1024,0.86363639831543,"cone",16,0.1
"dermatology",0.780219793319702,512,0.854545468091965,"cone",16,0.1
"dermatology",0.670329689979553,256,0.772727286815643,"cone",8,1
"dermatology",0.670329689979553,256,0.768181812763214,"cone",16,0.1
"dermatology",0.725274801254272,256,0.76363639831543,"cone",8,0.01
"dermatology",0.505494594573975,1024,0.681818187236786,"cone",32,0.01
"dermatology",0.505494594573975,1024,0.681818187236786,"rect",16,0.1
"dermatology",0.505494594573975,512,0.681818187236786,"rect",16,0.1
"dermatology",0.329670369625092,256,0.563636374473572,"rect",4,1
"dermatology",0.505494594573975,1024,0.490909107029438,"rect",32,0.01
"dermatology",0.428571462631226,1024,0.409090936183929,"cone",32,1
"dermatology",0.032967034727335,512,0.336363632977009,"rect",3,1
"dermatology",0.307692348957062,1024,0.322727274894714,"rect",4,1
"dermatology",0.307692348957062,1024,0.32272726893425,"cone",16,1
"dermatology",0.307692348957062,1024,0.32272726893425,"rect",16,1
"dermatology",0.307692348957062,256,0.32272726893425,"cone",16,1
"dermatology",0.307692348957062,512,0.318181812763214,"cone",32,0.01
"dermatology",0.307692348957062,256,0.318181812763214,"cone",32,0.01
"dermatology",0.307692348957062,1024,0.318181812763214,"cone",32,0.1
"dermatology",0.307692348957062,1024,0.318181812763214,"rect",32,0.1
"dermatology",0.307692348957062,512,0.318181812763214,"cone",32,0.1
"dermatology",0.307692348957062,512,0.318181812763214,"rect",32,0.1
"dermatology",0.307692348957062,256,0.318181812763214,"cone",32,0.1
"dermatology",0.307692348957062,512,0.318181812763214,"cone",32,1
"dermatology",0.307692348957062,256,0.318181812763214,"cone",32,1
"dermatology",0.307692348957062,512,0.318181812763214,"cone",16,1
"dermatology",0.307692348957062,512,0.318181812763214,"rect",16,1
"dermatology",0.307692348957062,512,0.318181812763214,"rect",8,1
"dermatology",0.307692348957062,256,0.318181812763214,"rect",8,1
"dermatology",0.307692348957062,1024,0.318181812763214,"rect",2,1
"dermatology",0.307692348957062,256,0.299999997019768,"rect",32,0.1
"dermatology",0.307692348957062,512,0.295454549789429,"rect",4,1
"dermatology",0.307692348957062,1024,0.259090909361839,"rect",3,1
"dermatology",0.307692348957062,1024,0.245454546809196,"rect",8,1
"dermatology",0.307692348957062,512,0.213636365532875,"rect",32,1
"dermatology",0.0549450553953648,256,0.204545457661152,"rect",16,1
"dermatology",0.164835169911385,256,0.186363640427589,"rect",32,1
"dermatology",0.13186813890934,1024,0.177272726595402,"rect",32,1
