"dataset","nlayers","layerForm","valAccuracy","learningrate","testAccuracy","nhidden"
"statlog-australian-credit",3,"cone",0.535000017285347,0.01,0.627906978130341,512
"statlog-australian-credit",3,"rect",0.535000011324883,1,0.319767445325851,256
"statlog-australian-credit",8,"cone",0.530000030994415,0.1,0.67441862821579,256
"statlog-australian-credit",8,"rect",0.530000007152557,0.1,0.627906978130341,1024
"statlog-australian-credit",16,"rect",0.527500033378601,0.1,0.680232584476471,512
"statlog-australian-credit",32,"cone",0.525000035762787,0.01,0.680232584476471,1024
"statlog-australian-credit",32,"cone",0.525000035762787,0.01,0.680232584476471,512
"statlog-australian-credit",32,"cone",0.525000035762787,0.01,0.680232584476471,256
"statlog-australian-credit",32,"cone",0.525000035762787,0.1,0.680232584476471,1024
"statlog-australian-credit",32,"rect",0.525000035762787,0.1,0.680232584476471,1024
"statlog-australian-credit",32,"cone",0.525000035762787,0.1,0.680232584476471,512
"statlog-australian-credit",32,"rect",0.525000035762787,0.1,0.680232584476471,512
"statlog-australian-credit",32,"cone",0.525000035762787,0.1,0.680232584476471,256
"statlog-australian-credit",32,"rect",0.525000035762787,0.1,0.680232584476471,256
"statlog-australian-credit",32,"cone",0.525000035762787,1,0.680232584476471,1024
"statlog-australian-credit",32,"rect",0.525000035762787,1,0.680232584476471,1024
"statlog-australian-credit",32,"cone",0.525000035762787,1,0.680232584476471,512
"statlog-australian-credit",32,"cone",0.525000035762787,1,0.680232584476471,256
"statlog-australian-credit",16,"cone",0.525000035762787,0.01,0.680232584476471,1024
"statlog-australian-credit",16,"cone",0.525000035762787,0.01,0.680232584476471,512
"statlog-australian-credit",16,"cone",0.525000035762787,0.01,0.680232584476471,256
"statlog-australian-credit",16,"cone",0.525000035762787,0.1,0.680232584476471,1024
"statlog-australian-credit",16,"cone",0.525000035762787,0.1,0.680232584476471,512
"statlog-australian-credit",16,"cone",0.525000035762787,0.1,0.680232584476471,256
"statlog-australian-credit",16,"cone",0.525000035762787,1,0.680232584476471,1024
"statlog-australian-credit",16,"cone",0.525000035762787,1,0.680232584476471,512
"statlog-australian-credit",16,"cone",0.525000035762787,1,0.680232584476471,256
"statlog-australian-credit",8,"cone",0.525000035762787,1,0.680232584476471,1024
"statlog-australian-credit",8,"cone",0.525000035762787,1,0.680232584476471,256
"statlog-australian-credit",4,"rect",0.525000035762787,1,0.680232584476471,1024
"statlog-australian-credit",2,"rect",0.525000035762787,1,0.680232584476471,1024
"statlog-australian-credit",2,"rect",0.525000035762787,1,0.680232584476471,512
"statlog-australian-credit",8,"cone",0.525,0.01,0.57558137178421,512
"statlog-australian-credit",32,"rect",0.520000031590462,0.01,0.680232584476471,1024
"statlog-australian-credit",32,"rect",0.520000031590462,1,0.680232584476471,512
"statlog-australian-credit",16,"rect",0.520000031590462,1,0.680232584476471,256
"statlog-australian-credit",8,"rect",0.520000022649765,0.01,0.569767475128174,512
"statlog-australian-credit",32,"rect",0.515000027418137,0.01,0.680232584476471,512
"statlog-australian-credit",32,"rect",0.515000027418137,1,0.319767445325851,256
"statlog-australian-credit",16,"rect",0.515000027418137,1,0.680232584476471,1024
"statlog-australian-credit",8,"rect",0.515000027418137,1,0.680232584476471,1024
"statlog-australian-credit",4,"rect",0.515000027418137,1,0.319767445325851,512
"statlog-australian-credit",4,"rect",0.515000027418137,1,0.680232584476471,256
"statlog-australian-credit",3,"rect",0.505000001192093,1,0.319767445325851,1024
"statlog-australian-credit",16,"rect",0.485000002384186,1,0.319767445325851,512
"statlog-australian-credit",8,"rect",0.479999998211861,1,0.319767445325851,512
"statlog-australian-credit",8,"rect",0.479999998211861,1,0.319767445325851,256
"statlog-australian-credit",8,"rect",0.467500019073486,0.01,0.587209284305573,1024
