"dataset","testAccuracy","layerForm","valAccuracy","learningrate","nlayers","nhidden"
"car",0.967592656612396,"cone",0.978169029951096,0.01,2,256
"car",0.97222226858139,"cone",0.977464765310287,0.01,3,512
"car",0.979166746139526,"rect",0.976760560274124,0.1,16,256
"car",0.967592656612396,"cone",0.976056301593781,0.01,4,512
"car",0.956018507480621,"cone",0.974647861719131,1,8,1024
"car",0.979166746139526,"cone",0.972535187005997,0.1,8,1024
"car",0.967592537403107,"rect",0.971831005811691,0.01,4,1024
"car",0.956018507480621,"rect",0.970422518253327,0.01,16,1024
"car",0.958333373069763,"rect",0.964788734912872,0.01,3,256
"car",0.942129731178284,"cone",0.96267609000206,0.01,8,1024
"car",0.9375,"rect",0.957746493816376,0.01,8,256
"car",0.956018567085266,"rect",0.957746464014054,0.01,8,512
"car",0.953703701496124,"rect",0.95774644613266,0.01,8,1024
"car",0.939814865589142,"cone",0.951408410072327,0.01,8,512
"car",0.960648119449615,"cone",0.950704193115234,0.01,4,256
"car",0.951388955116272,"cone",0.939436596632004,0.1,16,1024
"car",0.914351880550385,"rect",0.935211253166199,0.01,16,256
"car",0.916666686534882,"rect",0.929577469825745,0.01,16,512
"car",0.893518567085266,"rect",0.921126770973206,0.01,32,512
"car",0.909722328186035,"cone",0.907042223215103,0.01,16,256
"car",0.909722149372101,"cone",0.904929560422897,0.01,8,256
"car",0.893518507480621,"cone",0.904225337505341,0.01,16,512
"car",0.863425970077515,"cone",0.855633789300919,0.1,16,256
"car",0.673611104488373,"cone",0.703521126508713,0.01,16,1024
"car",0.701388895511627,"cone",0.699295794963837,0.1,16,512
"car",0.701388955116272,"cone",0.690140843391418,0.01,32,1024
"car",0.701388835906982,"cone",0.690140843391418,0.01,32,512
"car",0.703703641891479,"cone",0.690140843391418,0.01,32,256
"car",0.701388955116272,"rect",0.690140843391418,0.01,32,256
"car",0.701388955116272,"cone",0.690140843391418,0.1,32,1024
"car",0.701388955116272,"rect",0.690140843391418,0.1,32,1024
"car",0.701388955116272,"cone",0.690140843391418,0.1,32,512
"car",0.701388955116272,"rect",0.690140843391418,0.1,32,512
"car",0.701388955116272,"cone",0.690140843391418,0.1,32,256
"car",0.701388955116272,"cone",0.690140843391418,1,32,1024
"car",0.701388955116272,"cone",0.690140843391418,1,32,512
"car",0.701388955116272,"cone",0.690140843391418,1,32,256
"car",0.701388955116272,"rect",0.690140843391418,0.1,16,1024
"car",0.701388955116272,"rect",0.690140843391418,0.1,16,512
"car",0.701388955116272,"cone",0.690140843391418,1,16,1024
"car",0.701388955116272,"cone",0.690140843391418,1,16,512
"car",0.701388955116272,"cone",0.690140843391418,1,16,256
"car",0.701388835906982,"rect",0.690140843391418,1,16,256
"car",0.701388835906982,"rect",0.690140843391418,1,4,1024
"car",0.701388955116272,"rect",0.658450701832771,0.01,32,1024
"car",0.701388955116272,"rect",0.646478867530823,0.1,32,256
"car",0.701388835906982,"rect",0.640845067799091,1,8,512
"car",0.701388835906982,"rect",0.62676056176424,1,3,1024
"car",0.701388835906982,"rect",0.615492953360081,1,4,256
"car",0.701388955116272,"rect",0.591549292206764,1,16,512
"car",0.222222208976746,"rect",0.591549292206764,1,4,512
"car",0.701388955116272,"rect",0.577464786171913,1,32,1024
"car",0.701388835906982,"rect",0.577464786171913,1,16,1024
"car",0.701388835906982,"rect",0.577464786171913,1,8,256
"car",0.701388835906982,"rect",0.464788728952408,1,32,512
"car",0.701388955116272,"rect",0.464788728952408,1,32,256
"car",0.701388955116272,"rect",0.464788727462292,1,8,1024
"car",0.0370370373129845,"rect",0.192957742512226,1,2,512
"car",0.0370370373129845,"rect",0.191549290716648,1,3,256
"car",0.0370370373129845,"rect",0.187323938310146,1,2,1024
"car",0.0370370373129845,"rect",0.1119718298316,1,3,512
