"dataset","valAccuracy","learningrate","testAccuracy","layerForm","nhidden","nlayers"
"statlog-image",0.970186400413513,0.1,0.968804121017456,"rect",256,8
"statlog-image",0.968944162130356,1,0.97053724527359,"cone",256,3
"statlog-image",0.968323028087616,0.01,0.963604807853699,"cone",256,2
"statlog-image",0.968323028087616,0.1,0.970537185668945,"cone",512,4
"statlog-image",0.966459727287292,0.01,0.968804061412811,"rect",512,4
"statlog-image",0.966459685564041,0.01,0.953206241130829,"rect",512,2
"statlog-image",0.965838569402695,0.01,0.970537185668945,"cone",1024,4
"statlog-image",0.964596354961395,0.01,0.968804121017456,"rect",1024,8
"statlog-image",0.964596354961395,0.01,0.968804061412811,"rect",1024,4
"statlog-image",0.963975214958191,0.1,0.956672430038452,"cone",256,3
"statlog-image",0.963975203037262,1,0.960138618946075,"cone",1024,3
"statlog-image",0.963354116678238,0.01,0.953206181526184,"cone",1024,8
"statlog-image",0.962111896276474,0.01,0.956672370433807,"rect",1024,16
"statlog-image",0.96211189031601,0.01,0.963604807853699,"rect",512,8
"statlog-image",0.962111848592758,1,0.948006868362427,"cone",512,2
"statlog-image",0.962111848592758,0.01,0.96013867855072,"rect",512,16
"statlog-image",0.960869681835175,0.01,0.963604867458344,"rect",256,8
"statlog-image",0.96086962223053,0.01,0.948006868362427,"cone",512,16
"statlog-image",0.954037314653397,0.01,0.956672430038452,"cone",256,8
"statlog-image",0.95341619849205,0.1,0.942807614803314,"cone",256,8
"statlog-image",0.950931739807129,0.01,0.930675983428955,"cone",1024,16
"statlog-image",0.947205024957657,0.01,0.953206181526184,"cone",512,8
"statlog-image",0.946583884954453,1,0.954939305782318,"cone",512,4
"statlog-image",0.944720548391342,1,0.961871743202209,"cone",1024,4
"statlog-image",0.942857193946838,0.01,0.942807614803314,"rect",256,16
"statlog-image",0.939130473136902,0.01,0.896013796329498,"cone",256,16
"statlog-image",0.907453453540802,0.1,0.930675864219666,"rect",256,16
"statlog-image",0.890062147378922,0.01,0.92201030254364,"rect",1024,32
"statlog-image",0.742857158184051,1,0.809358716011047,"cone",1024,8
"statlog-image",0.637888211011887,1,0.734835386276245,"cone",256,8
"statlog-image",0.529813674092293,1,0.573656857013702,"cone",512,8
"statlog-image",0.405590078234673,0.01,0.438474833965302,"rect",256,32
"statlog-image",0.401863366365433,0.1,0.440207958221436,"cone",1024,16
"statlog-image",0.385093176364899,0.1,0.377816259860992,"cone",256,16
"statlog-image",0.277018642425537,0.01,0.232235714793205,"rect",512,32
"statlog-image",0.267701870203018,0.01,0.266897737979889,"cone",1024,32
"statlog-image",0.266459628939629,1,0.277296364307404,"cone",1024,16
"statlog-image",0.264596277475357,0.1,0.223570197820663,"rect",1024,16
"statlog-image",0.249689446389675,0.1,0.268630862236023,"cone",512,16
"statlog-image",0.232919259369373,0.1,0.289428055286407,"rect",512,16
"statlog-image",0.219875778257847,0.01,0.249566733837128,"cone",512,32
"statlog-image",0.180124221742153,1,0.147313684225082,"rect",512,4
"statlog-image",0.175155277550221,1,0.142114385962486,"rect",256,32
"statlog-image",0.172049693763256,1,0.142114385962486,"rect",1024,32
"statlog-image",0.171428570151329,1,0.142114371061325,"rect",1024,8
"statlog-image",0.1683229804039,1,0.147313684225082,"rect",256,3
"statlog-image",0.164596275985241,1,0.142114385962486,"rect",256,16
"statlog-image",0.163354038447142,1,0.142114385962486,"rect",512,3
"statlog-image",0.162732923030853,0.01,0.246100515127182,"cone",256,32
"statlog-image",0.160248446464539,1,0.147313684225082,"rect",1024,3
"statlog-image",0.154658387601376,1,0.142114385962486,"cone",512,16
"statlog-image",0.154037266969681,1,0.142114371061325,"rect",512,8
"statlog-image",0.151552796363831,0.1,0.142114371061325,"rect",1024,32
"statlog-image",0.14844720736146,1,0.147313684225082,"rect",512,2
"statlog-image",0.147826090455055,1,0.142114385962486,"rect",1024,2
"statlog-image",0.147204972803593,1,0.147313684225082,"rect",512,16
"statlog-image",0.144099381566048,0.1,0.142114385962486,"rect",256,32
"statlog-image",0.140993788093328,0.1,0.142114385962486,"rect",512,32
"statlog-image",0.139130443334579,1,0.147313699126244,"rect",512,32
"statlog-image",0.136645972728729,1,0.147313699126244,"rect",256,4
"statlog-image",0.136645971238613,1,0.147313684225082,"rect",1024,16
"statlog-image",0.136645971238613,1,0.147313699126244,"rect",256,2
"statlog-image",0.136645965278149,1,0.147313699126244,"rect",1024,4
"statlog-image",0.132919262349606,0.1,0.142114385962486,"cone",512,32
"statlog-image",0.131677022576332,1,0.142114371061325,"rect",256,8
"statlog-image",0.129813668876886,0.1,0.142114385962486,"cone",256,32
"statlog-image",0.129192550480366,1,0.147313684225082,"cone",256,32
"statlog-image",0.129192549735308,1,0.142114385962486,"cone",256,16
"statlog-image",0.124223605543375,1,0.142114385962486,"cone",1024,32
"statlog-image",0.119254663586617,1,0.142114371061325,"cone",512,32
"statlog-image",0.1192546620965,0.1,0.142114371061325,"cone",1024,32
