"dataset","learningrate","layerForm","nhidden","testAccuracy","valAccuracy","nlayers"
"ecoli",1,"rect",256,0.452380955219269,0.363636374473572,3
"ecoli",1,"rect",256,0.452380955219269,0.363636374473572,2
"ecoli",0.01,"rect",1024,0.36904764175415,0.360606071352959,32
"ecoli",1,"rect",1024,0.452380955219269,0.360606068372726,4
"ecoli",0.01,"rect",256,0.226190492510796,0.351515161991119,32
"ecoli",1,"rect",512,0.190476194024086,0.348484861850738,2
"ecoli",1,"rect",1024,0.226190492510796,0.318181827664375,16
"ecoli",1,"rect",256,0.095238097012043,0.309090918302536,16
"ecoli",1,"rect",512,0.452380955219269,0.284848493337631,8
"ecoli",1,"rect",512,0.226190492510796,0.278787887096405,4
"ecoli",1,"rect",1024,0.452380955219269,0.275757583975792,8
"ecoli",1,"rect",256,0,0.272727283835411,8
"ecoli",1,"rect",256,0.0595238134264946,0.272727280855179,4
"ecoli",1,"rect",1024,0.107142865657806,0.263636365532875,2
"ecoli",1,"rect",1024,0.452380955219269,0.260606068372726,32
"ecoli",1,"rect",256,0.154761910438538,0.257575765252113,32
"ecoli",1,"cone",256,0.154761910438538,0.2545454621315,16
"ecoli",1,"rect",512,0.154761910438538,0.206060612201691,32
"ecoli",1,"rect",512,0.452380955219269,0.20303031206131,3
