"dataset","layerForm","testAccuracy","nhidden","nlayers","valAccuracy","learningrate"
"monks-3","cone",0.458333343267441,256,8,0.471428596973419,0.1
"monks-3","rect",0.38657408952713,256,8,0.471428596973419,0.1
"monks-3","cone",0.527777791023254,1024,32,0.471428596973419,1
"monks-3","cone",0.527777791023254,1024,16,0.457142877578735,0.1
"monks-3","cone",0.527777791023254,256,4,0.442857164144516,1
"monks-3","cone",0.527777791023254,1024,32,0.442857164144516,0.01
"monks-3","cone",0.488425940275192,1024,16,0.428571462631226,0.01
"monks-3","cone",0.527777791023254,256,16,0.428571450710297,0.1
"monks-3","cone",0.527777791023254,256,32,0.414285731315613,0.1
"monks-3","cone",0.541666686534882,1024,8,0.38571429848671,0.1
"monks-3","cone",0.527777791023254,512,32,0.357142865657806,0.01
"monks-3","cone",0.527777791023254,256,32,0.357142865657806,0.01
"monks-3","cone",0.527777791023254,512,32,0.357142865657806,0.1
