"dataset","nhidden","nlayers","layerForm","valAccuracy","learningrate","testAccuracy"
"oocytes_merluccius_nucleus_4d",1024,4,"cone",0.725,0.01,0.835294127464294
"oocytes_merluccius_nucleus_4d",1024,2,"cone",0.725,0.01,0.788235306739807
"oocytes_merluccius_nucleus_4d",512,3,"cone",0.7234375,0.01,0.780392169952393
"oocytes_merluccius_nucleus_4d",256,2,"cone",0.721875,0.1,0.788235306739807
"oocytes_merluccius_nucleus_4d",1024,4,"cone",0.7203125,0.1,0.819607853889465
"oocytes_merluccius_nucleus_4d",256,3,"cone",0.7140625,0.01,0.803921580314636
"oocytes_merluccius_nucleus_4d",1024,3,"cone",0.7125,0.1,0.7843137383461
"oocytes_merluccius_nucleus_4d",1024,2,"rect",0.7125,0.01,0.807843148708344
"oocytes_merluccius_nucleus_4d",1024,2,"rect",0.7078125,0.1,0.674509823322296
"oocytes_merluccius_nucleus_4d",256,4,"cone",0.7078125,1,0.811764717102051
"oocytes_merluccius_nucleus_4d",256,4,"cone",0.7046875,0.1,0.776470601558685
"oocytes_merluccius_nucleus_4d",512,16,"rect",0.696875,0.01,0.768627464771271
"oocytes_merluccius_nucleus_4d",512,4,"rect",0.6953125,0.1,0.768627464771271
"oocytes_merluccius_nucleus_4d",256,8,"cone",0.69375,0.1,0.800000011920929
"oocytes_merluccius_nucleus_4d",256,3,"rect",0.69375,0.01,0.803921580314636
"oocytes_merluccius_nucleus_4d",512,8,"rect",0.690625,0.1,0.725490212440491
"oocytes_merluccius_nucleus_4d",512,2,"cone",0.684375,0.1,0.756862759590149
"oocytes_merluccius_nucleus_4d",1024,8,"cone",0.684375,0.01,0.796078443527222
"oocytes_merluccius_nucleus_4d",1024,4,"cone",0.6828125,1,0.796078443527222
"oocytes_merluccius_nucleus_4d",256,2,"cone",0.6828125,0.01,0.788235306739807
"oocytes_merluccius_nucleus_4d",512,8,"cone",0.68125,0.01,0.7843137383461
"oocytes_merluccius_nucleus_4d",512,4,"cone",0.6796875,0.1,0.788235306739807
"oocytes_merluccius_nucleus_4d",1024,2,"cone",0.6796875,0.1,0.792156875133514
"oocytes_merluccius_nucleus_4d",1024,4,"rect",0.678125,0.1,0.764705896377563
"oocytes_merluccius_nucleus_4d",512,3,"cone",0.6734375,0.1,0.756862759590149
"oocytes_merluccius_nucleus_4d",256,2,"cone",0.6734375,1,0.772549033164978
"oocytes_merluccius_nucleus_4d",512,3,"cone",0.671875,1,0.760784327983856
"oocytes_merluccius_nucleus_4d",256,3,"cone",0.671875,1,0.780392169952393
"oocytes_merluccius_nucleus_4d",512,8,"cone",0.6703125,0.1,0.760784327983856
"oocytes_merluccius_nucleus_4d",256,8,"rect",0.6625,0.1,0.752941191196442
"oocytes_merluccius_nucleus_4d",256,8,"cone",0.6609375,0.01,0.756862759590149
"oocytes_merluccius_nucleus_4d",512,2,"cone",0.6515625,1,0.745098054409027
"oocytes_merluccius_nucleus_4d",1024,8,"cone",0.6515625,0.1,0.752941191196442
"oocytes_merluccius_nucleus_4d",256,16,"rect",0.640625,0.01,0.772549033164978
"oocytes_merluccius_nucleus_4d",1024,2,"cone",0.640625,1,0.678431391716003
"oocytes_merluccius_nucleus_4d",512,4,"cone",0.6359375,1,0.690196096897125
"oocytes_merluccius_nucleus_4d",1024,32,"cone",0.625,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,32,"cone",0.625,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,32,"cone",0.625,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,32,"cone",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,32,"rect",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,32,"cone",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,32,"rect",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,32,"cone",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,32,"rect",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,32,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,32,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,32,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,16,"cone",0.625,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,16,"cone",0.625,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,16,"cone",0.625,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,16,"cone",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,16,"rect",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,16,"cone",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,16,"rect",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,16,"cone",0.625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,16,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,16,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,16,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,8,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,8,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,8,"cone",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,8,"rect",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,3,"rect",0.625,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,8,"rect",0.61875,0.1,0.674509823322296
"oocytes_merluccius_nucleus_4d",256,16,"rect",0.615625,0.1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,32,"rect",0.609375,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,32,"rect",0.6,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,32,"rect",0.6,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,16,"rect",0.6,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,8,"rect",0.6,1,0.329411774873734
"oocytes_merluccius_nucleus_4d",1024,3,"rect",0.6,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",1024,3,"cone",0.5921875,1,0.682352960109711
"oocytes_merluccius_nucleus_4d",1024,32,"rect",0.5828125,0.01,0.556862771511078
"oocytes_merluccius_nucleus_4d",512,16,"rect",0.575,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,4,"rect",0.575,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,3,"rect",0.575,1,0.658823549747467
"oocytes_merluccius_nucleus_4d",1024,2,"rect",0.575,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,2,"rect",0.575,1,0.329411774873734
"oocytes_merluccius_nucleus_4d",512,32,"rect",0.55,0.01,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,32,"rect",0.55,1,0.329411774873734
"oocytes_merluccius_nucleus_4d",1024,4,"rect",0.55,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",256,2,"rect",0.475,1,0.670588254928589
"oocytes_merluccius_nucleus_4d",512,8,"rect",0.425,1,0.329411774873734
"oocytes_merluccius_nucleus_4d",512,4,"rect",0.4125,1,0.329411774873734
"oocytes_merluccius_nucleus_4d",256,16,"rect",0.4,1,0.329411774873734
